parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
89204,LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,,Autre,,1,2,LACTOBACILLUS,Molécule chimique,Très courte (≤15),13,Autre
89204,LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,,Autre,,2,2,GERMINATED SOYBEAN FERMENT FILTRATE,Molécule chimique,Moyenne (26-50),35,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,1,8,ANGELICA ACUTILOBA,Molécule chimique,Courte (16-25),18,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,2,8,PAEONIA LACTIFLORA,Molécule chimique,Courte (16-25),18,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,3,8,REHMANNIA GLUTINOSA,Molécule chimique,Courte (16-25),19,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,4,8,SCUTELLARIA BAICALENSIS) ROOT,Botanique,Moyenne (26-50),29,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,5,8,CNIDIUM OFFICINALE,Molécule chimique,Courte (16-25),18,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,6,8,COPTIS CHINENSIS) RHIZOME,Molécule chimique,Courte (16-25),25,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,7,8,GARDENIA JASMINOIDES FRUIT,Botanique,Moyenne (26-50),26,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,8,8,PHELLODENDRON  CHINENSE BARK EXTRACT,Extrait,Moyenne (26-50),36,Autre
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",Humectant,,1,7,ANGELICA GIGAS,Molécule chimique,Très courte (≤15),14,Humectant
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",Humectant,,2,7,GLYCYRRHIZA URALENSIS,Molécule chimique,Courte (16-25),21,Humectant
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",Humectant,,3,7,REHMANNIA GLUTINOSA ROOT,Botanique,Courte (16-25),24,Humectant
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",Humectant,,4,7,ANGELICA GIGAS STEM,Molécule chimique,Courte (16-25),19,Humectant
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",Humectant,,5,7,CARTHAMUS TINCTORIUS FLOWER,Botanique,Moyenne (26-50),27,Humectant
