ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
39661,"1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE",,,59354-71-1,261-715-3,"1,1-Dimethyl-2-phenylethyl 2-methylpropanoate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),38,1,1,Non
39242,"1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE",,,10031-71-7,233-092-8,"1,1-Dimethyl-3-phenylpropyl 2-methylpropanoate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),39,1,1,Non
40512,"1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",,,41199-19-3,255-256-8,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-trimethyl-2-naphthol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),53,1,1,Non
40507,"1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE",,,65405-72-3,265-742-1,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-tetramethyl-1-naphthyl formate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),66,1,1,Non
39563,"1,2-DIHYDROLINALOOL",,,18479-51-1,242-359-8,"3,7-Dimethyloct-6-en-3-ol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
39658,"1,3-DIMETHYL-3-PHENYLBUTYL ACETATE",,,68083-58-9,268-407-8,"1,3-Dimethyl-3-phenylbutyl acetate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),34,1,1,Non
39592,"1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE",,,104516-97-4,,"1,3-Dimethyl-bicyclo[2.2.1]heptane-2-carbonitrile",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),42,1,1,Non
41232,"1,5,9-TRIMETHYL-OXABICYCLOTRIDECADIENE",,,13786-79-3/71735-79-0,237-443-6/275-967-7,"1,5,9-Trimethyl-13-oxabicyclo[10.1.0]trideca-4,8-diene; Trimethyl-13-oxabicyclo[10.1.0]trideca-4,8-diene",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),38,1,1,Non
39259,"1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE",,,7779-23-9,231-922-3,"1,5-Dimethyl-1-vinylhex-4-enyl hexanoate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),40,1,1,Non
54176,1-ACETONAPHTHONE,,,941-98-0,213-384-1,1-(1-Naphthalenyl)ethanone; 1'-Acetonaphthone,,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),16,2,1,Non
39438,1-CYCLOHEXYLETHANOL,,,1193-81-3,214-780-7,1-Cyclohexylethanol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
39894,1-ETHYL-3-METHOXY-TRICYCLOHEPTANE,,,31996-78-8,403-610-9,"1-Ethyl-3-methoxy-tricyclo[2.2.1.02.6]heptane; Tricyclo(2.2.1.02,6)heptane, 1-ethyl-3-methoxy-",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),33,1,1,Non
39841,"1-ETHYLCYCLOHEXANE-1,4-DIMETHANOL",,,67663-05-2,266-851-7,"1-Ethylcyclohexane-1,4-dimethanol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),33,1,1,Non
40009,1-FURFURYL-1H-PYRROLE,,,1438-94-4,215-876-1,1-Furfuryl-1H-pyrrole,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),21,1,1,Non
