ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
92787,"1-(3,4-DIMETHOXYPHENYL)-4,4-DIMETHYL-1,3-PENTANEDIONE",,,,,,,"STABILISING, UV FILTER",03/07/2015,Filtre UV,Molécule chimique,Longue (51-100),53,2,1,Non
31514,3-BENZYLIDENE CAMPHOR,,,15087-24-8,239-139-9,"1,7,7-trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one",VI/19,"UV ABSORBER, UV FILTER",24/02/2014,Filtre UV,Molécule chimique,Courte (16-25),21,2,1,Non
31529,4-METHYLBENZYLIDENE CAMPHOR,enzacamene,,36861-47-9/38102-62-4,253-242-6/,"(.+-.)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one",VI/18,"UV ABSORBER, UV FILTER",15/10/2010,Filtre UV,Molécule chimique,Moyenne (26-50),27,2,1,Non
92788,4-PROPOXY-2-HYDROXYBENZOPHENONE,,,,,,,"STABILISING, UV FILTER",03/07/2015,Filtre UV,Molécule chimique,Moyenne (26-50),31,2,1,Non
93496,7-DEHYDROCHOLESTERYL PALMITATE,,,,,7-Dehydrocholesteryl Palmitate is the product obtained by the reaction of 7-Dehydrocholesterol and Palmitic Acid,,"SKIN PROTECTING, UV FILTER",10/08/2015,Filtre UV,Molécule chimique,Moyenne (26-50),30,2,1,Non
74149,ACETAMINOSALOL,Acetaminosalol,,118-57-0,204-261-3,"4'-Hydroxyacetanilide salicylate; Benzoic acid, 2-hydroxy-, 4-(acetylamino)phenyl ester",,"ANTIMICROBIAL, UV ABSORBER",15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),14,2,1,Non
74189,ALLANTOIN PABA,,,4207-42-5,,"Urea, (2,5-dioxo-4-imidazolydinyl)-, compound with 4-aminobenzoic acid (1:1)",,"SKIN CONDITIONING, UV ABSORBER",15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),14,2,1,Non
32131,BENZALPHTHALIDE,,,575-61-1,209-388-8,3-Benzylidenephthalide,,UV ABSORBER,15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),15,1,1,Non
74467,BENZOPHENONE,,,119-61-9,204-337-6,Benzophenone,,"MASKING, UV ABSORBER",15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),12,2,1,Non
32137,BENZOPHENONE-1,,,131-56-6,205-029-4,"2,4-Dihydroxybenzophenone",,UV ABSORBER,15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),14,1,1,Non
74469,BENZOPHENONE-10,mexenone,,1641-17-4,216-688-2,2-Hydroxy-4-methoxy-4'-methylbenzophenone,,UV ABSORBER,15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),15,1,1,Non
32139,BENZOPHENONE-11,,,1341-54-4,,"Bis(2,4-dihydroxyphenyl)methanone and bis(2-hydroxy-4-methoxyphenyl)methanone",,UV ABSORBER,15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),15,1,1,Non
32140,BENZOPHENONE-12,octabenzone,,1843-05-6,217-421-2,2-Hydroxy-4-octyloxybenzophenone,,UV ABSORBER,15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),15,1,1,Non
74472,BENZOPHENONE-2,,,131-55-5,205-028-9,"2,2',4,4'-Tetrahydroxybenzophenone",,"MASKING, UV ABSORBER",15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),14,2,1,Non
32142,BENZOPHENONE-3,oxybenzone,,131-57-7,205-031-5,2-Hydroxy-4-methoxybenzophenone,VI/4,"UV ABSORBER, UV FILTER",15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),14,2,1,Non
32143,BENZOPHENONE-4,sulisobenzone,,4065-45-6,223-772-2,5-Benzoyl-4-hydroxy-2-methoxybenzenesulfonic acid,VI/22,"UV ABSORBER, UV FILTER",15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),14,2,1,Non
32144,BENZOPHENONE-5,sulisobenzone sodium,,6628-37-1,*613-918-7,"Benzenesulfonic acid, 5-benzoyl-4-hydroxy-2-methoxy-, monosodium salt",VI/22,"UV ABSORBER, UV FILTER",31/01/2011,Filtre UV,Molécule chimique,Très courte (≤15),14,2,1,Non
74476,BENZOPHENONE-6,,,131-54-4,205-027-3,"2,2'-Dihydroxy-4,4'-dimethoxybenzophenone",,"MASKING, UV ABSORBER",15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),14,2,1,Non
32146,BENZOPHENONE-7,,,85-19-8,201-592-5,5-Chloro-2-hydroxybenzophenone,,UV ABSORBER,15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),14,1,1,Non
