ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
31465,"1,2,4-TRIHYDROXYBENZENE",,,533-73-3,208-575-1,"Benzene-1,2,4-triol",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),23,1,1,Non
31467,"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",,,81892-72-0,279-845-4,"4,4'-[1,3-propanediylbis(oxy)]bisbenzene-1,3-diamine",III/202,HAIR DYEING,22/07/2013,Colorant,Molécule chimique,Moyenne (26-50),35,1,1,Non
41535,"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",,,74918-21-1,278-022-7,"4,4'-[Propane-1,3-Diylbis(Oxy)]Bisbenzene-1,3-Diaminetetrahydrochloride",III/202,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),39,1,1,Non
31468,"1,5-NAPHTHALENEDIOL",,,83-56-7,201-487-4,"Naphthalene-1,5-diol (CI 76625)",III/32,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),19,1,1,Non
31469,1-ACETOXY-2-METHYLNAPHTHALENE,,,5697-02-9,454-690-7,"1-Naphthalenol, 2-methyl-, acetate",Annex III/I/262 - Directive 2012/21/EU,HAIR DYEING,17/09/2012,Colorant,Molécule chimique,Moyenne (26-50),29,1,1,Non
92298,"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",,,1361000-03-4,,"1H-Pyrazole-4,5-diamine, 1-hexyl-, sulfate (2:1)",,HAIR DYEING,28/11/2014,Colorant,Molécule chimique,Moyenne (26-50),36,1,1,Non
54177,"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",,,155601-30-2,429-300-3,"1H-Pyrazole-1-Ethanol, 4,5 diamino-, sulfate; 1-(2-hydroxyethyl)-1H-pyrazol-4,5-diyldiammoniumsulfate",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),43,1,1,Non
31470,1-NAPHTHOL,,,90-15-3,201-969-4,1-naphthol (CI 76605),III/16,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),10,1,1,Non
41601,"2,2'-METHYLENEBIS-4-AMINOPHENOL",,,63969-46-0,440-850-3,Bis-(5-amino-2-hydroxyphenyl)-methane,,HAIR DYEING,03/07/2015,Colorant,Molécule chimique,Moyenne (26-50),31,1,1,Non
54179,"2,2'-METHYLENEBIS-4-AMINOPHENOL HCL",,,27311-52-0,,"Phenol, 2,2'-methylenebis[4-amino-], dihydrochloride",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),35,1,1,Non
83274,"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",,,857035-95-1,469-500-8,,,HAIR DYEING,18/01/2013,Colorant,Molécule chimique,Longue (51-100),54,1,1,Non
31476,"2,4-DIAMINOPHENOXYETHANOL HCL",,,66422-95-5,266-357-1,"2-(2,4-diaminophenoxy)ethanol dihydrochloride",III/242,HAIR DYEING,18/10/2010,Colorant,Molécule chimique,Moyenne (26-50),29,1,1,Non
54183,"2,4-DIAMINOPHENOXYETHANOL SULFATE",,,70643-20-8,274-713-2,"[4-(2-hydroxyethoxy)-1,3-phenylene]diammonium sulphate",III/242,HAIR DYEING,18/10/2010,Colorant,Molécule chimique,Moyenne (26-50),33,1,1,Non
54184,"2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE",,,39267-74-8/35011-47-3/1603-02-7,254-393-0/-/216-500-9,"2,5,6-Triaminopyrimidin-4(1H)-one sulphate; 4-Hydroxy-2,5,6-triamino-pyrimidine-sulfate; 2,5,6-Triaminopyrimidin-4-ol sulphate",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),36,1,1,Non
31478,"2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE",,,28365-08-4,421-430-9,"2,6-Pyridinediamine, 3-(3-pyridinylazo); 2,6-diamino-3-((pyridine-3-yl)azo)pyridine",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),41,1,1,Non
31479,"2,6-DIAMINOPYRIDINE",,,141-86-6,205-507-2,"Pyridine-2,6-diyldiamine",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),19,1,1,Non
31480,"2,6-DIAMINOPYRIDINE SULFATE",,,146997-97-9,,"2,6-Pyridinediamine, sulfate (2:1)",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),27,1,1,Non
41525,"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",,,84540-47-6,283-141-2,"6-Hydroxy-3,4-dimethyl-2-pyridone",III/218,HAIR DYEING,17/10/2010,Colorant,Molécule chimique,Moyenne (26-50),34,1,1,Non
54186,"2,6-DIHYDROXYETHYLAMINOTOLUENE",,,149330-25-6,443-210-1,"N,N'-di-(2-hydroxyethyl)-1-methyl-1,3-benzenediamine",III/9,HAIR DYEING,14/02/2014,Colorant,Molécule chimique,Moyenne (26-50),30,1,1,Non
31482,"2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL",,,56216-28-5,260-062-1,"3,5-diamino-2,6-dimethoxypyridine dihydrochloride",III/238,HAIR DYEING,01/08/2011,Colorant,Molécule chimique,Moyenne (26-50),37,1,1,Non
54187,"2,6-DIMETHYL-P-PHENYLENEDIAMINE",,,7218-02-2,230-608-3,"2,6-Dimethyl-1,4-Benzenediamine",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),31,1,1,Non
54188,"2,6-DIMETHYL-P-PHENYLENEDIAMINE HCL",,,56496-89-0,260-223-6,"2,6-Dimethyl-1,4-benzenediamine dihydrochloride",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),35,1,1,Non
31484,"2,7-NAPHTHALENEDIOL",,,582-17-2,209-478-7,"Naphthalene-2,7-diol (CI 76645)",III/4,HAIR DYEING,09/03/2011,Colorant,Molécule chimique,Courte (16-25),19,1,1,Non
31485,2-AMINO-3-HYDROXYPYRIDINE,,,16867-03-1,240-886-8,2-aminopyridin-3-ol,Annex III/I/261 - Directive 2012/21/EU,HAIR DYEING,17/09/2012,Colorant,Molécule chimique,Courte (16-25),25,1,1,Non
31487,2-AMINO-4-HYDROXYETHYLAMINOANISOLE,,,83763-47-7,280-733-2,2-[(3-amino-4-methoxyphenyl)amino]ethanol,III/245,HAIR DYEING,14/02/2014,Colorant,Molécule chimique,Moyenne (26-50),34,1,1,Non
31488,2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,,,83763-48-8,280-734-8,(3-ammonio-4-methoxyphenyl)(2-hydroxyethyl)ammonium sulphate,III/245,HAIR DYEING,13/10/2015,Colorant,Molécule chimique,Moyenne (26-50),42,1,1,Non
83518,2-AMINO-5-ETHYLPHENOL HCL,,,149861-22-3,,"Phenol, 2-Amino-5-Ethyl-, Hydrochloride",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),25,1,1,Non
31489,2-AMINO-6-CHLORO-4-NITROPHENOL,,,6358-09-4,228-762-1,2-amino-6-chloro-4-nitrophenol,III/252,HAIR DYEING,08/07/2015,Colorant,Molécule chimique,Moyenne (26-50),30,1,1,Non
31494,2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL,,,131657-78-8,411-440-1,"Phenol, 2-chloro-6-(ethylamino)-4-nitro-",III/201,HAIR DYEING,17/07/2012,Colorant,Molécule chimique,Moyenne (26-50),35,1,1,Non
31495,2-CHLORO-P-PHENYLENEDIAMINE,,,615-66-7,210-441-2,2-chloro-p-phenylenediamine,,HAIR DYEING,07/05/2014,Colorant,Molécule chimique,Moyenne (26-50),27,1,1,Non
74079,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,,,6219-71-2/61702-44-1,228-291-1,"1,4-Benzenediamine, 2-chloro-, sulfate",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),35,1,1,Non
31498,2-HYDROXYETHYL PICRAMIC ACID,,,99610-72-7,412-520-9,"1-hydroxy-2-.beta.-hydroxyethylamino-4,6-dinitrobenzene","III/2,11",HAIR DYEING,09/01/2011,Colorant,Acide,Moyenne (26-50),28,1,1,Non
31499,2-HYDROXYETHYLAMINO-5-NITROANISOLE,,,66095-81-6,266-138-0,2-[(2-methoxy-4-nitrophenyl)amino]ethanol,III/236,HAIR DYEING,18/10/2010,Colorant,Molécule chimique,Moyenne (26-50),34,1,1,Non
84968,2-METHOXY-P-PHENYLENEDIAMINE SULFATE,,,42909-29-5/66671-82-7,255-999-8/266-443-9,,,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),36,1,1,Non
86016,2-METHOXYMETHYL-P-PHENYLENEDIAMINE,,,337906-37-3,,,,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),34,1,1,Non
86015,2-METHOXYMETHYL-P-PHENYLENEDIAMINE SULFATE,,,337906-37-3,474-270-7,"1,4-diamino-2-methoxymethyl benzene sulfate (1:1)",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),42,1,1,Non
31500,2-METHYL-1-NAPHTHOL,,,7469-77-4,231-265-2,2-Methyl-1-naphthol,Annex III/I/263 - Directive 2012/21/EU,HAIR DYEING,17/09/2012,Colorant,Molécule chimique,Courte (16-25),19,1,1,Non
31502,2-METHYL-5-HYDROXYETHYLAMINOPHENOL,,,55302-96-0,259-583-7,5-[(2-hydroxyethyl)amino]-o-cresol,III/229,HAIR DYEING,17/10/2010,Colorant,Molécule chimique,Moyenne (26-50),34,1,1,Non
31503,2-METHYLRESORCINOL,,,608-25-3,210-155-8,"1,3-Benzenediol, 2-methyl-",III/243,HAIR DYEING,18/10/2010,Colorant,Molécule chimique,Courte (16-25),18,1,1,Non
31504,2-NITRO-5-GLYCERYL METHYLANILINE,,,80062-31-3,279-383-3,"3-[3-(methylamino)-4-nitrophenoxy]propane-1,2-diol",,HAIR DYEING,24/01/2013,Colorant,Molécule chimique,Moyenne (26-50),32,1,1,Non
41526,"3-AMINO-2,4-DICHLOROPHENOL",,,61693-42-3,262-909-0,"Phenol, 3-amino -2,4-dichloro-",III/19,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),26,1,1,Non
41538,"3-AMINO-2,4-DICHLOROPHENOL HCL",,,61693-43-4,,"2,4-Dichloro-3-aminophenol hydrochloride",III/227,HAIR DYEING,17/10/2010,Colorant,Molécule chimique,Moyenne (26-50),30,1,1,Non
86795,"3-AMINO-2,6-DIMETHYLPHENOL",,,6994-64-5,230-268-6,"3-amino-2,6-xylenol",,HAIR DYEING,11/06/2014,Colorant,Molécule chimique,Moyenne (26-50),26,1,1,Non
31517,3-METHYLAMINO-4-NITROPHENOXYETHANOL,,,59820-63-2,261-940-7,2-[3-(methylamino)-4-nitrophenoxy]ethanol,III/198,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),35,1,1,Non
31519,3-NITRO-P-HYDROXYETHYLAMINOPHENOL,,,65235-31-6,265-648-0,4-[(2-hydroxyethyl)amino]-3-nitrophenol,III/248,HAIR DYEING,18/10/2010,Colorant,Molécule chimique,Moyenne (26-50),33,1,1,Non
31522,4-AMINO-2-HYDROXYTOLUENE,,,2835-95-2,220-618-6,5-amino-o-cresol,III/1/243,HAIR DYEING,14/12/2012,Colorant,Molécule chimique,Courte (16-25),24,1,1,Non
31523,4-AMINO-2-NITRODIPHENYLAMINE-2'-CARBOXYLIC ACID,,,117907-43-4,411-260-3,"1,4-Benzenediamine, 2-nitro-N(1)-(2-carboxyphenyl)-; 2-((4-amino-2-nitrophenyl)amino)benzoic acid",,HAIR DYEING,15/10/2010,Colorant,Acide,Moyenne (26-50),47,1,1,Non
31524,4-AMINO-3-NITROPHENOL,,,610-81-1,210-236-8,4-amino-3-nitrophenol,III/215,HAIR DYEING,16/12/2010,Colorant,Molécule chimique,Courte (16-25),21,1,1,Non
31525,4-AMINO-M-CRESOL,,,2835-99-6,220-621-2,4-amino-m-cresol,III/244,HAIR DYEING,18/10/2010,Colorant,Molécule chimique,Courte (16-25),16,1,1,Non
31526,4-CHLORORESORCINOL,,,95-88-5,202-462-0,"1,3-Benzenediol, 4-chloro-",Annex III/I/254 - Directive 2012/21/EU,HAIR DYEING,17/09/2012,Colorant,Molécule chimique,Courte (16-25),18,1,1,Non
54211,4-FLUORO-6-METHYL-M-PHENYLENEDIAMINE SULFATE,,,173994-76-8/217311-43-8,,"1,3-Benzenediamine, 4-Fluoro-6-Methyl-, Sulfate",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),44,1,1,Non
54212,4-FORMYL-1-METHYLQUINOLINIUM-P-TOLUENESULFONATE,,,223398-02-5,,4-Formyl-1-methylquinolinium 4-methylbenzenesulfonate,,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),47,1,1,Non
31528,4-HYDROXYPROPYLAMINO-3-NITROPHENOL,,,92952-81-3,406-305-9,1-Hydroxy-3-nitro-4-(3-hydroxypropylamino)benzene,III/205,HAIR DYEING,17/10/2010,Colorant,Molécule chimique,Moyenne (26-50),34,1,1,Non
54215,"4-METHYLBENZYL 4,5-DIAMINO PYRAZOLE SULFATE",,,173994-77-9,,"1H-Pyrazole-4,5-Diamine, 1-[(4-Methylphenyl)Methyl]-, Sulfate (2:1)",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),43,1,1,Non
31532,4-NITRO-O-PHENYLENEDIAMINE,,,99-56-9,202-766-3,4-nitro-o-phenylenediamine (CI 76020),Annex III/I/265 - Directive 2012/21/EU,HAIR DYEING,17/09/2012,Colorant,Molécule chimique,Moyenne (26-50),26,1,1,Non
54217,4-NITRO-O-PHENYLENEDIAMINE DIHYDROCHLORIDE,,,6219-77-8,228-293-2,"4-nitrobenzene-1,2-diamine dihydrochloride (CI 76020)",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),42,1,1,Non
31533,4-NITRO-O-PHENYLENEDIAMINE HCL,,,6219-77-8,228-293-2,"4-nitrobenzene-1,2-diamine dihydrochloride (CI 76020)",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),30,1,1,Non
31534,4-NITRO-O-PHENYLENEDIAMINE SULFATE,,,68239-82-7,269-476-7,"1,2-Benzenediamine, 4-nitro, sulfate (1:1)",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),34,1,1,Non
31535,4-NITROPHENYL AMINOETHYLUREA,,,27080-42-8,410-700-1,1-(.beta.-Ureidoethyl)amino-4-nitrobenzene,III/249,HAIR DYEING,18/10/2010,Colorant,Molécule chimique,Moyenne (26-50),28,1,1,Non
54221,5-AMINO-4-CHLORO-O-CRESOL,,,110102-86-8,,5-Amino-4-chloro-2-methylphenol,,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),25,1,1,Non
54222,5-AMINO-4-CHLORO-O-CRESOL HCL,,,110102-85-7,,5-Amino-4-chloro-2-methylphenol hydrochloride,Annex III/I/258 - Directive 2012/21/EU,HAIR DYEING,17/09/2012,Colorant,Molécule chimique,Moyenne (26-50),29,1,1,Non
31537,5-AMINO-6-CHLORO-O-CRESOL,,,84540-50-1,283-144-9,3-amino-2-chlor-6-methylphenol,,"ANTIMICROBIAL, HAIR DYEING",15/10/2010,Colorant,Molécule chimique,Courte (16-25),25,2,1,Non
87996,"6-AMINO-2,4-DICHLORO-M-CRESOL HCL",,,39549-31-0,254-503-7,"6-Amino-2,4-Dichloro-m-Cresol HCl is the organic compound.",,HAIR DYEING,16/05/2014,Colorant,Molécule chimique,Moyenne (26-50),33,1,1,Non
31539,6-AMINO-M-CRESOL,,,2835-98-5,220-620-7,6-amino-m-cresol,,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),16,1,1,Non
