ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,,,,,"(Magnolia Officinalis/Phellodendron Amurense) Bark/Camellia Japonica Leaf/Zingiber Officinale Root/Citrus Paradisi Seed Water is the aqueous solution obtained from the steam distillates of the bark of Magnolia officinalis and Phellodendron amurense , the roots of Zingiber officinale and the seeds of Citrus paradisi",,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",07/02/2013,Conservateur,Eau / Hydrolat,Très longue (>100),125,4,5,Oui
31471,"2,2'-THIOBIS(4-CHLOROPHENOL)",fenticlor,,97-24-5,202-568-7,"2,2'-Thiobis(4-chlorophenol)",,ANTIMICROBIAL,15/10/2010,Conservateur,Molécule chimique,Moyenne (26-50),28,1,1,Non
31492,"2-BROMO-2-NITROPROPANE-1,3-DIOL",bronopol,,52-51-7,200-143-0,"1,3-Propanediol, 2-bromo-2-nitro-",V/21,PRESERVATIVE,16/10/2010,Conservateur,Molécule chimique,Moyenne (26-50),31,1,1,Non
31527,4-HYDROXYBENZOIC ACID,,,99-96-7,202-804-9,4-hydroxybenzoic acid,V/12,PRESERVATIVE,16/10/2010,Conservateur,Acide,Courte (16-25),21,1,1,Non
54219,4-T-BUTYLBENZOIC ACID,,,98-73-7,202-696-3,"Benzoic Acid, 4-(1,1-Dimethylethyl)-",,"ANTIMICROBIAL, MASKING",15/10/2010,Conservateur,Acide,Courte (16-25),21,2,1,Non
31538,"5-BROMO-5-NITRO-1,3-DIOXANE",,,30007-47-7,250-001-7,"5-bromo-5-nitro-1,3-dioxane",V/20,PRESERVATIVE,16/10/2010,Conservateur,Molécule chimique,Moyenne (26-50),27,1,1,Non
31546,7-ETHYLBICYCLOOXAZOLIDINE,,,7747-35-5,231-810-4,"7a-ethyldihydro-1H,3H,5H-oxazolo[3,4-c]oxazole",V/49,PRESERVATIVE,16/10/2010,Conservateur,Molécule chimique,Courte (16-25),25,1,1,Non
93675,ABIES ALBA SEED EXTRACT,,,,,"Abies Alba Seed Extract is the extract of the seeds of Abies alba, Pinaceae.",,"ANTIMICROBIAL, ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING",10/08/2015,Conservateur,Extrait,Courte (16-25),23,5,1,Non
93674,ABIES ALBA SEED OIL,,,,,,,"ANTIMICROBIAL, ANTIOXIDANT, SKIN CONDITIONING",10/08/2015,Conservateur,Huile,Courte (16-25),19,3,1,Non
86108,ABIES PECTINATA WOOD OIL,,,92128-34-2,295-728-0,"Abies Pectinata Wood Oil is the volatile oil obtained from the wood of Abies pectinata, Pinaceae",,"ANTIMICROBIAL, ANTIOXIDANT",15/10/2010,Conservateur,Huile,Courte (16-25),24,2,1,Non
