ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
31513,3-AMINOPROPANE SULFONIC ACID,,,3687-18-1,222-977-4,3-aminopropane-1-sulphonic acid,,"HYDROTROPE, SURFACTANT",15/10/2010,Tensioactif,Acide,Moyenne (26-50),28,2,1,Non
74137,ABIETIC ACID,,,514-10-3,208-178-3,Abietic acid,,"EMULSION STABILISING, SURFACTANT",15/10/2010,Tensioactif,Acide,Très courte (≤15),12,2,1,Non
74145,ACETAMIDE MEA,,,142-26-7,205-530-8,N-2-hydroxyethylacetamide,,"ANTISTATIC, FOAM BOOSTING, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING, SURFACTANT, VISCOSITY CONTROLLING",15/10/2010,Tensioactif,Molécule chimique,Très courte (≤15),13,7,1,Non
89444,ACETYL MANNOSYLERYTHRITOL LIPID,,,,,Acetyl Mannosylerythritol Lipid is the acetyl ester of Mannosylerythritol Lipid,,"EMULSION STABILISING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",12/11/2012,Tensioactif,Molécule chimique,Moyenne (26-50),31,4,1,Non
74009,ACHILLEA MILLEFOLIUM EXTRACT,,,84082-83-7,282-030-6,"Achillea Millefolium Extract is an extract of the leaves and flowers of the yarrow, Achillea millefolium L., Asteraceae",,"ANTIDANDRUFF, CLEANSING, MASKING, REFRESHING, SKIN CONDITIONING, SOOTHING, TONIC",15/10/2010,Tensioactif,Extrait,Moyenne (26-50),28,7,1,Non
87994,ACRYLATES CROSSPOLYMER-4,,,,,"Acrylates Crosspolymer-4 is copolymer of acrylic acid, methacrylic acid or one of its simple esters, crosslinked with trimethylolpropane triacrylate",,"EMULSION STABILISING, FILM FORMING, SURFACTANT, VISCOSITY CONTROLLING",30/11/2011,Tensioactif,Polymère,Courte (16-25),24,4,1,Non
83015,ACRYLIC ACID/VP CROSSPOLYMER,,,527685-31-0,,Acrylic Acid/VP Crosspolymer is a copolymer of acrylic acid and vinyl pyrrolidone monomers crosslinked with pentaerythritol triallyl ether (PETE),,"SURFACTANT, VISCOSITY CONTROLLING",23/01/2011,Tensioactif,Polymère,Moyenne (26-50),28,2,2,Oui
91945,ALMOND OIL/POLYGLYCERYL-10 ESTERS,,,,,Almond Oil/Polyglyceryl-10 Esters is the product obtained by the transesterification of Prunus Amygdalus Dulcis (Sweet Almond) Oil and Polyglycerin-10.,,"EMULSIFYING, SURFACTANT",30/10/2014,Tensioactif,Huile,Moyenne (26-50),33,2,2,Oui
31426,ALMONDAMIDE DEA,,,124046-18-0,,"Almond amides, N,N-bis(2-hydroxyethyl)-",III/60,"FOAM BOOSTING, VISCOSITY CONTROLLING",23/01/2011,Tensioactif,Molécule chimique,Très courte (≤15),15,2,1,Non
74259,ALMONDAMIDOPROPYL BETAINE,,,165586-98-1,,Almondamidopropyl dimethyl glycine,,"ANTISTATIC, CLEANSING, FOAM BOOSTING, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING",23/01/2011,Tensioactif,Molécule chimique,Courte (16-25),25,6,1,Non
31430,ALMONDAMIDOPROPYLAMINE OXIDE,,,124046-20-4,,"Amides, almond, N-[3-(dimethylamino)-propyl]-, N-oxide",,"CLEANSING, FOAMING, HYDROTROPE",23/01/2011,Tensioactif,Molécule chimique,Moyenne (26-50),28,3,1,Non
89777,ALPHA-GLUCAN OLIGOSACCHARIDE,,,,,"Alpha-Glucan Oligosaccharide is a glucose oligomer exhibiting a degree of polymerization ranging from 2 to 10. It is prepared by the action of a Leuconostoc mesenteroides glucosyl transferase on sucrose. The α-D-glucopyranose monomers are linked by (1-2), (1-6), and (1-4) bonds.",,"CLEANSING, SKIN CONDITIONING, SMOOTHING",25/04/2014,Tensioactif,Molécule chimique,Moyenne (26-50),28,3,1,Non
