ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
74131,7-DEHYDROCHOLESTEROL,,,434-16-2,207-100-5,"Cholesta-5,7-dien-3(beta)-ol",,"EMULSION STABILISING, SKIN CONDITIONING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Molécule chimique,Courte (16-25),20,3,1,Non
87227,ACACIA SEYAL GUM OCTENYLSUCCINATE,,,455885-22-0,,Acacia Seyal Gum Octenylsuccinate is the product obtained by the reaction of Acacia Seyal Gum with octenylsuccinic acid anhydride,,EMULSIFYING,23/01/2011,Émulsifiant,Molécule chimique,Moyenne (26-50),33,1,1,Non
73995,ACETYLATED GLYCOL STEARATE,,,22613-51-0,245-122-7,2-acetoxyethyl stearate,,"EMOLLIENT, EMULSION STABILISING, SKIN CONDITIONING",15/10/2010,Émulsifiant,Molécule chimique,Moyenne (26-50),26,3,1,Non
73996,ACETYLATED HYDROGENATED COTTONSEED GLYCERIDE,,,165800-53-3,,"Glycerides, cottonseed oil mono-, hydrogenated, acetates",,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING",15/10/2010,Émulsifiant,Botanique,Moyenne (26-50),44,3,1,Non
73999,ACETYLATED HYDROGENATED TALLOW GLYCERIDE,,,68990-58-9,273-612-0,"Glycerides, tallow mono-, hydrogenated, acetates",,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING",15/10/2010,Émulsifiant,Molécule chimique,Moyenne (26-50),40,3,1,Non
74000,ACETYLATED HYDROGENATED TALLOW GLYCERIDES,,,91723-32-9,294-538-5,"Glycerides, tallow mono-, di- and tri-, hydrogenated, acetates",,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING",15/10/2010,Émulsifiant,Molécule chimique,Moyenne (26-50),41,3,1,Non
74002,ACETYLATED LANOLIN,,,61788-48-5,262-979-2,"Lanolin, acetate",,"ANTISTATIC, EMOLLIENT, EMULSIFYING, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Émulsifiant,Molécule chimique,Courte (16-25),18,5,1,Non
74003,ACETYLATED LANOLIN ALCOHOL,,,61788-49-6,262-980-8,"Acetic acid, esters with lanolin alcs.",,"ANTISTATIC, EMOLLIENT, EMULSIFYING, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Émulsifiant,Molécule chimique,Moyenne (26-50),26,5,1,Non
31602,ACETYLATED PALM KERNEL GLYCERIDES,,,91744-63-7,294-627-9,"Glycerides, palm kernel-oil, acetylated",,"EMOLLIENT, EMULSIFYING",15/10/2010,Émulsifiant,Molécule chimique,Moyenne (26-50),33,2,1,Non
54260,ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER,,,38193-60-1,,2-Methyl-2-[(1-oxo-2-propenyl)amino]-1-propanesulfonic acid monosodium salt polymer with 2-propenamide,III/66,"EMULSION STABILISING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Polymère,Longue (51-100),51,2,2,Oui
54265,ACRYLATES/AMINOACRYLATES/C10-30 ALKYL PEG-20 ITACONATE COPOLYMER,,,,,"Copolymer formed from C10-30 alkyl Peg-20 methylenesuccinate, C1-4 alkyl aminoacrylate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,EMULSION STABILISING,15/10/2010,Émulsifiant,Polymère,Longue (51-100),64,1,3,Oui
74162,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,,,,,"C10-30 alkyl propenoate, polymer with propenoic acid, butenoic acidand/or alkyl propenoates, product with propenyl sucrose ether or propenyl 2,2-dihydroxymethyl-1,3-propanediol",,"EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Polymère,Moyenne (26-50),44,3,2,Oui
87185,ACRYLATES/C5-8 ALKYL ACRYLATE COPOLYMER,,,,,"Acrylates/C5-8 Alkyl Acrylate Copolymer is the copolymer of C5-8 alkyl acrylate and one or more monomers of acrylic acid, methacrylic acid, or one of their simple esters",,"EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Polymère,Moyenne (26-50),39,3,2,Oui
54384,ACRYLATES/STEARYL METHACRYLATE COPOLYMER,,,,,"Copolymer formed from stearyl 2-methylpropenoate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,"EMULSION STABILISING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Polymère,Moyenne (26-50),40,2,2,Oui
31667,ACRYLATES/VINYL ISODECANOATE CROSSPOLYMER,,,,,"Ethenyl isodecanoate, polymer with 2-methyl-2-propenoic acid, 2-propenoic acid or one or more of their simple esters, and polyalkenylpolyether",,"EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Polymère,Moyenne (26-50),41,3,2,Oui
82364,ACRYLATES/VINYL NEODECANOATE CROSSPOLYMER,,,,,"Acrylates/Vinyl Neodecanoate Crosspolymer is a copolymer of vinyl neodecanoate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters crosslinked with an allyl ether of trimethylolpropane or pentaerythritol",,"EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Polymère,Moyenne (26-50),41,3,2,Oui
83940,ACRYLIC ACID/STEARYL ACRYLATE COPOLYMER,,,36120-03-3,,"2-Propenoic Acid, Polymer with Octadecyl 2-Propenoate",,"EMULSION STABILISING, FILM FORMING",15/10/2010,Émulsifiant,Polymère,Moyenne (26-50),39,2,2,Oui
54394,ACRYLIC ACID/STEARYL METHACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,,,,,"A copolymer of acrylic acid, stearyl methacrylate, and dimethicone methacrylate monomers",,EMULSION STABILISING,15/10/2010,Émulsifiant,Silicone,Longue (51-100),68,1,3,Oui
85547,ADANSONIA DIGITATA SEED OIL PEG-8 ESTERS,,,,,Adansonia Digitata Seed Oil PEG-8 Esters is the product obtained by the transesterification of Adansonia Digitata Seed Oil and PEG-8,,"EMOLLIENT, EMULSIFYING",23/01/2011,Émulsifiant,Huile,Moyenne (26-50),40,2,1,Non
85421,ADANSONIA DIGITATA SEED OIL POLYGLYCERYL-6 ESTERS,,,,,Adansonia Digitata Seed Oil Polyglyceryl-6 Esters is the product obtained by the transesterification of Adansonia Digitata Seed Oil and Polyglycerin-6,,"EMOLLIENT, EMULSIFYING",23/01/2011,Émulsifiant,Huile,Moyenne (26-50),49,2,1,Non
54284,ALCALIGENES POLYSACCHARIDES,,,,,Alcaligenes Polysaccharides are the polysaccharides produced by a bacterial culture of Alcaligenes latus,,"EMOLLIENT, EMULSION STABILISING, HUMECTANT, SKIN CONDITIONING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Molécule chimique,Moyenne (26-50),27,5,1,Non
31423,ALLYL METHACRYLATES CROSSPOLYMER,,,182212-41-5,,"2-Propenoic acid, 2-methyl-, 1,2-ethenediyl ester, polymer with 2-propenyl 2-methyl-2-propenoate",,"EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Polymère,Moyenne (26-50),32,3,1,Non
87238,ALMOND OIL GLYCERETH-8 ESTERS,,,,,Almond Oil Glycereth-8 Esters is the product obtained by the transesterification of Glycereth-8 with Prunus Amygdalus Dulcis (Sweet Almond) Oil,,"EMOLLIENT, EMULSIFYING",15/10/2010,Émulsifiant,Huile,Moyenne (26-50),29,2,1,Non
74256,ALMOND OIL PEG-6 ESTERS,,,124046-50-0,,"Oils, almond, ethoxylated, 6 mol EO",,"EMOLLIENT, EMULSIFYING",23/01/2011,Émulsifiant,Huile,Courte (16-25),23,2,1,Non
54336,ALMOND OIL PEG-8 ESTERS,,,,,Almond oil peg-8 esters is a complex formed by the transesterification of the fatty acids derived from almond oil and PEG-8,,"EMOLLIENT, EMULSIFYING",23/01/2011,Émulsifiant,Huile,Courte (16-25),23,2,1,Non
74193,ALUMINUM BEHENATE,,,18990-72-2,242-726-2,Aluminium tridocosanoate,,"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Molécule chimique,Courte (16-25),17,4,1,Non
74197,ALUMINUM CAPRYLATE,,,6028-57-5,227-902-9,Aluminium trioctanoate,,"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Molécule chimique,Courte (16-25),18,4,1,Non
74205,ALUMINUM DICETYL PHOSPHATE,,,26527-54-8,,"Phosphoric acid, bis(hexadecyl)ester, aluminium salt",,EMULSION STABILISING,15/10/2010,Émulsifiant,Molécule chimique,Moyenne (26-50),26,1,1,Non
74209,ALUMINUM DILINOLEATE,,,53202-37-2,,"9,12-octadecadienoic acid (Z,Z)-, dimer, aluminum salt",,"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Molécule chimique,Courte (16-25),20,4,1,Non
74210,ALUMINUM DIMYRISTATE,,,56639-51-1,260-305-1,Hydroxybis(myristato-O)aluminium,,"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Molécule chimique,Courte (16-25),20,4,1,Non
74211,ALUMINUM DISTEARATE,,,300-92-5,206-101-8,Hydroxyaluminium distearate,,"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Molécule chimique,Courte (16-25),19,4,1,Non
