ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,,,,,"(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water is the aqueous solution of the steam distillates obtained from the roots of Angelica gigas, Glycyrrhiza uralensis , and Rehmannia glutinosa ; the stems of Angelica gigas ; the flowers of Carthamus tinctorius ; the seeds of Carthamus tinctorius , and Prunus persica ; and the fungus, Poria cocos.",,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",18/12/2012,Humectant,Eau / Hydrolat,Très longue (>100),171,3,7,Oui
93584,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/EUCHEUMATOIDES/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OIIGOSACCHARIDES,,,,,"(Gelidium Elegans/Lingulatum/Rex/Sesquipedale)/(Gracilaria Chilensis/Eucheumatoides/Vermiculophylla)/Pterocladiella Tenuis OIigosaccharides are the oligosaccharides produced by the enzymatic degradation of Agar that is obtained from Gelidium elegans, Pterocladiella tenuis, Gelidium sesquipedale, Gelidium rex, Gelidium lingulatum, Gracilaria vermiculophylla, Gracilaria chilensis and Hydropuntia eucheumatoides.",,"HUMECTANT, SKIN CONDITIONING",10/08/2015,Humectant,Molécule chimique,Très longue (>100),139,2,8,Oui
31466,"1,2,6-HEXANETRIOL",,,106-69-4,203-424-6,"Hexane-1,2,6-triol",,"HUMECTANT, SOLVENT, VISCOSITY CONTROLLING",24/01/2011,Humectant,Molécule chimique,Courte (16-25),17,3,1,Non
54169,"1,2-BUTANEDIOL",,,584-03-2,209-527-2,,,"HUMECTANT, SKIN CONDITIONING, SOLVENT, VISCOSITY CONTROLLING",15/10/2010,Humectant,Molécule chimique,Très courte (≤15),14,4,1,Non
54180,"2,3-BUTANEDIOL",,,513-85-9,208-173-6,"2,3-Butylene Glycol",,"HUMECTANT, MASKING, SKIN CONDITIONING, SOLVENT",15/10/2010,Humectant,Molécule chimique,Très courte (≤15),14,4,1,Non
92281,3-BUTYLGLYCERYL ASCORBATE,,,,,,,"HUMECTANT, SKIN CONDITIONING",16/09/2014,Humectant,Molécule chimique,Courte (16-25),25,2,1,Non
87517,3-GLYCERYL ASCORBATE,,,,,,,"ANTIOXIDANT, HUMECTANT",04/07/2012,Humectant,Molécule chimique,Courte (16-25),20,2,1,Non
93160,3-LAURYL/TRIDECYLGLYCERYL ASCORBATE,,,,,3-Lauryl/Tridecylglyceryl Ascorbate is the product obtained by the reaction of Ascorbic Acid with a mixture of the ethers formed between lauryl alcohol and glycerin and tridecyl alcohol and glycerin.,,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING",10/08/2015,Humectant,Molécule chimique,Moyenne (26-50),35,3,2,Oui
93358,3-LAURYLGLYCERYL ASCORBATE,,,1120360-38-4,,"L-Ascorbic acid, 3-O-[3-(dodecyloxy)-2-hydroxypropyl]-",,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING",10/08/2015,Humectant,Molécule chimique,Moyenne (26-50),26,3,1,Non
91660,ABELMOSCHUS MANIHOT ROOT EXTRACT,,,,,"Abelmoschus Manihot Root Extract is the extract of the roots of Abelmoschus manihot, Malvaceae.",,"HUMECTANT, SKIN CONDITIONING",16/09/2014,Humectant,Extrait,Moyenne (26-50),32,2,1,Non
90702,ABIES SACHALINENSIS LEAF EXTRACT,,,,,"Abies Sachalinensis Leaf Extract is the extract of the leaves of Abies sachalinensis, Pinaceae.",,"HUMECTANT, SKIN CONDITIONING",18/04/2013,Humectant,Extrait,Moyenne (26-50),32,2,1,Non
82844,ACACIA SEYAL GUM,,,,,"Acacia Seyal Gum is the dried, gummy exudate obtained from Acacia seyal, Fabaceae",,HUMECTANT,15/10/2010,Humectant,Molécule chimique,Courte (16-25),16,1,1,Non
82839,ACACIA SEYAL GUM EXTRACT,,,,,"Acacia Seyal Gum Extract is the extract of Acacia Seyal Gum, Fabaceae",,HUMECTANT,15/10/2010,Humectant,Extrait,Courte (16-25),24,1,1,Non
