ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
89457,(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER,,,,,(Lepidium Meyenii/Sarcodon Aspratus) Root Water is the aqueous solution of the steam distillates obtained from the roots of Lepidium meyenii and Sarcodon aspratus,,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, SKIN PROTECTING",19/11/2012,Antioxydant,Eau / Hydrolat,Moyenne (26-50),47,4,2,Oui
54190,2-ACETYLHYDROQUINONE,,,490-78-8,207-716-4,"Ethanone, 1-(2,5-Dihydroxyphenyl)-",,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING",15/10/2010,Antioxydant,Molécule chimique,Courte (16-25),20,3,1,Non
85416,"3,4-METHYLENEDIOXYBENZYL METHYLSULFONE",,,,,,,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING",15/10/2010,Antioxydant,Molécule chimique,Moyenne (26-50),38,3,1,Non
92151,4'-METHOXYCHALCONE,,,959-23-9,213-495-5,"Benzylidene(4-methoxyacetophenone),1-(4-Methoxyphenyl)-3-phenylprop-2-en-1-one",,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING",16/09/2014,Antioxydant,Molécule chimique,Courte (16-25),18,3,1,Non
54209,4-BUTYLRESORCINOL,,,18979-61-8,,"1,3-Dihydroxy-4-N Butyl Benzene",,ANTIOXIDANT,15/10/2010,Antioxydant,Molécule chimique,Courte (16-25),17,1,1,Non
89493,4-ISOBUTYLRESORCINOL,,,18979-62-9,,"1,3-Benzenediol, 4-(2-methylpropyl)-",,ANTIOXIDANT,26/08/2013,Antioxydant,Molécule chimique,Courte (16-25),20,1,1,Non
86295,ACACIA CATECHU CATECHINS,,,,,"Acacia Catechu Catechins is a mixture of catechins obtained from the leaves of Acacia catechu, Fabaceae",,ANTIOXIDANT,15/10/2010,Antioxydant,Molécule chimique,Courte (16-25),24,1,1,Non
82765,ACACIA CATECHU WOOD EXTRACT,,,8001-76-1,232-291-7,"Acacia Catechu Wood Extract is the extract of the wood of the Black Catechu, Acacia catechu L., Leguminosae",,ANTIOXIDANT,15/10/2010,Antioxydant,Extrait,Moyenne (26-50),27,1,1,Non
54245,ACACIA VICTORIAE FRUIT EXTRACT,,,,,"Acacia Victoriae Fruit Extract is an extract of the fruit of the acacia, Acacia victoriae, Fabaceae",,"ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Antioxydant,Extrait,Moyenne (26-50),30,3,1,Non
89651,ACANTHOPANAX KOREANUM OIL,,,,,"Acanthopanax Koreanum Oil is the volatile oil obtained from the whole plant, Acanthopanax koreanum.",,"ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING",18/12/2012,Antioxydant,Huile,Courte (16-25),25,3,1,Non
54248,ACER PALMATUM LEAF EXTRACT,,,,,"Acer Palmatum Leaf Extract is an extract of the leaves of Acer Palmatum, Aceraceae",,ANTIOXIDANT,08/12/2015,Antioxydant,Extrait,Moyenne (26-50),26,1,1,Non
54250,ACETAMIDOCAPROIC ACID,,,57-08-9,200-310-8,"Hexanoic acid, 6-(acetylamino)",,ANTIOXIDANT,15/10/2010,Antioxydant,Acide,Courte (16-25),21,1,1,Non
86594,ACETOXYTETRAMETHYLBUTYLPHENYL TETRAMETHYLBUTYLBENZOFURANONE,,,216698-07-6,431-770-1,"2(3H)-Benzofuranone, 3-(2-(acetyloxy)-5-(1,1,3,3-tetramethylbutyl)phenyl)-5-(1,1,3,3-tetramethylbutyl)-",,ANTIOXIDANT,15/10/2010,Antioxydant,Molécule chimique,Longue (51-100),59,1,1,Non
54254,ACETYL BENZOYLOXY PRASTERONE,,,307976-92-7,,3(beta)-(Acetyloxy)-7(alpha)-(benzyloxy)-androst-5-en-17-one,,"ANTIOXIDANT, SKIN CONDITIONING",15/10/2010,Antioxydant,Molécule chimique,Moyenne (26-50),28,2,1,Non
73979,ACETYL CYSTEINE,,,616-91-1,210-498-3,Acetylcysteine,,"ANTIOXIDANT, SKIN CONDITIONING",15/10/2010,Antioxydant,Molécule chimique,Très courte (≤15),15,2,1,Non
84120,ACETYL HEXAPEPTIDE-22,,,,,Acetyl Hexapeptide-22 is the reaction product of Acetic Acid  and Hexapeptide-22,,"ANTIOXIDANT, REDUCING, SKIN PROTECTING",15/10/2010,Antioxydant,Peptide,Courte (16-25),21,3,1,Non
88332,ACETYL OLIGOPEPTIDE-70,,,,,Acetyl Oligopeptide-70 is the product obtained by the acetylation of Oligopeptide-70.,,"ANTIOXIDANT, CHELATING, SKIN PROTECTING",30/11/2011,Antioxydant,Peptide,Courte (16-25),22,3,1,Non
89937,ACETYLSALICYLOYL PENTAPEPTIDE-33,,,,,Acetylsalicyloyl Pentapeptide-33 is the product obtained by the reaction of Acetylsalicylic Acid and Pentapeptide-33 .,,"ANTIOXIDANT, SKIN PROTECTING",22/04/2013,Antioxydant,Peptide,Moyenne (26-50),32,2,1,Non
86234,ACIDOPHILUS/GRAPE FERMENT FILTRATE,,,,,"Acidophilus/Grape Ferment Filtrate is a filtrate of the product obtained by the fermentation of grapes by the microorganism, Acipophilus",,"ABRASIVE, ANTIOXIDANT, SKIN CONDITIONING",15/10/2010,Antioxydant,Acide,Moyenne (26-50),34,3,2,Oui
85618,ACORUS CALAMUS CALLUS CULTURE EXTRACT,,,84775-39-3,283-869-0,"Acorus Calamus Callus Culture Extract is the extract of a culture of the callus cells of Acorus calamus L., Acoraceae",,"ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING",15/10/2010,Antioxydant,Extrait,Moyenne (26-50),37,3,1,Non
89975,ACRYLATES/RHUS VERNICIFLUA SAP EXTRACT CROSSPOLYMER,,,,,"Polymer, Laquer Tree Sap",,"ANTIOXIDANT, SKIN CONDITIONING",29/04/2013,Antioxydant,Polymère,Longue (51-100),51,2,2,Oui
91332,ACTAEA HERACLEIFOLIA ROOT EXTRACT,,,,,"Actaea Heracleifolia Root Extract is the extract of the roots of Actaea heracleifolia, Ranunculaceae.",,"ANTIOXIDANT, SKIN CONDITIONING",08/10/2014,Antioxydant,Extrait,Moyenne (26-50),33,2,1,Non
