ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
82367,2-(2-AMINOETHOXY)ETHANOL,,,929-06-6,213-195-4,2-(2-Aminoethoxy)ethanol; Diglycolamine,,HAIR FIXING,15/10/2010,Soin capillaire,Molécule chimique,Courte (16-25),24,1,1,Non
90243,"2-OLEAMIDO-1,3,4-OCTADECATRIYL PROLINATE",,,1319128-52-3,,"2-Oleamido-1,3,4-Octadecatriyl Prolinate is the organic compound",,"ANTIDANDRUFF, ANTISEBORRHOEIC, HAIR CONDITIONING, SKIN CONDITIONING",06/01/2014,Soin capillaire,Molécule chimique,Moyenne (26-50),40,4,1,Non
31515,3-ETHYLAMINO-P-CRESOL SULFATE,,,68239-79-2,269-473-0,Bis[ethyl(4-hydroxy-o-tolyl)ammonium] sulphate,,HAIR CONDITIONING,15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),29,1,1,Non
54231,ABIES KOREANA LEAF EXTRACT,,,,,"Abies Koreana Leaf Extract is an extract of the leaves of Abies koreana, Pinaceae",,"HAIR CONDITIONING, HAIR WAVING OR STRAIGHTENING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),26,3,1,Non
54232,ABIES KOREANA LEAF POWDER,,,,,"Abies Koreana Leaf Powder is the powder obtained from the dried, ground leaves of the Abies koreana, Pinaceae",,"HAIR CONDITIONING, HAIR WAVING OR STRAIGHTENING, MASKING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Botanique,Courte (16-25),25,4,1,Non
86014,ABRUS PRECATORIUS ROOT EXTRACT,,,90320-07-3,291-030-5,"Abrus Precatorius Root Extract is the extract of the roots of Abrus precatorius L., Fabaceae",,HAIR CONDITIONING,15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),30,1,1,Non
54237,ACACIA CONCINNA FRUIT POWDER,,,202148-87-6,,"Acacia Concinna Fruit Powder is the powder obtained from the dried, ground fruit of Acacia concinna, Leguminosae",,HAIR CONDITIONING,15/10/2010,Soin capillaire,Botanique,Moyenne (26-50),28,1,1,Non
54251,ACETAMIDOETHYL PG-TRIMONIUM CHLORIDE,,,167614-36-0,,"1-Propanaminium, 3-[2-(Acetylamino)Ethoxy]-2-Hydroxy-N;N;N-Trimethyl-,Chloride",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),36,2,1,Non
31568,ACETAMIDOPROPYL TRIMONIUM CHLORIDE,,,123776-56-7,,"3-(Acetylamino)-N,N,N-trimethyl-1-propanaminium chloride",,ANTISTATIC,15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),34,1,1,Non
31574,ACETUM,,,90132-02-8,290-419-7,"Vinegar, ext.",,ANTISTATIC,15/10/2010,Soin capillaire,Molécule chimique,Très courte (≤15),6,1,1,Non
54130,ACETYL DIPEPTIDE-1 CETYL ESTER,,,,,"Tyrosine acetate and arginine, hexadecyl ester, dipeptide",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Peptide,Moyenne (26-50),30,2,1,Non
93653,ACETYL METHYL OLEANOLATE,,,,,,,HAIR CONDITIONING,10/08/2015,Soin capillaire,Molécule chimique,Courte (16-25),24,1,1,Non
89551,ACETYL TRIPEPTIDE-45 D-PHENYLALANYL OCTAPEPTIDE-14 NORLEUCYL PENTAPEPTIDE-38 METHYL LEUCYL DECAPEPTIDE-26 NORLEUCYL GLUTAMYL METHYL LEUCYL ISOLEUCINAMIDE,,,,,"Acetyl Tripeptide-45 D-Phenylalanyl Octapeptide-14 Norleucyl Pentapeptide-38 Methyl Leucyl Decapeptide-26 Norleucyl Glutamyl Methyl Leucyl Isoleucinamide is the reaction product of isoleucine with an acetylated peptide containing a lactam bridge and consisting of Tripeptide-45 (q.v.), D-phenylalanine, Octapeptide-14 (q.v.), norleucine, Pentapeptide-38 (q.v.) methyl leucine, Decapeptide-26 (q.v.) and glutamine.",,HAIR CONDITIONING,18/12/2012,Soin capillaire,Peptide,Très longue (>100),153,1,1,Non
54145,ACETYLATED C10-40 HYDROXYALKYL ACID CHOLESTEROL/LANOSTEROL ESTERS,,,,,"2-Acetoxy-C10-40-alkanoic acids, esters with (3beta)-cholest-5-en-3-ol and (3.beta.)-lanosta-8,24-dien-3-ol",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Acide,Longue (51-100),65,2,2,Oui
31604,ACETYLMETHIONYL METHYLSILANOL ELASTINATE,,,227200-23-9,,"Elastin, reaction products with N-acetyl-L-methionine and methylsilanetriol",,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),40,3,1,Non
54149,ACETYLPHYTOSPHINGOSINE,,,,,"Acetylphytosphingosine is 1,3,4-Octadecanetriol, 2-amino-, acetate, (2S, 3S, 4R)",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Courte (16-25),22,2,1,Non
