ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
89078,GOSSYPIUM HIRSUTUM SEED EXTRACT,,,8001-29-4,232-280-7,"Gossypium Hirsutum Seed Extract is the extract of the seeds of Gossypium hirsutum, Malvaceae.",,SKIN CONDITIONING,04/07/2012,Autre,Extrait,Moyenne (26-50),31,1,1,Non
88652,ISOOCTANOYL TETRAPEPTIDE-25,,,,,Isooctanoyl Tetrapeptide-25 is the product obtained by the reaction of Tetrapeptide-25  with a branched chain octanoic acid.,,SKIN CONDITIONING,14/05/2014,Autre,Peptide,Moyenne (26-50),27,1,1,Non
89204,LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,,,,,"Lactobacillus/Germinated Soybean Ferment Filtrate is a filtrate of the product obtained by the fermentation of germinated soybeans ( Glycine max ) by the microorganism, Lactobacillus.",,,08/10/2012,Autre,Molécule chimique,Moyenne (26-50),49,0,2,Oui
89819,NONAPEPTIDE-11,,,,,,,"ANTISEBORRHOEIC, SKIN CONDITIONING",17/12/2012,Autre,Peptide,Très courte (≤15),14,2,1,Non
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,,,,"(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract is the extract of the roots of Angelica acutiloba , Paeonia lactiflora , Rehmannia glutinosa , Scutellaria baicalensis ; the rhizomes of Cnidium officinale and Coptis chinensis ; the fruit of Gardenia jasminoides and the bark of Phellodendron chinense.",,,08/10/2012,Autre,Extrait,Très longue (>100),198,0,8,Oui
89269,(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,,,,,"(Carthamus Tinctorius/Chamomilla Recutita/Syzygium Aromaticum) Flower/(Lithospermum Erythrorhizon/Sophora Flavescens/Scutellaria Baicalensis) Root Extract is the extract of the flowers of Carthamus tinctorius, Chamomilla recutita, Syzygium aromaticum and the roots of Lithospermum erythrorhizon, Sophora flavescens , and Scutellaria baicalensis",,,08/10/2012,Autre,Extrait,Très longue (>100),154,0,6,Oui
91167,"1,2-HEXANEDIYL DICAPRATE",,,,,"1,2-Bis(decanoyloxy)hexane",,BLEACHING,23/07/2014,Autre,Molécule chimique,Courte (16-25),24,1,1,Non
92607,"1,3-BIS-PROPANE HCL",,,74918-21-1,278-022-7,"4,4'-[Propane-1,3-Diylbis(Oxy)]Bisbenzene-1,3-Diaminetetrahydrochloride",,,06/07/2015,Autre,Molécule chimique,Courte (16-25),19,0,1,Non
88106,"1,4-BUTANEDIOL BISDECANOATE",,,,,"1,4-Butanediol Bisdecanoate is the organic compound.",,BLEACHING,14/05/2014,Autre,Molécule chimique,Moyenne (26-50),27,1,1,Non
88105,"1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE",,,,,"1,4-Cyclohexanediol Bis-Ethylhexanoate is the organic compound",,BLEACHING,14/05/2014,Autre,Molécule chimique,Moyenne (26-50),38,1,1,Non
