ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
89204,LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,,,,,"Lactobacillus/Germinated Soybean Ferment Filtrate is a filtrate of the product obtained by the fermentation of germinated soybeans ( Glycine max ) by the microorganism, Lactobacillus.",,,08/10/2012,Autre,Molécule chimique,Moyenne (26-50),49,0,2,Oui
93584,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/EUCHEUMATOIDES/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OIIGOSACCHARIDES,,,,,"(Gelidium Elegans/Lingulatum/Rex/Sesquipedale)/(Gracilaria Chilensis/Eucheumatoides/Vermiculophylla)/Pterocladiella Tenuis OIigosaccharides are the oligosaccharides produced by the enzymatic degradation of Agar that is obtained from Gelidium elegans, Pterocladiella tenuis, Gelidium sesquipedale, Gelidium rex, Gelidium lingulatum, Gracilaria vermiculophylla, Gracilaria chilensis and Hydropuntia eucheumatoides.",,"HUMECTANT, SKIN CONDITIONING",10/08/2015,Humectant,Molécule chimique,Très longue (>100),139,2,8,Oui
39661,"1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE",,,59354-71-1,261-715-3,"1,1-Dimethyl-2-phenylethyl 2-methylpropanoate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),38,1,1,Non
39242,"1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE",,,10031-71-7,233-092-8,"1,1-Dimethyl-3-phenylpropyl 2-methylpropanoate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),39,1,1,Non
54168,"1,10-DECANEDIOL",,,112-47-0,203-975-2,Decamethylene Glycol,,SOLVENT,15/10/2010,Solvant,Molécule chimique,Très courte (≤15),15,1,1,Non
40512,"1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",,,41199-19-3,255-256-8,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-trimethyl-2-naphthol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),53,1,1,Non
40507,"1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE",,,65405-72-3,265-742-1,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-tetramethyl-1-naphthyl formate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),66,1,1,Non
31465,"1,2,4-TRIHYDROXYBENZENE",,,533-73-3,208-575-1,"Benzene-1,2,4-triol",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),23,1,1,Non
31466,"1,2,6-HEXANETRIOL",,,106-69-4,203-424-6,"Hexane-1,2,6-triol",,"HUMECTANT, SOLVENT, VISCOSITY CONTROLLING",24/01/2011,Humectant,Molécule chimique,Courte (16-25),17,3,1,Non
54169,"1,2-BUTANEDIOL",,,584-03-2,209-527-2,,,"HUMECTANT, SKIN CONDITIONING, SOLVENT, VISCOSITY CONTROLLING",15/10/2010,Humectant,Molécule chimique,Très courte (≤15),14,4,1,Non
39563,"1,2-DIHYDROLINALOOL",,,18479-51-1,242-359-8,"3,7-Dimethyloct-6-en-3-ol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
54170,"1,2-HEXANEDIOL",,,6920-22-5,230-029-6,,,SOLVENT,15/10/2010,Solvant,Molécule chimique,Très courte (≤15),14,1,1,Non
91167,"1,2-HEXANEDIYL DICAPRATE",,,,,"1,2-Bis(decanoyloxy)hexane",,BLEACHING,23/07/2014,Autre,Molécule chimique,Courte (16-25),24,1,1,Non
31467,"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",,,81892-72-0,279-845-4,"4,4'-[1,3-propanediylbis(oxy)]bisbenzene-1,3-diamine",III/202,HAIR DYEING,22/07/2013,Colorant,Molécule chimique,Moyenne (26-50),35,1,1,Non
41535,"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",,,74918-21-1,278-022-7,"4,4'-[Propane-1,3-Diylbis(Oxy)]Bisbenzene-1,3-Diaminetetrahydrochloride",III/202,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),39,1,1,Non
92607,"1,3-BIS-PROPANE HCL",,,74918-21-1,278-022-7,"4,4'-[Propane-1,3-Diylbis(Oxy)]Bisbenzene-1,3-Diaminetetrahydrochloride",,,06/07/2015,Autre,Molécule chimique,Courte (16-25),19,0,1,Non
39658,"1,3-DIMETHYL-3-PHENYLBUTYL ACETATE",,,68083-58-9,268-407-8,"1,3-Dimethyl-3-phenylbutyl acetate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),34,1,1,Non
39592,"1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE",,,104516-97-4,,"1,3-Dimethyl-bicyclo[2.2.1]heptane-2-carbonitrile",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),42,1,1,Non
54173,"1,4-BUTANEDIOL",,,110-63-4,203-786-5,"Butane - 1,4 - diol",,SOLVENT,15/10/2010,Solvant,Molécule chimique,Très courte (≤15),14,1,1,Non
88106,"1,4-BUTANEDIOL BISDECANOATE",,,,,"1,4-Butanediol Bisdecanoate is the organic compound.",,BLEACHING,14/05/2014,Autre,Molécule chimique,Moyenne (26-50),27,1,1,Non
83239,"1,4-BUTANEDIOL DIMETHACRYLATE",,,2082-81-7,218-218-1,Tetramethylene dimethacrylate,,FILM FORMING,15/10/2010,Agent filmogène,Molécule chimique,Moyenne (26-50),29,1,1,Non
88105,"1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE",,,,,"1,4-Cyclohexanediol Bis-Ethylhexanoate is the organic compound",,BLEACHING,14/05/2014,Autre,Molécule chimique,Moyenne (26-50),38,1,1,Non
41232,"1,5,9-TRIMETHYL-OXABICYCLOTRIDECADIENE",,,13786-79-3/71735-79-0,237-443-6/275-967-7,"1,5,9-Trimethyl-13-oxabicyclo[10.1.0]trideca-4,8-diene; Trimethyl-13-oxabicyclo[10.1.0]trideca-4,8-diene",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),38,1,1,Non
39259,"1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE",,,7779-23-9,231-922-3,"1,5-Dimethyl-1-vinylhex-4-enyl hexanoate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),40,1,1,Non
31468,"1,5-NAPHTHALENEDIOL",,,83-56-7,201-487-4,"Naphthalene-1,5-diol (CI 76625)",III/32,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),19,1,1,Non
81397,"1,5-PENTANEDIOL",,,111-29-5,203-854-4,"Pentane-1,5-diol",,SOLVENT,15/10/2010,Solvant,Molécule chimique,Très courte (≤15),15,1,1,Non
83542,"1,6-HEXANEDIAMINE",,,124-09-4,204-679-6,Hexamethylenediamine,,BUFFERING,15/10/2010,Autre,Molécule chimique,Courte (16-25),17,1,1,Non
92787,"1-(3,4-DIMETHOXYPHENYL)-4,4-DIMETHYL-1,3-PENTANEDIONE",,,,,,,"STABILISING, UV FILTER",03/07/2015,Filtre UV,Molécule chimique,Longue (51-100),53,2,1,Non
54176,1-ACETONAPHTHONE,,,941-98-0,213-384-1,1-(1-Naphthalenyl)ethanone; 1'-Acetonaphthone,,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),16,2,1,Non
31469,1-ACETOXY-2-METHYLNAPHTHALENE,,,5697-02-9,454-690-7,"1-Naphthalenol, 2-methyl-, acetate",Annex III/I/262 - Directive 2012/21/EU,HAIR DYEING,17/09/2012,Colorant,Molécule chimique,Moyenne (26-50),29,1,1,Non
39438,1-CYCLOHEXYLETHANOL,,,1193-81-3,214-780-7,1-Cyclohexylethanol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
39894,1-ETHYL-3-METHOXY-TRICYCLOHEPTANE,,,31996-78-8,403-610-9,"1-Ethyl-3-methoxy-tricyclo[2.2.1.02.6]heptane; Tricyclo(2.2.1.02,6)heptane, 1-ethyl-3-methoxy-",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),33,1,1,Non
39841,"1-ETHYLCYCLOHEXANE-1,4-DIMETHANOL",,,67663-05-2,266-851-7,"1-Ethylcyclohexane-1,4-dimethanol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),33,1,1,Non
40009,1-FURFURYL-1H-PYRROLE,,,1438-94-4,215-876-1,1-Furfuryl-1H-pyrrole,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),21,1,1,Non
40188,1-HEXEN-3-OL,,,4798-44-1,225-355-0,Hex-1-en-3-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),12,1,1,Non
92298,"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",,,1361000-03-4,,"1H-Pyrazole-4,5-diamine, 1-hexyl-, sulfate (2:1)",,HAIR DYEING,28/11/2014,Colorant,Molécule chimique,Moyenne (26-50),36,1,1,Non
54177,"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",,,155601-30-2,429-300-3,"1H-Pyrazole-1-Ethanol, 4,5 diamino-, sulfate; 1-(2-hydroxyethyl)-1H-pyrazol-4,5-diyldiammoniumsulfate",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Moyenne (26-50),43,1,1,Non
39712,1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE,,,67920-94-9,267-755-8,1-Isopropyl-4-methylbicyclo[2.2.2]oct-5-ene-2-carbaldehyde,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),48,1,1,Non
40717,1-METHYL-4-METHYLETHENYL-CYCLOHEXENE SULFURIZED,,,68921-26-6,272-933-3,"1-Methyl-4-(1-methylethenyl)-cyclohexene, sulfurized",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),47,1,1,Non
40729,1-METHYL-4-METHYLVINYL-CYCLOHEXANOL,,,138-87-4,205-342-6,1-Methyl-4-(1-methylvinyl)cyclohexan-1-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),35,1,1,Non
40731,1-METHYL-4-METHYLVINYL-CYCLOHEXENE,,,7705-14-8/6876-12-6,231-732-0/229-977-3,(+/-)-1-Methyl-4-(1-methylvinyl)cyclohexene; trans-1-Methyl-4-(1-methylvinyl)cyclohexene,"III/88
III/167
III/168",PERFUMING,15/10/2010,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),34,1,1,Non
40732,1-METHYL-4-METHYLVINYL-CYCLOHEXYL ACETATE,,,10198-23-9,233-494-3,1-Methyl-4-(1-methylvinyl)cyclohexyl acetate,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),41,1,1,Non
40661,1-METHYLDECYL ACETATE,,,14936-67-5,239-011-2,1-Methyldecyl acetate,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),21,1,1,Non
54178,1-METHYLHYDANTOIN-2-IMIDE,,,60-27-5,200-466-7,"4H-Imidazol-4-one, 2-amino-1,5-Dihydro-1-Methyl-",,SKIN CONDITIONING,15/10/2010,Autre,Molécule chimique,Courte (16-25),25,1,1,Non
31470,1-NAPHTHOL,,,90-15-3,201-969-4,1-naphthol (CI 76605),III/16,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),10,1,1,Non
40994,1-NONEN-3-OL,,,21964-44-3,244-686-1,Non-1-en-3-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),12,1,1,Non
40582,1-PENTEN-3-OL,,,616-25-1,210-472-1,Pent-1-en-3-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),13,1,1,Non
40643,1-PHENYLPROPYL ACETATE,,,2114-29-6,218-312-2,1-Phenylpropyl acetate,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),22,1,1,Non
