ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
89078,GOSSYPIUM HIRSUTUM SEED EXTRACT,,,8001-29-4,232-280-7,"Gossypium Hirsutum Seed Extract is the extract of the seeds of Gossypium hirsutum, Malvaceae.",,SKIN CONDITIONING,04/07/2012,Autre,Extrait,Moyenne (26-50),31,1,1,Non
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,,,,"(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract is the extract of the roots of Angelica acutiloba , Paeonia lactiflora , Rehmannia glutinosa , Scutellaria baicalensis ; the rhizomes of Cnidium officinale and Coptis chinensis ; the fruit of Gardenia jasminoides and the bark of Phellodendron chinense.",,,08/10/2012,Autre,Extrait,Très longue (>100),198,0,8,Oui
89269,(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,,,,,"(Carthamus Tinctorius/Chamomilla Recutita/Syzygium Aromaticum) Flower/(Lithospermum Erythrorhizon/Sophora Flavescens/Scutellaria Baicalensis) Root Extract is the extract of the flowers of Carthamus tinctorius, Chamomilla recutita, Syzygium aromaticum and the roots of Lithospermum erythrorhizon, Sophora flavescens , and Scutellaria baicalensis",,,08/10/2012,Autre,Extrait,Très longue (>100),154,0,6,Oui
90580,ABALONE EXTRACT,,,,,"Abalone Extract is the extract of one or more species of the sea snail, Haliotus.",,SKIN CONDITIONING,18/04/2013,Autre,Extrait,Très courte (≤15),15,1,1,Non
85874,ABELIOPHYLLUM DISTICHUM EXTRACT,,,,,"Abeliophyllum Distichum Extract is the extract of the whole plant, Abeliophyllum distichum, Oleaceae",,SKIN CONDITIONING,15/10/2010,Autre,Extrait,Moyenne (26-50),31,1,1,Non
54227,ABELMOSCHUS ESCULENTUS FRUIT EXTRACT,,,,,"Abelmoschus Esculentus Fruit Extract is an extract of the fruit of Abelmoschus esculentus, Malvaceae",,SKIN CONDITIONING,15/10/2010,Autre,Extrait,Moyenne (26-50),36,1,1,Non
91660,ABELMOSCHUS MANIHOT ROOT EXTRACT,,,,,"Abelmoschus Manihot Root Extract is the extract of the roots of Abelmoschus manihot, Malvaceae.",,"HUMECTANT, SKIN CONDITIONING",16/09/2014,Humectant,Extrait,Moyenne (26-50),32,2,1,Non
41319,ABIES ALBA CONE EXTRACT,,,90028-76-5,289-870-2,"Abies Alba Cone Extract is an extract obtained from the cones of the fir Abies alba, Pinaceae",III/103,PERFUMING,15/10/2010,Fragrance / Parfum,Extrait,Courte (16-25),23,1,1,Non
90112,ABIES ALBA EXTRACT,,,,,"Abies Alba Extract is the extract of the whole plant, Abies alba, Pinaceae.",,SKIN CONDITIONING,18/04/2013,Autre,Extrait,Courte (16-25),18,1,1,Non
41321,ABIES ALBA NEEDLE EXTRACT,,,90028-76-5,289-870-2,"Abies Alba Needle Extract is an extract obtained from the needles of the fir Abies alba, Pinaceae",III/103,PERFUMING,17/05/2013,Fragrance / Parfum,Extrait,Courte (16-25),25,1,1,Non
93675,ABIES ALBA SEED EXTRACT,,,,,"Abies Alba Seed Extract is the extract of the seeds of Abies alba, Pinaceae.",,"ANTIMICROBIAL, ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING",10/08/2015,Conservateur,Extrait,Courte (16-25),23,5,1,Non
38993,ABIES BALSAMEA BALSAM EXTRACT,,,8007-47-4,232-362-2,"Canadian Balsam; Fir Balsam. Oleoresin obtained by solvent extraction from the exudate of the balsam fir, Balsam Canada, Abies balsamea, Tsuga canadiensis, Pinaceae. It contains mainly 1-beta-phellandrene, resins, essential oil, cinnamic and benzoic acids",III/107,PERFUMING,15/10/2010,Fragrance / Parfum,Extrait,Moyenne (26-50),29,1,1,Non
74133,ABIES BALSAMEA EXTRACT,,,85085-34-3,285-364-0,"Abies Balsamea Extract is an extract of the Balsam Canada, Abies balsamea, Pinaceae",III/107,"FILM FORMING, HAIR CONDITIONING, PERFUMING",15/10/2010,Fragrance / Parfum,Extrait,Courte (16-25),22,3,1,Non
41323,ABIES BALSAMEA NEEDLE EXTRACT,,,85085-34-3,285-364-0,"Abies Balsamea Needle Extract is an extract obtained from the needles of the fir, Balsam Canada, Abies balsamea, Pinacea",III/107,PERFUMING,15/10/2010,Fragrance / Parfum,Extrait,Moyenne (26-50),29,1,1,Non
54231,ABIES KOREANA LEAF EXTRACT,,,,,"Abies Koreana Leaf Extract is an extract of the leaves of Abies koreana, Pinaceae",,"HAIR CONDITIONING, HAIR WAVING OR STRAIGHTENING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),26,3,1,Non
82186,ABIES PECTINATA LEAF EXTRACT,,,92128-34-2,295-728-0,"Abies Pectinata Leaf Extract is an extract of the needles of the silver fir, Abies pectinata, Pinaceae",III/105,"DEODORANT, TONIC",15/10/2010,Déodorant / Antiperspirant,Extrait,Moyenne (26-50),28,2,1,Non
41325,ABIES PECTINATA NEEDLE EXTRACT,,,92128-34-2,295-728-0,"Abies Pectinata Needle Extract is an extract obtained from the bark and needles of the silver fir, Abies pectinata, Pinaceae. Syn. Abies alba Miller",III/105,PERFUMING,15/10/2010,Fragrance / Parfum,Extrait,Moyenne (26-50),30,1,1,Non
90702,ABIES SACHALINENSIS LEAF EXTRACT,,,,,"Abies Sachalinensis Leaf Extract is the extract of the leaves of Abies sachalinensis, Pinaceae.",,"HUMECTANT, SKIN CONDITIONING",18/04/2013,Humectant,Extrait,Moyenne (26-50),32,2,1,Non
41327,ABIES SIBIRICA NEEDLE EXTRACT,,,91697-89-1,294-351-9,"Abies Sibirica Needle Extract is an extract obtained from the needles and branches of the fir, Abies sibirica, Pinaceeae",III/106,PERFUMING,15/10/2010,Fragrance / Parfum,Extrait,Moyenne (26-50),29,1,1,Non
54234,ABRONIA VILLOSA LEAF EXTRACT,,,,,"Abronia Villosa Leaf Extract is an extract of the leaves of Abronia villosa, Nyctaginaceae",,SKIN CONDITIONING,15/10/2010,Autre,Extrait,Moyenne (26-50),28,1,1,Non
90468,ABRUS FRUCTICULOSUS ROOT EXTRACT,,,,,"Abrus Fructiculosus Root Extract is the extract of the roots of Abrus fructiculosus, Fabaceae.",,SKIN CONDITIONING,18/04/2013,Autre,Extrait,Moyenne (26-50),32,1,1,Non
90542,ABRUS FRUTICULOSUS LEAF EXTRACT,,,,,"Abrus Fruticulosus Leaf Extract is the extract of the leaves of Arbus fructiculosus, Fabaceae.",,SKIN CONDITIONING,16/05/2014,Autre,Extrait,Moyenne (26-50),31,1,1,Non
91268,ABRUS FRUTICULOSUS ROOT EXTRACT,,,,,"Abrus Fruticulosus Root Extract is the extract of the roots of Abrus fructiculosus, Fabaceae.",,SKIN CONDITIONING,16/09/2014,Autre,Extrait,Moyenne (26-50),31,1,1,Non
89107,ABRUS PRECATORIUS MERISTEM CELL CULTURE EXTRACT,,,90320-07-3,291-030-5,"Abrus Precatorius Meristem Cell Culture Extract is the extract of a culture of the meristem cells of Abrus precatorius, Fabaceae",,SKIN CONDITIONING,04/07/2012,Autre,Extrait,Moyenne (26-50),47,1,1,Non
86014,ABRUS PRECATORIUS ROOT EXTRACT,,,90320-07-3,291-030-5,"Abrus Precatorius Root Extract is the extract of the roots of Abrus precatorius L., Fabaceae",,HAIR CONDITIONING,15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),30,1,1,Non
