ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
41320,ABIES ALBA CONE OIL,,,90028-76-5,289-870-2,"European Silver Fir Cones Oil; Templin Cones Oil. Abies Alba Cone Oil is an essential oil obtained from the cones of the fir Abies alba, Pinaceae. It contains mainly L-limonene",III/103,PERFUMING,15/10/2010,Fragrance / Parfum,Huile,Courte (16-25),19,1,1,Non
54229,ABIES ALBA LEAF OIL,,,90028-76-5,289-870-2,"Abies Alba Leaf Oil is the volatile oil derived from the needles of the fir, Abies alba, Pinaceae",III/103,"MASKING, PERFUMING, TONIC",17/05/2013,Fragrance / Parfum,Huile,Courte (16-25),19,3,1,Non
41322,ABIES ALBA NEEDLE OIL,,,90028-76-5,289-870-2,"European Silver Fir Needles Oil; Templin Needles Oil. Abies Alba needle Oil is an essential oil obtained from the needles of the fir Abies alba, Pinaceae. It contains L-alpha-pinene, L-limonene, L-bornyl acetate",III/103,PERFUMING,17/05/2013,Fragrance / Parfum,Huile,Courte (16-25),21,1,1,Non
93674,ABIES ALBA SEED OIL,,,,,,,"ANTIMICROBIAL, ANTIOXIDANT, SKIN CONDITIONING",10/08/2015,Conservateur,Huile,Courte (16-25),19,3,1,Non
74134,ABIES BALSAMEA NEEDLE OIL,,,85085-34-3,285-364-0,"Canadian Fir Needle Oil. Abies Balsamea Needle Oil is the volatile oil obtained from the needles of the fir, Balsam Canada, Abies balsamea, Pinaceae. It contains mainly L-alpha-pinene.",III/107,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Huile,Courte (16-25),25,2,1,Non
92198,ABIES CONCOLOR BRANCH/LEAF/WOOD OIL,,,,,"Abies Concolor Branch/Leaf/Wood Oil is the volatile oil abtained from branches, leaves, and wood of Abies concolor.",,MASKING,16/09/2014,Autre,Huile,Moyenne (26-50),35,1,3,Oui
41326,ABIES PECTINATA NEEDLE OIL,,,92128-34-2,295-728-0,"Abies Pectinata Needle Oil is the essential oil obtained from the needles of the fir, Abies pectinata, Pinacea. Syn. Abies alba Miller",III/105,PERFUMING,15/10/2010,Fragrance / Parfum,Huile,Moyenne (26-50),26,1,1,Non
31549,ABIES PECTINATA OIL,,,92128-34-2,295-728-0,"Abies Pectinata Oil is the volatile oil obtained from the needles of the silver fir, Abies pectinata, Pinaceae",III/105,"MASKING, TONIC",15/10/2010,Autre,Huile,Courte (16-25),19,2,1,Non
86108,ABIES PECTINATA WOOD OIL,,,92128-34-2,295-728-0,"Abies Pectinata Wood Oil is the volatile oil obtained from the wood of Abies pectinata, Pinaceae",,"ANTIMICROBIAL, ANTIOXIDANT",15/10/2010,Conservateur,Huile,Courte (16-25),24,2,1,Non
83318,ABIES SACHALINENSIS LEAF OIL,,,,,"Abies Sachalinensis Leaf Oil is the volatile oil obtained from the leaves of Abies sachalinensis, Pinaceae",,MASKING,15/10/2010,Autre,Huile,Moyenne (26-50),28,1,1,Non
41328,ABIES SIBIRICA NEEDLE OIL,,,91697-89-1,294-351-9,"Siberian Fir Needle Oil. Abies Sibirica needle Oil is an essential oil distilled from the needles and branches of the fir, Abies sibirica, Pinaceeae. It contains about 40% esters calculated as bornyl acetate, pinene, camphene, DL-limonene, and phellandrene.",III/106,PERFUMING,15/10/2010,Fragrance / Parfum,Huile,Courte (16-25),25,1,1,Non
31550,ABIES SIBIRICA OIL,,,91697-89-1,294-351-9,"Abies Sibirica Oil is the volatile oil distilled from the needles and branches of Abies sibirica, Pinaceae",III/106,"MASKING, PERFUMING, TONIC",15/10/2010,Fragrance / Parfum,Huile,Courte (16-25),18,3,1,Non
90589,ACACIA FARNESIANA FLOWER OIL,,,,,"Acacia Farnesiana Flower Oil is the volatile oil obtained from the flowers of Acacia farnesiana, Fabaceae.",,FLAVOURING,23/04/2013,Autre,Huile,Moyenne (26-50),28,1,1,Non
89651,ACANTHOPANAX KOREANUM OIL,,,,,"Acanthopanax Koreanum Oil is the volatile oil obtained from the whole plant, Acanthopanax koreanum.",,"ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING",18/12/2012,Antioxydant,Huile,Courte (16-25),25,3,1,Non
93049,ACANTHOSICYOS HORRIDUS SEED OIL,,,,,"Acanthosicyos Horridus Seed Oil is the fixed oil expressed from the seeds of Acanthosicyos horridus, Cucurbitaceae.",,"SKIN CONDITIONING, SKIN PROTECTING",10/08/2015,Autre,Huile,Moyenne (26-50),31,2,1,Non
73993,ACETYLATED CASTOR OIL,,,84929-62-4,284-546-7,"Castor oil, acetylated",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Huile,Courte (16-25),21,2,1,Non
54147,ACETYLATED HYDROGENATED CASTOR OIL,,,92113-20-7,295-625-0,"Castor Oil, hydrogenated, acetylated",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Huile,Moyenne (26-50),34,2,1,Non
74010,ACHILLEA MILLEFOLIUM OIL,,,8022-07-9/84082-83-7,-/282-030-6,"Yarrow oil. Achillea Millefolium Oil is the essential oil obtained from the flowering herb of the Yarrow, Achillea millefolium L., Asteraceae",,"ANTIDANDRUFF, CLEANSING, MASKING, PERFUMING, REFRESHING, SOOTHING, TONIC",15/10/2010,Fragrance / Parfum,Huile,Courte (16-25),24,7,1,Non
54154,ACHYROCLINE SATUREIOIDES FLOWER OIL,,,92346-81-1,296-165-3,"Achyrocline Satureioides Flower Oil is the volatile oil obtained from the flowers and stems of Achyrocline satureioides, Asteraceae",,"EMOLLIENT, MASKING, SKIN CONDITIONING",11/02/2011,Émollient / Conditioning,Huile,Moyenne (26-50),35,3,1,Non
41330,ACORUS CALAMUS ROOT OIL,,,84775-39-3,283-869-0,"Calamus Oil; Sweet Flag Oil. Acorus Calamus Root Oil is an essential oil obtained from the rhizomes of the calamus, Acorus calamus L., Araceae. It contains beta-asarone (up to 76%), calamene (about 4%), calamol (about 3%) alpha-asarone (about 1%), camphene (about 1%) and some beta-pinene and asaronaldehyde",,PERFUMING,02/03/2011,Fragrance / Parfum,Huile,Courte (16-25),23,1,1,Non
31364,ACTINIDIA CHINENSIS SEED OIL,,,299184-71-7,,"Actinidia Chinensis Seed Oil is a fixed oil expressed from the seeds of the kiwi plant, Actinidia chinensis, Actinidiaceae",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Huile,Moyenne (26-50),28,2,1,Non
31366,ADANSONIA DIGITATA OIL,,,91745-12-9/225233-93-2,294-680-8/-,"Adansonia Digitata Oil is the fixed oil obtained from the leaves and the pulp of fruits of the Monkey Bread Tree or the Baobab, Adansonia digitata L., Bombacaceae",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Huile,Courte (16-25),22,2,1,Non
54411,ADANSONIA DIGITATA SEED OIL,,,91745-12-9,294-680-8,"Adansonia Digitata Seed Oil is the oil expressd from the seeds of the Monkey Bread Tree or the Baobab, Adansonia digitata L., Bombacaceae",,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Huile,Moyenne (26-50),27,3,1,Non
85547,ADANSONIA DIGITATA SEED OIL PEG-8 ESTERS,,,,,Adansonia Digitata Seed Oil PEG-8 Esters is the product obtained by the transesterification of Adansonia Digitata Seed Oil and PEG-8,,"EMOLLIENT, EMULSIFYING",23/01/2011,Émulsifiant,Huile,Moyenne (26-50),40,2,1,Non
85421,ADANSONIA DIGITATA SEED OIL POLYGLYCERYL-6 ESTERS,,,,,Adansonia Digitata Seed Oil Polyglyceryl-6 Esters is the product obtained by the transesterification of Adansonia Digitata Seed Oil and Polyglycerin-6,,"EMOLLIENT, EMULSIFYING",23/01/2011,Émulsifiant,Huile,Moyenne (26-50),49,2,1,Non
84093,ADESMIA BORONIOIDES FLOWER/LEAF/STEM OIL,,,,,"Adesmia Boronioides Flower/Leaf/Stem Oil is the volatile oil obtained from the flowers, leaves and stems of Adesmia boronioides, Fabaceae",,"FLAVOURING, MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Huile,Moyenne (26-50),40,3,3,Oui
90527,AEGLE MARMELOS LEAF OIL,,,,,"Aegle Marmelos Leaf Oil is the volatile oil obtained from the leaves of Aegle marmelos, Rutaceae.",,MASKING,08/01/2014,Autre,Huile,Courte (16-25),23,1,1,Non
87237,AEOLLANTHUS SUAVEOLENS LEAF OIL,,,,,"Aeollanthus Suaveonlens Leaf Oil is the volatile oil obtained from the leaves of Aeollanthus suaveonlens, Lamiaceae",,"ANTIMICROBIAL, FLAVOURING, MASKING",15/10/2010,Conservateur,Huile,Moyenne (26-50),31,3,1,Non
90292,AETOXYLON SYMPETALUM WOOD OIL,,,1333524-00-7,,Aetoxylon Sympetalum Wood Oil is the volatile oil obtained from the wood of Aetoxylon sympetalum,,MASKING,20/01/2014,Autre,Huile,Moyenne (26-50),29,1,1,Non
85768,AFRAMOMUM ANGUSTIFOLIUM LEAF OIL,,,,,"Aframomum Angustifolium Leaf Oil is the volatile oil obtained from the leaves of Aframomum angustifolium, Zingiberaceae",,"ANTIMICROBIAL, ANTIOXIDANT, FLAVOURING, MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Huile,Moyenne (26-50),32,5,1,Non
83481,AGLAIA ODORATA FLOWER OIL,,,,,"Aglaia Odorata Flower Oil is the volatile oil obtained from the flowers of Aglaia odorata, Meliaceae",,EMOLLIENT,15/10/2010,Émollient / Conditioning,Huile,Courte (16-25),25,1,1,Non
84061,AGONIS FRAGRANS BRANCH/LEAF OIL,,,,,"Agonis Fragrans Branch/Leaf Oil is the volatile oil obtained from the branches and leaves of Agonis fragrans, Myrtaceae",,MASKING,15/10/2010,Autre,Huile,Moyenne (26-50),31,1,2,Oui
91709,AKEBIA QUINATA SEED OIL,,,,,"Akebia Quinata Seed Oil is the fixed oil expressed from the seeds of Akebia quinata, Lardizabalaceae.",,"EMOLLIENT, SKIN CONDITIONING",27/10/2014,Émollient / Conditioning,Huile,Courte (16-25),23,2,1,Non
54288,ALEURITES MOLUCCANA SEED OIL,,,8015-80-3,,"Aleurites Moluccana Seed Oil is the oil expressed from nuts of the Candle Nut Tree, Aleurites moluccana, Euphorbiaceae",,SKIN CONDITIONING,15/10/2010,Autre,Huile,Moyenne (26-50),28,1,1,Non
54289,ALEURITES MOLUCCANUS BAKOLY SEED OIL,,,,,Aleurites Moluccanus Bakoly Seed Oil is the oil expressed from the seed of Aleurites molucccanus bakoly,,"ANTIMICROBIAL, HAIR WAVING OR STRAIGHTENING, ORAL CARE, SKIN CONDITIONING",15/10/2010,Conservateur,Huile,Moyenne (26-50),36,4,1,Non
92535,ALEURITES MOLUCCANUS SEED OIL,,,8015-80-3,,"Candlenut Oil,Kukui Nut Oil",,SKIN CONDITIONING,06/07/2015,Autre,Huile,Moyenne (26-50),29,1,1,Non
54333,ALLIUM SATIVUM BULB OIL,,,8000-78-0,,"Allium Sativum Bulb Oil is the oil expressed from the bulb of the Garlic, Allium sativum L., Liliaceae",,"MASKING, SKIN CONDITIONING",15/10/2010,Autre,Huile,Courte (16-25),23,2,1,Non
87238,ALMOND OIL GLYCERETH-8 ESTERS,,,,,Almond Oil Glycereth-8 Esters is the product obtained by the transesterification of Glycereth-8 with Prunus Amygdalus Dulcis (Sweet Almond) Oil,,"EMOLLIENT, EMULSIFYING",15/10/2010,Émulsifiant,Huile,Moyenne (26-50),29,2,1,Non
