ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
88100,ARGININE PEG-4 COCAMIDE SULFATE,,,,,Arginine PEG-4 Cocamide Sulfate is the Arginine salt of a mixture of sulfated esters of PEG-4 Cocamide.,,"CLEANSING, FOAM BOOSTING, FOAMING, SURFACTANT",30/11/2011,Tensioactif,PEG/PPG,Moyenne (26-50),31,4,1,Non
89222,BETULINIC PEG-44 AMIDE METHYL ETHER,,,,,Betulinic PEG-44 Amide Methyl Ether is the organic compound,,SKIN CONDITIONING,17/12/2012,Autre,PEG/PPG,Moyenne (26-50),35,1,1,Non
87256,BETULINYL METHOXY PEG-22 CARBOXYLATE,,,,,Betulinyl Methoxy PEG-22 Carboxylate is the ethoxylated derivative of carboxylated Betulin,,SKIN CONDITIONING,15/10/2010,Autre,PEG/PPG,Moyenne (26-50),36,1,1,Non
89146,BIS-(ETHYL PPG-3 BEHENATE) DIMONIUM METHOSULFATE,,,,,Bis-(Ethyl PPG-3 Behenate) Dimonium Methosulfate is the quaternary ammonium salt,,,20/07/2012,Autre,PEG/PPG,Moyenne (26-50),48,0,1,Non
85550,BIS-ADAMANTANYL PEG-2300 DICARBOXAMIDE,,,,,,,"FILM FORMING, HUMECTANT, SKIN CONDITIONING",15/10/2010,Humectant,PEG/PPG,Moyenne (26-50),38,3,1,Non
85907,BIS-ADAMANTANYL PEG-800 DICARBOXAMIDE,,,,,,,"FILM FORMING, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING, VISCOSITY CONTROLLING",15/10/2010,Humectant,PEG/PPG,Moyenne (26-50),37,5,1,Non
88088,BIS-ADAMANTYL PEG-800 DICARBOXAMIDE,,,,,Bis-Adamantyl PEG-800 Dicarboxamide,,"FILM FORMING, HUMECTANT, SKIN PROTECTING, VISCOSITY CONTROLLING",30/11/2011,Humectant,PEG/PPG,Moyenne (26-50),35,4,1,Non
89145,BIS-ETHYL PPG- BEHENATE DIMONIUM METHOSULFATE,,,,,Bis-(Ethyl PPG-3 Behenate) Dimonium Methosulfate is the quaternary ammonium salt,,"EMULSION STABILISING, HAIR CONDITIONING",19/12/2012,Émulsifiant,PEG/PPG,Moyenne (26-50),45,2,1,Non
91139,BIS-METHOXY PEG-15 POLY,,,197098-60-5,,"Bis-Methoxy PEG-15 Poly(Tetramethylxylene Diisocyanate) is a polymer of tetramethylxylene diisocyanate, end-capped with methoxy PEG-15.",,"BINDING, HAIR CONDITIONING, SKIN CONDITIONING",23/07/2014,Soin capillaire,PEG/PPG,Courte (16-25),23,3,1,Non
92005,BIS-METHOXY PEG-15 POLY(TETRAMETHYLXYLENE DIISOCYANATE),,,197098-60-5,,"Benzene, 1,3-bis(1-isocyanato-1-methylethyl)-, homopolymer, polyethylene glycol mono-Me-ether-blocked",,"BINDING, HAIR CONDITIONING, SKIN CONDITIONING",28/07/2014,Soin capillaire,PEG/PPG,Longue (51-100),55,3,1,Non
88275,BIS-METHOXY PEG-40 POLYEPSILON CAPROLACTONE,,,,,Bis-Methoxy PEG-40 Polyepsilon Caprolactone,,"EMULSIFYING, SURFACTANT",01/12/2011,Tensioactif,PEG/PPG,Moyenne (26-50),43,2,1,Non
89331,BIS-PEG-18 DISILOXANE,,,,,Bis-PEG-18 Disiloxane is Disiloxane end-blocked with an average of 18 moles of ethylene oxide.,,"HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",08/10/2012,Tensioactif,PEG/PPG,Courte (16-25),21,3,1,Non
54713,BIS-PEG-18 METHYL ETHER DIMETHYL SILANE,,,,,Bis-Peg-18 Methyl Ether Dimethyl Silane is a dimethyl silane ethoxylated methyl diether containing an average of 36 moles of ethylene oxide,,"EMOLLIENT, FOAM BOOSTING, HAIR CONDITIONING, HUMECTANT, HYDROTROPE, SKIN CONDITIONING, SURFACTANT",15/10/2010,Tensioactif,PEG/PPG,Moyenne (26-50),39,7,1,Non
54876,C12-16 ALKYL PEG-2 HYDROXYPROPYL HYDROXYETHYL ETHYLCELLULOSE,,,,,3-(2-(2-C12-16-alkyloxyethoxy)ethoxy)-2-hydroxypropyl cellulose ether,,"EMULSION STABILISING, FILM FORMING, SKIN CONDITIONING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,PEG/PPG,Longue (51-100),60,4,1,Non
74817,CAPRYLIC/CAPRIC TRIGLYCERIDE PEG-4 ESTERS,,,246864-39-1,,"Glycerides, mixed decanoyl and octanoyl, reaction products with polyethylene glycol (4 mol EO average molar ratio)",,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT",15/10/2010,Tensioactif,PEG/PPG,Moyenne (26-50),41,4,2,Oui
55254,CETYL PPG-2 ISODECETH-7 CARBOXYLATE,,,,,"Cetyl PPG-2 Isodeceth-7 Carboxylate is the cetyl alcohol ester of the carboxylic acid obtained by the oxidation of a 7-mole ethoxylate, 2-mole propoxylate of isodecyl alcohol",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,PEG/PPG,Moyenne (26-50),35,2,1,Non
55266,CHOLECALCIFEROL PEG-12 ETHER,,,,,"alpha-9,10-Secocholesta-5(Z),7(E),10(19)-trien-3(beta)-yl-omega-hydroxypoly(oxyethylene) (12 mol EO average molar ratio)",,SKIN CONDITIONING,15/10/2010,Autre,PEG/PPG,Moyenne (26-50),28,1,1,Non
91745,CYCLO PEG-6,,,17455-13-9,241-473-5,"18-Crown-6 Ether,1,4,7,10,13,16-Hexaoxacyclooctadecane,1,4,7,10,13,16-Hexaoxacyclooctadecane; 18-Crown ether-6",,NOT REPORTED,19/09/2014,Autre,PEG/PPG,Très courte (≤15),11,1,1,Non
55952,DI-PEG-2 SOYAMINE IPDI,,,183681-06-3,,"Carbamic acid, [3-[[[[2-(2-hydroxyethyl)amino]ethoxy]carbonyl]amino]methyl]-3, 5,5-trimethylcyclohexyl]-, 2-[(2-hydroxyethyl)amino]ethyl ester, N,N'-disoya alkyl derivatives",,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,PEG/PPG,Courte (16-25),22,3,1,Non
55866,DI-PPG-2 MYRETH-10 ADIPATE,,,,,"Hexanoic acid, ethoxylated, propoxylated, tetradecyl diether (20 mol EO, 4 mol PO average)",,"EMOLLIENT, SKIN CONDITIONING, SURFACTANT",15/10/2010,Tensioactif,PEG/PPG,Moyenne (26-50),26,3,1,Non
55867,DI-PPG-3 CETETH-4 ADIPATE,,,,,"Di-PPG-3 Ceteth-4 Adipate is the diester of adipic acid with a polyoxyethylene, polyoxypropylene derivative of cetyl alcohol",,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",15/10/2010,Tensioactif,PEG/PPG,Courte (16-25),25,4,1,Non
55868,DI-PPG-3 MYRISTYL ETHER ADIPATE,,,,,"Hexanoic acid, propoxylated, tetradecyl diether ( 6 mol PO average)",,"EMOLLIENT, FILM FORMING, SKIN CONDITIONING, SOLVENT",15/10/2010,Émollient / Conditioning,PEG/PPG,Moyenne (26-50),31,4,1,Non
33711,DI-TEA-OLEAMIDO PEG-2 SULFOSUCCINATE,,,85480-94-0,287-374-0,"4-[2-[(2-hydroxyethyl)(1-oxooleyl)amino]ethyl] hydrogen 2-sulphosuccinate, compound with 2,2',2''-nitrilotri[ethanol] (1:2)",III/62,"CLEANSING, FOAM BOOSTING, HYDROTROPE, SURFACTANT",15/10/2010,Tensioactif,PEG/PPG,Moyenne (26-50),36,4,1,Non
75635,DIAMMONIUM OLEAMIDO PEG-2 SULFOSUCCINATE,,,,,"Butanedioic acid, sulfo, monoester with .alpha.-hydro-.omega.- (1-oxo-9-(Z)-octadecenylamino)poly(oxy-1,2-ethanediyl), diammonium salt (2 mol EO average molar ratio)",,"CLEANSING, FOAM BOOSTING, HYDROTROPE, SURFACTANT",15/10/2010,Tensioactif,PEG/PPG,Moyenne (26-50),40,4,1,Non
75706,DIETHYLAMINOETHYL PEG-5 COCOATE,,,,,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-2-(diethylamino)ethyloxy-, coco-fatty acid ester (5 mol EO average molar ratio)",,"CLEANSING, FOAMING, HAIR CONDITIONING, SURFACTANT",15/10/2010,Tensioactif,PEG/PPG,Moyenne (26-50),31,4,1,Non
