ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
88652,ISOOCTANOYL TETRAPEPTIDE-25,,,,,Isooctanoyl Tetrapeptide-25 is the product obtained by the reaction of Tetrapeptide-25  with a branched chain octanoic acid.,,SKIN CONDITIONING,14/05/2014,Autre,Peptide,Moyenne (26-50),27,1,1,Non
89819,NONAPEPTIDE-11,,,,,,,"ANTISEBORRHOEIC, SKIN CONDITIONING",17/12/2012,Autre,Peptide,Très courte (≤15),14,2,1,Non
91929,3-ASCORBYL CARBONYL DIPEPTIDE-17,,,,,3-Ascorbyl Carbonyl Dipeptide-17 is the organic compound where R represents Dipeptide-17.,,SKIN CONDITIONING,28/07/2014,Autre,Peptide,Moyenne (26-50),32,1,1,Non
91961,ACETYL BETA-ALANYL TRIPEPTIDE-50,,,,,Acetyl Beta-Alanyl Tripeptide-50 is the reaction product of acetic acid and a synthetic peptide consisting of β-alanine and Tripeptide-50.,,SKIN CONDITIONING,03/10/2014,Autre,Peptide,Moyenne (26-50),32,1,1,Non
88144,ACETYL CYCLOHEXAPEPTIDE-34,,,,,Acetyl Cyclohexapeptide-34 is the acetyl ester of cyclized Hexapeptide-34.,,SKIN CONDITIONING,16/05/2014,Autre,Peptide,Moyenne (26-50),26,1,1,Non
82572,ACETYL DECAPEPTIDE-3,,,,,Acetyl Decapeptide-3 is the product formed by the reaction of acetic acid and Decapeptide-3,,SKIN CONDITIONING,15/10/2010,Autre,Peptide,Courte (16-25),20,1,1,Non
54130,ACETYL DIPEPTIDE-1 CETYL ESTER,,,,,"Tyrosine acetate and arginine, hexadecyl ester, dipeptide",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Peptide,Moyenne (26-50),30,2,1,Non
85452,ACETYL DIPEPTIDE-3 AMINOHEXANOATE,,,,,Acetyl Dipeptide-3 Aminohexanoate is the reaction product of acetic acid and Dipeptide-3 with 6-aminohexanoic acid,,SKIN CONDITIONING,15/10/2010,Autre,Peptide,Moyenne (26-50),33,1,1,Non
91765,ACETYL HEPTAPEPTIDE-19 AMIDE,,,,,,,SKIN CONDITIONING,08/12/2014,Autre,Peptide,Moyenne (26-50),28,1,1,Non
82187,ACETYL HEPTAPEPTIDE-4,,,,,Acetyl Heptapeptide-4 is the reaction product of acetic acid and Heptapeptide-4,,"HUMECTANT, SKIN CONDITIONING",15/10/2010,Humectant,Peptide,Courte (16-25),21,2,1,Non
85775,ACETYL HEPTAPEPTIDE-9,,,,,Acetyl Heptapeptide-9 is the reaction product of acetic acid and Heptapeptide-9,,SKIN CONDITIONING,15/10/2010,Autre,Peptide,Courte (16-25),21,1,1,Non
54133,ACETYL HEXAPEPTIDE-1,,,,,"Acetyl Hexapeptide-1 is reaction product of Alanine, arginine, histidine, leucine, phenylalanine and tryptophane hexapeptide with acetic acid",,SKIN CONDITIONING,15/10/2010,Autre,Peptide,Courte (16-25),20,1,1,Non
88671,ACETYL HEXAPEPTIDE-19,,,,,Acetyl Hexapeptide-19 is the product obtained by the acetylation of Hexapeptide-19.,,SKIN CONDITIONING,30/11/2011,Autre,Peptide,Courte (16-25),21,1,1,Non
83677,ACETYL HEXAPEPTIDE-20,,,,,Acetyl Hexapeptide-20 is the reaction product of acetic acid and Hexapeptide-20,,SKIN CONDITIONING,15/10/2010,Autre,Peptide,Courte (16-25),21,1,1,Non
84120,ACETYL HEXAPEPTIDE-22,,,,,Acetyl Hexapeptide-22 is the reaction product of Acetic Acid  and Hexapeptide-22,,"ANTIOXIDANT, REDUCING, SKIN PROTECTING",15/10/2010,Antioxydant,Peptide,Courte (16-25),21,3,1,Non
85659,ACETYL HEXAPEPTIDE-24,,,,,Acetyl Hexapeptide-24 is the reaction product of acetic acid and Hexapeptide-24,,SKIN CONDITIONING,15/10/2010,Autre,Peptide,Courte (16-25),21,1,1,Non
91959,ACETYL HEXAPEPTIDE-24 AMIDE,,,616204-22-9,,Acetyl Hexapeptide-24 Amide is the product obtained by the reaction of acetic acid and Hexapeptide-24 in which the C-terminus is an amide.,,SKIN CONDITIONING,08/12/2014,Autre,Peptide,Moyenne (26-50),27,1,1,Non
87231,ACETYL HEXAPEPTIDE-30,,,,,Acetyl Hexapeptide-30 is product obtained by the acetylation of Hexapeptide-30,,SKIN CONDITIONING,15/10/2010,Autre,Peptide,Courte (16-25),21,1,1,Non
88581,ACETYL HEXAPEPTIDE-31,,,,,Acetyl Hexapeptide-31 is the product obtained by the acetylation of Hexapeptide-31.,,SKIN CONDITIONING,30/11/2011,Autre,Peptide,Courte (16-25),21,1,1,Non
89169,ACETYL HEXAPEPTIDE-37,,,,,Acetyl Hexapeptide-37 is the product obtained by the acetylation of Hexapeptide-37,,SKIN CONDITIONING,03/07/2012,Autre,Peptide,Courte (16-25),21,1,1,Non
89168,ACETYL HEXAPEPTIDE-38,,,,,Acetyl Hexapeptide-38 is the product obtained by the acetylation of Hexapeptide-38,,SKIN CONDITIONING,03/07/2012,Autre,Peptide,Courte (16-25),21,1,1,Non
89167,ACETYL HEXAPEPTIDE-39,,,,,Acetyl Hexapeptide-39 is the product obtained by the acetylation of Hexapeptide-39,,SKIN CONDITIONING,03/07/2012,Autre,Peptide,Courte (16-25),21,1,1,Non
90869,ACETYL HEXAPEPTIDE-49,,,,,Acetyl Hexapeptide-49 is the product obtained by the acetylation of Hexapeptide-49.,,SKIN CONDITIONING,19/04/2013,Autre,Peptide,Courte (16-25),21,1,1,Non
91448,ACETYL HEXAPEPTIDE-51 AMIDE,,,,,Acetyl Hexapeptide-51 Amide is the acetylated derivative of Hexapeptide-51 in which the C-terminus of the peptide is an amide.,,SKIN CONDITIONING,08/12/2014,Autre,Peptide,Moyenne (26-50),27,1,1,Non
54134,ACETYL HEXAPEPTIDE-7,,,,,"Alanine, synthetic hexapeptide with arginine, histidine, methylnorleucine, phenylalanine and tryptophan, acetyl derivatives; Acetyl hexapeptide-7 is the reaction product of acetic acid and hexapeptide-7",,SKIN PROTECTING,15/10/2010,Autre,Peptide,Courte (16-25),20,1,1,Non
