ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
54228,ABIES ALBA LEAF CERA,,,90028-76-5,289-870-2,"Abies Alba Leaf Cera is the wax derived from the needles of the fir, Abies alba, Pinaceae",III/103,"PERFUMING, SKIN CONDITIONING, SKIN PROTECTING",17/05/2013,Fragrance / Parfum,Botanique,Courte (16-25),20,3,1,Non
54232,ABIES KOREANA LEAF POWDER,,,,,"Abies Koreana Leaf Powder is the powder obtained from the dried, ground leaves of the Abies koreana, Pinaceae",,"HAIR CONDITIONING, HAIR WAVING OR STRAIGHTENING, MASKING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Botanique,Courte (16-25),25,4,1,Non
82761,ACACIA ARABICA BARK POWDER,,,93164-88-6,296-870-6,"Acacia Arabica Bark Powder is the powder obtained from the dried, ground bark of Acacia arabica, Fabaceae",,SKIN CONDITIONING,15/10/2010,Autre,Botanique,Moyenne (26-50),26,1,1,Non
82762,ACACIA ARABICA STEM BARK POWDER,,,93164-88-6,296-870-6,"Acacia Arabica Stem Bark Powder is the powder obtained from the dried, ground the bark of the stems of Acacia arabica, Fabaceae",,SKIN CONDITIONING,15/10/2010,Autre,Botanique,Moyenne (26-50),31,1,1,Non
54235,ACACIA CATECHU BARK POWDER,,,8001-76-1,232-291-7,"Acacia Catechu Bark Powder is the powder obtained from the dried, ground bark of the Black Catechu, Acacia catechu L., Leguminosae",,SKIN CONDITIONING,15/10/2010,Autre,Botanique,Moyenne (26-50),26,1,1,Non
83312,ACACIA CATECHU LEAF/WOOD POWDER,,,8001-76-1,232-291-7,"Acacia Catechu Leaf/Wood Powder is the powder obtained from the dried, ground wood and leaves of the Black Catechu, Acacia catechu L., Leguminosae",,SKIN CONDITIONING,15/10/2010,Autre,Botanique,Moyenne (26-50),31,1,2,Oui
82694,ACACIA CATECHU SEED POWDER,,,8001-76-1,232-291-7,"Acacia Catechu Seed Powder is the powder obtained from the dried, ground seeds of the Black Catechu, Acacia catechu L., Leguminosae",,SKIN CONDITIONING,15/10/2010,Autre,Botanique,Moyenne (26-50),26,1,1,Non
54237,ACACIA CONCINNA FRUIT POWDER,,,202148-87-6,,"Acacia Concinna Fruit Powder is the powder obtained from the dried, ground fruit of Acacia concinna, Leguminosae",,HAIR CONDITIONING,15/10/2010,Soin capillaire,Botanique,Moyenne (26-50),28,1,1,Non
54238,ACACIA DEALBATA FLOWER CERA,,,165800-52-2,,"Acacia Dealbata Flower Cera is the wax obtained from the Acacia dealbata (L.), Fabaceae",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Botanique,Moyenne (26-50),27,2,1,Non
54240,ACACIA DECURRENS FLOWER CERA,,,98903-76-5,308-877-4,"Acacia Decurrens Flower Cera is the wax obtained from the flowers of Acacia decurrens, Leguminosae",,"EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING",15/10/2010,Émollient / Conditioning,Botanique,Moyenne (26-50),28,3,1,Non
