ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
54172,"1,4-BUTANDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",,,,,"1,4 Butandiol/Succinic Acid/Adipic Acid/HDI Copolymer is a copolymer of Hexanedioic acid, polymer with butanedioic acid, 1,4-butanediol, and 1,6-diisocyanatohexane",,"ABRASIVE, BINDING, FILM FORMING",15/10/2010,Agent filmogène,Polymère,Longue (51-100),53,3,4,Oui
92811,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",,,119553-67-2,,"Hexanedioic acid, polymer with butanedioic acid, 1,4-butanediol and 1,6-diisocyanatohexane",,"ABRASIVE, BINDING, FILM FORMING",06/07/2015,Agent filmogène,Polymère,Longue (51-100),54,3,4,Oui
93333,3-HYDROXYBUTYRATE/3-HYDROXYHEXANOATE COPOLYMER,,,,,3-Hydroxybutyrate/3-Hydroxyhexanoate Copolymer is a polymer of 3-hydroxybutyrate and 3-hydroxyhexanoate which may be produced through the biofermentation of plant oils.,,ABRASIVE,10/08/2015,Autre,Polymère,Moyenne (26-50),46,1,2,Oui
93227,3-HYDROXYBUTYRATE/4-HYDROXYBUTYRATE COPOLYMER,,,125495-90-1,,"Butanoic acid, 3-hydroxy-, (3R)-, polymer with 4-hydroxybutanoic acid",,,10/08/2015,Autre,Polymère,Moyenne (26-50),45,0,2,Oui
54206,"4,4'-ISOPROPYLIDENEDIPHENOL/EPICHLOROHYDRIN COPOLYMER",,,25068-38-6,,"Phenol, 4,4'-((1-Methylethylidene)bis- (CAS 80-05-7), Polymer with (Chlomethyl)Oxirane (CAS 106-89-8)",,FILM FORMING,09/03/2011,Agent filmogène,Polymère,Longue (51-100),53,1,2,Oui
93510,"4,4'-ISOPROPYLIDENEDIPHENYL/EPICHLOROHYDRIN COPOLYMER DIACRYLATE",,,,,"4,4'-Isopropylidenediphenyl/Epichlorohydrin Copolymer Diacrylate is the acrylate ester of 4,4'-Isopropylidenediphenol/Epichlorohydrin Copolymer.",,NAIL CONDITIONING,10/08/2015,Soin ongles,Polymère,Longue (51-100),64,1,2,Oui
91507,ACETOBACTER/BACILLUS/LACTOBACILLUS/SACCHAROMYCES/STREPTOCOCCUS/FRUIT/LEAF/IMPERATA CYLINDRICA ROOT/SEED/BROCCOLI/ERIOCEPHALUS PUNCTULATUS/MISTLETOE/ACRYLATES C10-30 ALKYL ACRYLATES CROSSPOLYMER/ALPHA-GLUCAN/BETAINE/BUTYLENE GLYCOL/EPIGALLOCATECHIN GALLATYL GLUCOSIDE/GLYCERETH-26/GLYCERIN/GLUCOSYL CERAMIDE/GLUCOSYL HESPERIDIN/HYDROLYZED HYALURONIC ACID/MALTODEXTRIN/PANTHENOL/SCLEROTIUM GUM/TROMETHAMINE/XANTHAN GUM FERMENT FILTRATE,,,,,"This is a filtrate of the product obtained by the fermentation of the fruits of Citrus unshiu , Cornus officinalis , Euterpe oleracea , Fragaria ananassa (strawberry), Lycium chinense (lycium), Prunus mume (mume), Prunus salicina (plum), Pyrus malus (apple), Rosa canina , Rubus idaeus (raspberry), Schizandra chinensis (schizandra), Vaccinium angustifolium (blueberry), Vaccinium macrocarpon (cranberry), and Vitis vinifera (grape); the leaves of Allium tuberosum , Cymbopogon schoenanthus , Lactuca scariola sativa (lettuce), Rosmarinus officinalis (rosemary), Spinacia oleracea (spinach), Thymus vulgaris (thyme), and Vaccinium myrtillus ; the roots of Imperata cylindrica ; the seeds of Glycine max (soybean), Hordeum distichon (barley), Oryza sativa (rice), Phaseolus angularis , and Phaseolus radiatus ; the whole plants, Brassica oleracea (broccoli), Eriocephalus punctulatus and Viscum album (mistletoe); Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alpha-Glucan, Betaine, Butylene Glycol, Epigallocatechin Gallate, Glycereth-26, Glycerin, Glucosyl Ceramide, Hesperidin, Hydrolyzed Hyaluronic Acid, Maltodextrin, Panthenol, Sclerotium Gum, Tromethamine, and Xanthan Gum, by the microorganisms Acetobacter , Bacillus , Lactobacillus , Saccharomyces , and Streptococcus.",,SKIN CONDITIONING,16/09/2014,Autre,Polymère,Très longue (>100),433,1,27,Oui
93332,ACETOPHENONE/OXYMETHYLENE COPOLYMER,,,25398-55-4,,"Formaldehyde, polymer with 1-phenylethanone",,"FILM FORMING, NAIL CONDITIONING, VISCOSITY CONTROLLING",10/08/2015,Agent filmogène,Polymère,Moyenne (26-50),35,3,2,Oui
54148,ACETYLENEDIUREA/FORMALDEHYDE/TOSYLAMIDE CROSSPOLYMER,,,,,"4-Methylbenzenesulfonamide, polymer with methanone and ethynediyldiurea",,FILM FORMING,15/10/2010,Agent filmogène,Polymère,Longue (51-100),52,1,3,Oui
85071,ACROLEIN/ACRYLIC ACID COPOLYMER,,,28349-72-6,,Acrolein/Acrylic Acid Copolymer is the polymer formed by the polymerization and autoxidation of 2-propenal,,ANTIMICROBIAL,15/10/2010,Conservateur,Polymère,Moyenne (26-50),31,1,2,Oui
