ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
90935,1-NAPHTHALENEACETIC ACID,,,86-87-3,,1-Naphthaleneacetic Acid is the organic compound,,SKIN CONDITIONING,28/05/2013,Autre,Acide,Courte (16-25),24,1,1,Non
54174,10-HYDROXYDECANOIC ACID,,,1679-53-4,216-848-1,10-Hydroxydecanoic acid,,SKIN CONDITIONING,15/10/2010,Autre,Acide,Courte (16-25),23,1,1,Non
54175,10-HYDROXYDECENOIC ACID,,,765-01-5,,10-Hydroxy-trans-2-decenoic acid,,SKIN CONDITIONING,15/10/2010,Autre,Acide,Courte (16-25),23,1,1,Non
92027,10-HYDROXYSTEARIC ACID,,,638-26-6,,"Octadecanoic acid, 10-hydroxy-",,"SKIN CONDITIONING, SKIN PROTECTING",23/07/2014,Autre,Acide,Courte (16-25),22,2,1,Non
82881,"2,5-DIHYDROXYBENZOIC ACID",,,490-79-9,207-718-5,Gentisic acid; 5-Hydroxysalicylic Acid,,SKIN CONDITIONING,15/10/2010,Autre,Acide,Courte (16-25),25,1,1,Non
39837,2-ETHYLBUTYRIC ACID,,,88-09-5,201-796-4,2-Ethylbutyric Acid,,PERFUMING,02/03/2011,Fragrance / Parfum,Acide,Courte (16-25),19,1,1,Non
31498,2-HYDROXYETHYL PICRAMIC ACID,,,99610-72-7,412-520-9,"1-hydroxy-2-.beta.-hydroxyethylamino-4,6-dinitrobenzene","III/2,11",HAIR DYEING,09/01/2011,Colorant,Acide,Moyenne (26-50),28,1,1,Non
40463,2-METHYLBUTYRIC ACID,,,116-53-0,204-145-2,2-Methylbutyric acid,,PERFUMING,02/03/2011,Fragrance / Parfum,Acide,Courte (16-25),20,1,1,Non
40763,2-METHYLPENT-2-ENOIC ACID,,,3142-72-1,221-552-0,2-Methylpent-2-en-1-oic acid,,PERFUMING,02/03/2011,Fragrance / Parfum,Acide,Courte (16-25),25,1,1,Non
40764,2-METHYLPENT-3-ENOIC ACID,,,37674-63-8,253-610-6,2-Methylpent-3-en-1-oic acid,,PERFUMING,02/03/2011,Fragrance / Parfum,Acide,Courte (16-25),25,1,1,Non
85189,2-O-ETHYL ASCORBIC ACID,,,112894-37-8,,,,SKIN CONDITIONING,15/10/2010,Autre,Acide,Courte (16-25),23,1,1,Non
54201,"3,4-DIHYDROXYBENZOIC ACID",,,99-50-3,202-760-0,"3,4-Dihydroxybenzoic acid",,SKIN PROTECTING,15/10/2010,Autre,Acide,Courte (16-25),25,1,1,Non
89718,3-0-ETHYL ASCORBIC ACID,,,86404-04-8,,3-O-Ethyl Ascorbic Acid is the organic compound.,,SKIN CONDITIONING,05/06/2014,Autre,Acide,Courte (16-25),23,1,1,Non
31513,3-AMINOPROPANE SULFONIC ACID,,,3687-18-1,222-977-4,3-aminopropane-1-sulphonic acid,,"HYDROTROPE, SURFACTANT",15/10/2010,Tensioactif,Acide,Moyenne (26-50),28,2,1,Non
39897,3-ETHYL-2-METHYLNON-2-ENOIC ACID,,,71850-80-1,276-098-6,3-Ethyl-2-methylnon-2-enoic acid,,PERFUMING,02/03/2011,Fragrance / Parfum,Acide,Moyenne (26-50),32,1,1,Non
54202,3-HYDROXYBENZOIC ACID,,,99-06-9,202-726-5,"Benzoic Acid, 3- Hydroxy-",,SKIN CONDITIONING,15/10/2010,Autre,Acide,Courte (16-25),21,1,1,Non
85436,3-O-CETYL ASCORBIC ACID,,,88306-70-1,,,,SKIN CONDITIONING,15/10/2010,Autre,Acide,Courte (16-25),23,1,1,Non
84672,3-O-ETHYL ASCORBIC ACID,,,86404-04-8,,,,SKIN CONDITIONING,15/10/2010,Autre,Acide,Courte (16-25),23,1,1,Non
31523,4-AMINO-2-NITRODIPHENYLAMINE-2'-CARBOXYLIC ACID,,,117907-43-4,411-260-3,"1,4-Benzenediamine, 2-nitro-N(1)-(2-carboxyphenyl)-; 2-((4-amino-2-nitrophenyl)amino)benzoic acid",,HAIR DYEING,15/10/2010,Colorant,Acide,Moyenne (26-50),47,1,1,Non
83124,4-AMINO-3-HYDROXYBUTYRIC ACID,,,924-49-2,213-106-9,(±)-4-Amino-3-hydroxybutyric acid,,SKIN CONDITIONING,15/10/2010,Autre,Acide,Moyenne (26-50),29,1,1,Non
39907,"4-ETHYLOCTA-2,4-DIENOIC ACID",,,72928-47-3,277-076-9,"4-Ethylocta-2,4-dienoic acid",,PERFUMING,02/03/2011,Fragrance / Parfum,Acide,Moyenne (26-50),28,1,1,Non
