ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
54267,ACRYLATES/BEHENYL ACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,,,,,"Copolymer of behenyl acrylate, dimethicone methacrylate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,SKIN CONDITIONING,15/10/2010,Autre,Silicone,Longue (51-100),61,1,3,Oui
54268,ACRYLATES/BEHENYL METHACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,,,,,"Poly(dimethylsiloxane), 2-methyl-2-propenoate diester, polymer with docosanyl 2-methyl-2-propenoate and one or more of 2-propenoic acid, 2-methyl-2-propenoic acid or one of their simple esters",,"ANTICAKING, FILM FORMING, SKIN CONDITIONING",15/10/2010,Agent filmogène,Silicone,Longue (51-100),65,3,3,Oui
54269,ACRYLATES/BIS-HYDROXYPROPYL DIMETHICONE CROSSPOLYMER,,,,,"Crosslinked polymer of bis-hydroxypropyl dimethicone and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,"HAIR FIXING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Silicone,Longue (51-100),52,2,2,Oui
74167,ACRYLATES/DIMETHICONE COPOLYMER,,,,,"Copolymer of dimethicone acrylate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,"ANTICAKING, BINDING, FILM FORMING, SKIN CONDITIONING",15/10/2010,Agent filmogène,Silicone,Moyenne (26-50),31,4,2,Oui
54272,ACRYLATES/DIMETHICONE METHACRYLATE COPOLYMER,,,,,"Polydimethylsiloxane, copolymer with one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,"ANTICAKING, BINDING, EMOLLIENT, FILM FORMING, SKIN CONDITIONING, SKIN PROTECTING",15/10/2010,Émollient / Conditioning,Silicone,Moyenne (26-50),44,6,2,Oui
54273,ACRYLATES/DIMETHICONE METHACRYLATE/ETHYLHEXYL ACRYLATE COPOLYMER,,,,,"Polydimethylsiloxane 2-methyl-2-propenoate, polymer with 2-ethylhexyl 2-propenoate and one or more of 2-propenoic acid, 2-methyl-2-propenoic acid or their simple esters",,SKIN CONDITIONING,15/10/2010,Autre,Silicone,Longue (51-100),64,1,3,Oui
54366,ACRYLATES/ETHYLHEXYL ACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,,,,,"Copolymer of ethylhexyl acrylate, dimethicone methacrylate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Silicone,Longue (51-100),64,2,3,Oui
54376,ACRYLATES/OCTYLACRYLAMIDE/DIPHENYL AMODIMETHICONE COPOLYMER,,,,,"Copolymer formed from octylacrylamide, diphenyl amodimethicone and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,"HAIR CONDITIONING, HAIR FIXING",15/10/2010,Soin capillaire,Silicone,Longue (51-100),59,2,3,Oui
54382,ACRYLATES/STEARYL ACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,,,,,"Copolymer formed from stearyl 2-propenoate, dimethicone propylmethylpropenoate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,FILM FORMING,15/10/2010,Agent filmogène,Silicone,Longue (51-100),61,1,3,Oui
54387,ACRYLATES/TRIDECYL ACRYLATE/TRIETHOXYSILYLPROPYL METHACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,,,,,"Copolymer formed from tridecyl acrylate, triethoxysilypropyl methacrylate, dimethicone methacrylate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,SKIN CONDITIONING,15/10/2010,Autre,Silicone,Longue (51-100),96,1,4,Oui
54394,ACRYLIC ACID/STEARYL METHACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,,,,,"A copolymer of acrylic acid, stearyl methacrylate, and dimethicone methacrylate monomers",,EMULSION STABILISING,15/10/2010,Émulsifiant,Silicone,Longue (51-100),68,1,3,Oui
31827,AMINO BISPROPYL DIMETHICONE,,,243842-22-0,,"1,1'-Iminobis(3-(tris(trimethylsiloxy)silyl)propane",,"EMULSIFYING, HAIR CONDITIONING",15/10/2010,Émulsifiant,Silicone,Moyenne (26-50),27,2,1,Non
54574,AMINOETHYLAMINOPROPYL DIMETHICONE,,,,,"Silicones and siloxanes, dimethyl, 3-(2-aminoethyl)aminopropyl methyl, trimethylsilyl terminated",,ANTICAKING,15/10/2010,Autre,Silicone,Moyenne (26-50),33,1,1,Non
54584,AMINOPROPYL DIMETHICONE,,,99363-37-8,,"Silicones and siloxanes, dimethyl, 3-aminopropyl methyl, trimethylsilyl terminated",,HAIR CONDITIONING,15/10/2010,Soin capillaire,Silicone,Courte (16-25),23,1,1,Non
54596,AMMONIUM DIMETHICONE PEG-7 SULFATE,,,,,Ammonium Dimethicone PEG-7 Sulfate is the ammonium salt of dimethicone PEG-7 sulfate (q.v.),,SKIN CONDITIONING,15/10/2010,Autre,Silicone,Moyenne (26-50),34,1,1,Non
31907,AMODIMETHICONE,,,71750-80-6,,"Dimethylsiloxane, polymer, (((3-((2-aminoethyl)amino)propyl)-dimethoxysilyl)oxy)-terminated",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010,Soin capillaire,Silicone,Très courte (≤15),14,2,1,Non
87241,AMODIMETHICONE GLYCEROCARBAMATE,,,,,Amodimethicone Glycerocarbamate,,"EMOLLIENT, EMULSION STABILISING, HAIR CONDITIONING",15/10/2010,Émulsifiant,Silicone,Moyenne (26-50),31,3,1,Non
74435,AMODIMETHICONE HYDROXYSTEARATE,,,299186-05-3,,"Siloxanes and silicones, 3-[(2-aminoethyl)amino]propyl methyl, dimethyl, hydroxy terminated, 12-hydroxyoctandecanoate (salt)",,HAIR CONDITIONING,15/10/2010,Soin capillaire,Silicone,Moyenne (26-50),30,1,1,Non
90195,AMODIMETHICONE/MORPHOLINOMETHYL SILSESQUIOXANE COPOLYMER,,,1293390-78-9,,"Siloxanes and Silicones, 3-[(2-aminoethyl)amino]propyl Me, di-Me, polymers with 4-morpholinylmethyl silsesquioxanes, hydroxy-terminated",,HAIR CONDITIONING,30/04/2013,Soin capillaire,Silicone,Longue (51-100),56,1,2,Oui
54608,AMODIMETHICONE/SILSESQUIOXANE COPOLYMER,,,67923-07-3,,"Siloxanes and silicones, dimethyl, [[[3-[(2-aminoethyl) amino]propylsilylidyne]tris(oxy)]tris-, methoxy-terminated",,"FILM FORMING, HAIR CONDITIONING, HAIR FIXING",15/10/2010,Agent filmogène,Silicone,Moyenne (26-50),39,3,2,Oui
74585,BEHENOXY DIMETHICONE,,,193892-43-2,,"Poly(oxy(dimethylsilylene)),.alpha.-docosyl-.omega.-(docosyloxy)-",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Silicone,Courte (16-25),20,2,1,Non
87186,BEHENOXY PEG-10 DIMETHICONE,,,1136947-78-8,,Behenoxy PEG-10 Dimethicone is the product obtained by the reaction of Hydrogen Dimethicone with Behenyl Alcohol and PEG-10 allyl ether,,"HUMECTANT, VISCOSITY CONTROLLING",15/10/2010,Humectant,Silicone,Moyenne (26-50),27,2,1,Non
54836,BEHENTRIMONIUM DIMETHICONE PEG-8 PHTHALATE,,,,,Behentrimonium Dimethicone Peg-8 Phthalate is a salt of behenyltrimethylamine and dimethicone peg-8 phthalate,,HAIR CONDITIONING,15/10/2010,Soin capillaire,Silicone,Moyenne (26-50),42,1,1,Non
54837,BEHENYL DIMETHICONE,,,,,"Silicones and siloxanes, dimethyl, docosyl methyl, trimethylsilyl terminated",,SKIN CONDITIONING,15/10/2010,Autre,Silicone,Courte (16-25),19,1,1,Non
87254,BEHENYL DIMETHICONE/BIS-VINYLDIMETHICONE CROSSPOLYMER,,,,,Behenyl Dimethicone/Bis-Vinyldimethicone Crosspolymer,,EMOLLIENT,15/10/2010,Émollient / Conditioning,Silicone,Longue (51-100),53,1,2,Oui
54672,BIS(C13-15 ALKOXY) HYDROXYBUTAMIDOAMODIMETHICONE,,,,,"Silicones and siloxanes, dimethyl, 3-(2-(4-hydroxy-1-oxobutyl)aminoethyl)amino-2-methylpropyl methyl, C13-15-alkyl terminated",,HAIR CONDITIONING,15/10/2010,Soin capillaire,Silicone,Moyenne (26-50),48,1,1,Non
54673,BIS(C13-15 ALKOXY) PG-AMODIMETHICONE,,,,,"Bis(C13-15 alkoxy) PG-Amodimethicone is Amodimethicone endblocked with C13-15 alkoxy groups, and with the amine groups further reacted with glycidol (CAS 556-52-5)",,HAIR CONDITIONING,31/03/2011,Soin capillaire,Silicone,Moyenne (26-50),36,1,1,Non
54674,BIS(PPG-7 UNDECENETH-21) DIMETHICONE,,,,,"Silicones and siloxanes, dimethyl, 11-hydropoly(oxy-1,2-propylene)poly(oxyethylene)oxyundecyl terminated (42 mol EO, 14 mol PO average molar ratio)",,"EMOLLIENT, EMULSIFYING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",15/10/2010,Tensioactif,Silicone,Moyenne (26-50),36,5,1,Non
