ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,,,,,"(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water is the aqueous solution of the steam distillates obtained from the roots of Angelica gigas, Glycyrrhiza uralensis , and Rehmannia glutinosa ; the stems of Angelica gigas ; the flowers of Carthamus tinctorius ; the seeds of Carthamus tinctorius , and Prunus persica ; and the fungus, Poria cocos.",,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",18/12/2012,Humectant,Eau / Hydrolat,Très longue (>100),171,3,7,Oui
89457,(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER,,,,,(Lepidium Meyenii/Sarcodon Aspratus) Root Water is the aqueous solution of the steam distillates obtained from the roots of Lepidium meyenii and Sarcodon aspratus,,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, SKIN PROTECTING",19/11/2012,Antioxydant,Eau / Hydrolat,Moyenne (26-50),47,4,2,Oui
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,,,,,"(Magnolia Officinalis/Phellodendron Amurense) Bark/Camellia Japonica Leaf/Zingiber Officinale Root/Citrus Paradisi Seed Water is the aqueous solution obtained from the steam distillates of the bark of Magnolia officinalis and Phellodendron amurense , the roots of Zingiber officinale and the seeds of Citrus paradisi",,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",07/02/2013,Conservateur,Eau / Hydrolat,Très longue (>100),125,4,5,Oui
83319,ABIES SACHALINENSIS BRANCH/LEAF WATER,,,,,"Abies Sachalinensis Branch/Leaf Water is the steam distillate obtained from the branches and leaves of Abies sachalinensis, Pinaceae",,MASKING,15/10/2010,Autre,Eau / Hydrolat,Moyenne (26-50),37,1,2,Oui
84145,ACANTHOPANAX SENTICOSUS ROOT WATER,,,84696-12-8,283-632-1,"Acanthopanax Senticosus Root Water is the aqueous solution of the steam distillates obtained from of the roots of the Eleuthero/Siberian Ginseng, Acanthopanax senticosus, Araliaceae",,"ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Conservateur,Eau / Hydrolat,Moyenne (26-50),34,4,1,Non
84839,ACETOBACTER/ASPERGILLUS/LACTOBACILLUS/LEUCONOSTOC/PEDIOCOCCUS/SACCHAROMYCES/ZYGOSACCHAROMYCES/CITRUS UNSHIU FRUIT/CITRUS JAPONICA FRUIT/CITRUS JUNOS FRUIT/ APPLE FRUIT/BANANA FRUIT/PAPAYA FRUIT/ PYRUS SEROTINA FRUIT/ DIOSPYROS KAKI FRUIT/WATERMELON FRUIT/PEACH FRUIT/ PRUNUS MUME FRUIT/FIG FRUIT/CHAENOMELES SINENSIS FRUIT/ERIOBOTRYA JAPONICA FRUIT/APRICOT FRUIT/ ZIZYPHUS JUJUBA FRUIT/CUCURBITA MAXIMA FRUIT/CASTANEA CRENATA FRUIT/VITIS COIGNETIAE FRUIT/RASPBERRY FRUIT/MOMORDICA GROSVENORII FRUIT/LYCIUM CHINENSE FRUIT/GLYCINE MAX SEED/PHASEOLUS ANGULARIS SEED/CANAVALIA ENSIFORMIS SEED/RICE SEED/HORDEUM VULGARE SEED/COIX LACRYMA-JOBI MA-YUEN SEED/ECHINOCHLOA CRUS-GALLI SEED/SETARIA ITALICA SEED/MILLET SEED/HEMEROCALLIS FULVA FLOWER/CABBAGE LEAF/STEM/MORUS BOMBYCIS LEAF/PERILLA FRUTESCENS LEAF/IPOMOEA BATATAS ROOT/COLOCASIA ANTIQUORUM TUBER/DIOSCOREA BATATAS RHIZOME/IRIDEA LAMINARIOIDES/LAMINARIA JAPONICA/NEMACYSTUS DECIPIENS/UNDARIA PINNATIFIDA/RADISH ROOT/TURNIP ROOT/CARROT ROOT/ARCTIUM LAPPA ROOT/NELUMBO NUCIFERA RHIZOME/ONION BULB/LILIUM AURATUM BULB/LICORICE ROOT/SAGITTARIA TRIFOLIA ROOT/SESAME SEED/GINKGO BILOBA SEED/JUGLANS SUBCORDIFORMIS FRUIT/PANAX GINSENG SEED/ACTINIDIA POLYGAMA FRUIT/HYDNUM ERINACEUM FRUITING BODY/GRIFOLA FRONDOSA FRUITING BODY/PRUNUS SALICINA FRUIT/AKEBIA QUINATA FRUIT/CRATAEGUS CUNEATA FRUIT/CORNUS OFFICINALIS FRUIT/NEPHELIUM LONGANA FRUIT/HOUTTUYNIA CORDATA/ARTEMISIA PRINCEPS/SASA VEITCHII LEAF/GLECHOMA HEDERACEA/CHAMOMILLA RECUTITA FLOWER/EQUISETUM ARVENSE/CASSIA OBTUSIFOLIA SEED/TARAXACUM OFFICINALE/ISODON JAPONICUS/SAFFLOWER FLOWER/PLANTAGO ASIATICA/SMALLANTHUS SONCHIFOLIUS ROOT/GARLIC BULB/GINGER RHIZOME/BEET RHIZOME/POLYGONUM ODORATUM RHIZOME/TURMERIC RHIZOME/ACANTHOPANAX SIEBOLDIANUS ROOT/PINUS KORAIENSIS SEED/LENTINUS EDODES FRUITING BODY/AURICULARIA AURICULA/VITIS LABRUSCA FRUIT/HELIANTHUS TUBEROSUS TUBER FERMENT EXTRACT,,,,,"This is the extract of the product obtained by the fermentation of the fruits of Citrus unshui, Citus japonica, Citrus junos, Pyrus malus, Musa sapientum, Carica papaya, Pyrus serotina, Diospyros kaki, Citrullus vulgaris, Prunus persica, Prunus mume, Ficus carica, Chaenomeles sinensis, Eriobotrya japonica, Prunus armeniaca, Zizyphus jujuba, Cucurbita maxima, Castanea crenata, Vitis coignetiae, Rubus idaeus, Momordica grosbenorii, Ginkgo biloba, Juglans subcordiformis, Prunus salicina, Akebia quinata, Ctataegus cuneata, Cornus officinalis, Nephelium longana , the flowers of Chamomilla recutita, Carthamus tinctorius , the seeds of Lycium chinense, Glycine max, Phaseolus angularis, Canavalia ensiformis, Oryza sativa, Hordeum vulgare, Coix lachryma-jobi, Echinochloa crus-galli, Setaria italica, Panicum miliaceum, Sesamum indicum, Cassia obtusifolia, Pinus koraiensis , roots of Ipomoea batatas, Helianthus tuberosus, Colocasia antiquorum, Dioscorea batatas, Raphanus sativus, Brassica rapa, Daucus carota sativa, Arctium lappa, Nelumbo nucifera, Lilium auratum, Glycyrrhiza glabra, Sagittaria trifolia, Smallanthus sonchifolius, Acanthopanax sieboldianus , leaves of Brassica oleracea capitata, Morus bombycis, Perilla frutescens, Sasa veitchii , bulb of Allium sativum, Allium cepa , fruiting body of Hydnum erinaceum, Grifola frondosa, Lentinus edodes, Auricularia auricula , rhizomes of Zingiber officinale, Beta vulgaris, Polygonatum odoratum, Curcuma longa , the alga, Iridea laminarioides, Laminaria japonica, Nemacystus decipiens, Undaria pinnatifida , and the whole plants, Houttuynia cordata, Artemisia princeps, Glechoma hederacea, Taraxacum officinale, Isodon japonicus, Plantago asiatica by the microorganisms, Aspergillus, Lactobacillus, Pediococcus, Saccharomyces and Zygosaccharomyces",,SKIN CONDITIONING,15/10/2010,Autre,Eau / Hydrolat,Très longue (>100),1886,1,94,Oui
92986,ACETOBACTER/ASPERGILLUS/LACTOBACILLUS/LEUCONOSTOC/PEDIOCOCCUS/SACCHAROMYCES/ZYGOSACCHAROMYCES/HORDEUM VULGARE SEED/SOYBEAN SEED/RICE SEED/CANAVALIA GLADIATA SEED/PHASEOLUS ANGULARIS SEED/COIX LACHRYMA-JOBI MA-YUEN SEED/ECHINOCHLOA UTILIS SEED/SETARIA ITALICA SEED/MILLET SEED/CITRUS UNSHIU FRUIT/VITIS LABRUSCA FRUIT/APPLE FRUIT/VITIS COIGNETIAE FRUIT/MUSA SAPIENTUM FRUIT/PEACH FRUIT/DIOSPYROS KAKI FRUIT/PAPAYA FRUIT/PYRUS PYRIFOLIA FRUIT/WATERMELON FRUIT/PRUNUS MUME FRUIT/FIG FRUIT/CHAENOMELES SINENSIS FRUIT/CUCURBITA MAXIMA FRUIT/RUBUS IDAEUS FRUIT/FORTUNELLA CRASSIFOLIA FRUIT/CITRUS JUNOS FRUIT/ERIOBOTRYA JAPONICA FRUIT/APRICOT FRUIT/ZIZYPHUS JUJUBA FRUIT/CASTANEA CRENATA FRUIT/LYCIUM CHINENSE FRUIT/ACTINIDIA POLYGAMA FRUIT/PRUNUS SALICINA FRUIT/AKEBIA QUINATA FRUIT/MOMORDICA GROSVENORII FRUIT/CRATAEGUS CUNEATA FRUIT/CORNUS OFFICINALIS FRUIT/EUPHORIA LONGAN FRUIT/PANAX GINSENG FRUIT/IPOMOEA BATATAS ROOT/HELIANTHUS TUBEROSUS TUBER/CARROT ROOT/ONION BULB/BEET ROOT/COLOCASIA ESCULENTA TUBER/DIOSCOREA JAPONICA RHIZOME/RADISH ROOT/TURNIP ROOT/ARCTIUM LAPPA ROOT/NELUMBO NUCIFERA RHIZOME/POLYMNIA SONCHIFOLIA ROOT/LILIUM AURATUM BULB/SAGITTARIA TRIFOLIA EDULIS TUBER/GINGER RHIZOME/GARLIC BULB/GLYCYRRHIZA GLABRA ROOT/POLYGONATUM ODORATUM RHIZOME/TURMERIC RHIZOME/ACANTHOPANAX GRACILISTYLUS ROOT/CABBAGE LEAF/STEM/PERILLA OCYMOIDES LEAF/MORUS BOMBYCIS LEAF/HEMEROCALLIS FULVA KWANSO FLOWER/HOUTTUYNIA CORDATA/ARTEMISIA PRINCEPS/SASA VEITCHII LEAF/GLECHOMA HEDERACEA/MATRICARIA FLOWER/EQUISETUM ARVENSE/ISODON JAPONICUS/SAFFLOWER FLOWER/PLANTAGO ASIATICA/DANDELION/LAMINARIA JAPONICA LEAF/UNDARIA PINNATIFIDA LEAF/RHODOGLOSSUM PULCHERUM LEAF/NEMACYSTUS DECIPIENS/SESAME SEED/JUGLANS SIEBOLDIANA SEED/GINKGO BILOBA SEED/PINUS KORAIENSIS SEED/CASSIA OBTUSIFOLIA SEED/GRIFOLA FRONDOSA FRUITING BODY/HERICIUM ERINACEUM FRUITING BODY/LENTINUS EDODES FRUITING BODY/AURICULARIA AURICULA FRUITING BODY FERMENT EXTRACT,,,,,,,SKIN CONDITIONING,10/08/2015,Autre,Eau / Hydrolat,Très longue (>100),1919,1,94,Oui
87488,ACETOBACTER/ASPERGILLUS/LACTOBACILLUS/LEUCONOSTOC/PEDIOCOCCUS/SACCHAROMYCES/ZYGOSACCHAROMYCES/HORDEUM VULGARE SEED/SOYBEAN SEED/RICE SEED/CANAVALIA GLADIATA SEED/PHASEOLUS ANGULARIS SEED/COIX LACHRYMA-JOBI MA-YUEN SEED/ECHINOCHLOA UTILIS SEED/SETARIA ITALICA SEED/MILLET SEED/CITRUS UNSHIU FRUIT/VITIS LABRUSCA FRUIT/APPLE FRUIT/VITIS COIGNETIAE FRUIT/MUSA SAPIENTUM FRUIT/PEACH FRUIT/DIOSPYROS KAKI FRUIT/PAPAYA FRUIT/PYRUS PYRIFOLIA FRUIT/WATERMELON FRUIT/PRUNUS MUME FRUIT/FIG FRUIT/CHAENOMELES SINENSIS FRUIT/CUCURBITA MAXIMA FRUIT/RUBUS IDAEUS FRUIT/FORTUNELLA CRASSIFOLIA FRUIT/CITRUS JUNOS FRUIT/ERIOBOTRYA JAPONICA FRUIT/APRICOT FRUIT/ZIZYPHUS JUJUBA FRUIT/CASTANEA CRENATA FRUIT/LYCIUM CHINENSE FRUIT/ACTINIDIA POLYGAMA FRUIT/PRUNUS SALICINA FRUIT/AKEBIA QUINATA FRUIT/MOMORDICA GROSVENORII FRUIT/CRATAEGUS CUNEATA FRUIT/CORNUS OFFICINALIS FRUIT/EUPHORIA LONGAN FRUIT/PANAX GINSENG FRUIT/IPOMOEA BATATAS ROOT/HELIANTHUS TUBEROSUS TUBER/CARROT ROOT/ONION BULB/BETA VULGARIS ROOT/COLOCASIA ESCULENTA TUBER/DIOSCOREA JAPONICA RHIZOME/RADISH ROOT/TURNIP ROOT/ARCTIUM LAPPA ROOT/NELUMBO NUCIFERA RHIZOME/POLYMNIA SONCHIFOLIA ROOT/LILIUM AURATUM BULB/SAGITTARIA TRIFOLIA EDULIS TUBER/GINGER RHIZOME/GARLIC BULB/GLYCYRRHIZA GLABRA ROOT/POLYGONATUM ODORATUM RHIZOME/TURMERIC RHIZOME/ACANTHOPANAX GRACILISTYLUS ROOT/CABBAGE LEAF/STEM/PERILLA OCYMOIDES LEAF/MORUS BOMBYCIS LEAF/HEMEROCALLIS FULVA KWANSO FLOWER/HOUTTUYNIA CORDATA/ARTEMISIA PRINCEPS/SASA VEITCHII LEAF/GLECHOMA HEDERACEA/MATRICARIA FLOWER/EQUISETUM ARVENSE/ISODON JAPONICUS/SAFFLOWER FLOWER/PLANTAGO ASIATICA/DANDELION/LAMINARIA JAPONICA LEAF/UNDARIA PINNATIFIDA LEAF/RHODOGLOSSUM PULCHERUM LEAF/NEMACYSTUS DECIPIENS/SESAME SEED/JUGLANS SIEBOLDIANA SEED/GINKGO BILOBA SEED/PINUS KORAIENSIS SEED/CASSIA OBTUSIFOLIA SEED/GRIFOLA FRONDOSA FRUITING BODY/HERICIUM ERINACEUM FRUITING BODY/LENTINUS EDODES FRUITING BODY/AURICULARIA AURICULA FRUITING BODY FERMENT EXTRACT,,,,,"This is the filtrate of an extract of the product obtained by the fermentation of the seeds of Hordeum vulgare, Glycine max (soybean), Oryza sativa (rice), Sesamum indicum (sesame), Juglans sieboldiana, Ginkgo biloba, Canavalia gladiata, Phaseolus angularis, Coix-lachryma-Jobi Ma-yuen, Echinochloa utilis, Setaria italica, Panicum miliaceum (Millet), and Castanea sativa (chestnut); the fruits of Citrus unshiu, Vitis labrusca, Pyrus malus (apple), Vitis coignetiae, Musa paradisica (banana), Prunus persica (peach), Diospyros kaki, Carica papaya (papaya), Pyrus pyrifolia, Citrullus vulgaris (watermelon), Prunus mume, Ficus carica (fig), Chaenomeles sinensis, Cucurbita maxima, Rubus idaeus, Fortunella crassifolia, Citrus junos, Eriobotrya japonica, Prunus armeniaca (apricot), Zizyphus jujuba, Castanea crenata, Lycium chinense, Actinidia polygama, Prunus salicina, Akebia quinata, Momordica grosvenorii, Crataegus Cuneata, Cornus officinalis, Euphoria longan, and Panax ginseng; the roots of Ipomoea batatas, Daucus carota (carrot), Beta vulgaris, Raphanus sativus (radish), Brassica rapa (turnip), and Glycyrrhiza glabra; the tubers of Helianthus tuberosus, Colocasia esculenta and Saggitaria trifolia edulis; the bulbs of Allium cepa (onion), and Lilium auratum; the rhizomes of Dioscorea japonica, and Nelumbo nucifera; the leaves of Brassica oleracea capitata (cabbage), Perilla ocymoides, Morus bombycis, Laminaria japonica, Undaria pinnatifida and Rhodoglossum pulcherum; the flowers of Hemerocallis fulva kwanso; the whole plants Houttuynia cordata, Artemisia princeps; and the fruiting bodies of Grifola fondosa, Hericium Erinaceum and Lentinus edodes, by the microorganisms Acetobacter, Aspergillus, Lactobacillus, Leuconostoc, Pediococcus, Saccharomyces and Zygosaccharomyces",,SKIN CONDITIONING,01/03/2011,Autre,Eau / Hydrolat,Très longue (>100),1928,1,94,Oui
54151,ACHILLEA MILLEFOLIUM FLOWER WATER,,,84082-83-7,282-030-6,"Achillea Millefolium Flower Water is an aqueous solution of the steam distillated obtained from the flowers of the Yarrow, Achillea Millefolium L., Asteraceae",,MASKING,15/10/2010,Autre,Eau / Hydrolat,Moyenne (26-50),33,1,1,Non
83861,ACORUS CALAMUS RHIZOME WATER,,,84775-39-3,283-869-0,"Acorus Calamus Rhizome Water is an aqueous solution of the steam distillate obtained from the dried rhizomes of the Sweet Flag, Acorus calamus L., Araceae",,SKIN CONDITIONING,15/10/2010,Autre,Eau / Hydrolat,Moyenne (26-50),28,1,1,Non
