ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
92586,ABIES ALBA LEAF WAX,,,90028-76-5,289-870-2(I),"Abies Alba Leaf Wax is a wax obtained from the needles of Abies alba, Pinaceae.",,"SKIN CONDITIONING, SKIN PROTECTING",06/07/2015,Autre,Cire,Courte (16-25),19,2,1,Non
92572,ACACIA DEALBATA FLOWER WAX,,,,,"Acacia Dealbata Flower Wax is the wax obtained from the flowers of Acacia dealbata,  Fabaceae",,"EMOLLIENT, SKIN CONDITIONING",06/07/2015,Émollient / Conditioning,Cire,Moyenne (26-50),26,2,1,Non
92818,ACACIA DECURRENS FLOWER WAX,,,,,"Acacia Decurrens Flower Wax is the wax obtained from the flowers of Acacia decurrens, Leguminosae",,"EMOLLIENT, SKIN CONDITIONING",06/07/2015,Émollient / Conditioning,Cire,Moyenne (26-50),27,2,1,Non
92949,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,,,,,"Acacia Decurrens/Jojoba/Sunflower Seed Wax Polyglyceryl-3 Esters is a product obtained by the transesterification of Polyglycerin-3 with a mixture of Acacia Decurrens Flower Wax, Simmondsia Chinensis (Jojoba) Seed Wax and Helianthus Annuus (Sunflower) Seed Wax.",,"EMOLLIENT, SKIN CONDITIONING",10/08/2015,Émollient / Conditioning,Cire,Longue (51-100),64,2,3,Oui
92576,ACACIA FARNESIANA FLOWER WAX,,,,,"Acacia Farnesiana Flower Wax is a wax obtained from the flowers of Acacia farnesiana, Fabaceae.",,FLAVOURING,06/07/2015,Autre,Cire,Moyenne (26-50),28,1,1,Non
74590,BEHENYL BEESWAX,,,144514-52-3,,"Fatty acids, beeswax, docosyl ester",,"SKIN CONDITIONING, VISCOSITY CONTROLLING",15/10/2010,Agent de viscosité,Cire,Très courte (≤15),15,2,1,Non
74597,BEHENYL/ISOSTEARYL BEESWAX,,,235433-32-6,,"Fatty acids, beeswax, esters with docosanol and 16-methylheptadecanol",,"EMOLLIENT, EMULSIFYING, FILM FORMING, SKIN CONDITIONING",15/10/2010,Émulsifiant,Cire,Moyenne (26-50),26,4,2,Oui
74763,BUTYLOCTYL BEESWAX,,,151661-98-2,,"Fatty acids, beeswax, esters with 2-butyloctanol",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Cire,Courte (16-25),18,2,1,Non
54895,C14-30 ALKYL BEESWAX,,,,,"Fatty acids, beeswax, C14-30-alkyl esters",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Cire,Courte (16-25),20,2,1,Non
74681,C18-38 ALKYL BEESWAX,,,223706-17-0,,"Fatty acids, beeswax, C18-38-alkyl esters",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Cire,Courte (16-25),20,2,1,Non
32279,C30-50 ALKYL BEESWAX,,,223707-19-5,,"Fatty acids, beeswax, C30-50-alkyl esters",,SKIN CONDITIONING,15/10/2010,Autre,Cire,Courte (16-25),20,1,1,Non
92591,CANANGA ODORATA FLOWER WAX,,,,,Ylang Ylang Wax,,MASKING,06/07/2015,Autre,Cire,Moyenne (26-50),26,1,1,Non
83266,CANDELILLA WAX ESTERS,,,,,Candelilla Wax Esters is the ester fraction derived from Euphorbia Cerifera (Candelilla) Wax;,,FILM FORMING,15/10/2010,Agent filmogène,Cire,Courte (16-25),21,1,1,Non
84368,CANDELILLA WAX HYDROCARBONS,,,,,Candelilla Wax Hydrocarbons is the hydrocarbon fraction of Euphorbia Cerifera Wax,,"FILM FORMING, VISCOSITY CONTROLLING",15/10/2010,Agent filmogène,Cire,Moyenne (26-50),27,2,1,Non
