ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
86489,ACROCOMIA ACULEATA SEED BUTTER,,,,,"Acrocomia Aculeata Seed Butter is the fat obtained from the seeds of Acrocomia aculeata, Arecaceae",,EMOLLIENT,15/10/2010,Émollient / Conditioning,Beurre végétal,Moyenne (26-50),30,1,1,Non
54634,ASTROCARYUM MURUMURU SEED BUTTER,,,,,"Astrocaryum Murumuru Seed Butter is the oily fat obtained from the seeds of Astrocaryum murumuru, Arecaceae",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Beurre végétal,Moyenne (26-50),32,2,1,Non
85678,ASTROCARYUM TUCUMA SEED BUTTER,,,,,"Astrocaryum Tucuma Seed Butter is the fat obtained from the seeds of Astrocaryum tucuma, Arecaceae",,EMOLLIENT,15/10/2010,Émollient / Conditioning,Beurre végétal,Moyenne (26-50),30,1,1,Non
86488,ATTALEA MARIPA SEED BUTTER,,,,,"Attalea Maripa Seed Butter is the fat obtained from the seeds of Attalea maripa, Arecaceae",,SKIN CONDITIONING,15/10/2010,Autre,Beurre végétal,Moyenne (26-50),26,1,1,Non
54829,BASSIA BUTYRACEA SEED BUTTER,,,,,"Bassia Butyracea Seed Butter is the fat obtained from the seeds of Bassia butyracea, Chenopodiaceae",,SKIN CONDITIONING,15/10/2010,Autre,Beurre végétal,Moyenne (26-50),28,1,1,Non
54830,BASSIA LATIFOLIA SEED BUTTER,,,,,"Bassia Latifolia Seed Butter is the fat obtained from the seeds of Bassia latifolia, Chenopodiaceae",,SKIN CONDITIONING,15/10/2010,Autre,Beurre végétal,Moyenne (26-50),28,1,1,Non
92347,BUTTER,,,8029-34-3,310-127-6,Butyrum (EU),,SKIN CONDITIONING,10/08/2015,Autre,Beurre végétal,Très courte (≤15),6,1,1,Non
54990,BUTTER DECYL ESTERS,,,,,Decyl Butterate,,"EMULSION STABILISING, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Émulsifiant,Beurre végétal,Courte (16-25),19,3,1,Non
82668,BUTTER EXTRACT,,,,,Butter Extract is the extract of Butter,,EMOLLIENT,15/10/2010,Émollient / Conditioning,Beurre végétal,Très courte (≤15),14,1,1,Non
54991,BUTTER GLYCERIDES,,,,,"Butter Glycerides is a mixture of mono-, di- and triglycerides derived from butter",,SKIN CONDITIONING,15/10/2010,Autre,Beurre végétal,Courte (16-25),17,1,1,Non
