ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
89819,NONAPEPTIDE-11,,,,,,,"ANTISEBORRHOEIC, SKIN CONDITIONING",17/12/2012,Autre,Peptide,Très courte (≤15),14,2,1,Non
54168,"1,10-DECANEDIOL",,,112-47-0,203-975-2,Decamethylene Glycol,,SOLVENT,15/10/2010,Solvant,Molécule chimique,Très courte (≤15),15,1,1,Non
54169,"1,2-BUTANEDIOL",,,584-03-2,209-527-2,,,"HUMECTANT, SKIN CONDITIONING, SOLVENT, VISCOSITY CONTROLLING",15/10/2010,Humectant,Molécule chimique,Très courte (≤15),14,4,1,Non
54170,"1,2-HEXANEDIOL",,,6920-22-5,230-029-6,,,SOLVENT,15/10/2010,Solvant,Molécule chimique,Très courte (≤15),14,1,1,Non
54173,"1,4-BUTANEDIOL",,,110-63-4,203-786-5,"Butane - 1,4 - diol",,SOLVENT,15/10/2010,Solvant,Molécule chimique,Très courte (≤15),14,1,1,Non
81397,"1,5-PENTANEDIOL",,,111-29-5,203-854-4,"Pentane-1,5-diol",,SOLVENT,15/10/2010,Solvant,Molécule chimique,Très courte (≤15),15,1,1,Non
40188,1-HEXEN-3-OL,,,4798-44-1,225-355-0,Hex-1-en-3-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),12,1,1,Non
31470,1-NAPHTHOL,,,90-15-3,201-969-4,1-naphthol (CI 76605),III/16,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),10,1,1,Non
40994,1-NONEN-3-OL,,,21964-44-3,244-686-1,Non-1-en-3-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),12,1,1,Non
40582,1-PENTEN-3-OL,,,616-25-1,210-472-1,Pent-1-en-3-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),13,1,1,Non
54180,"2,3-BUTANEDIOL",,,513-85-9,208-173-6,"2,3-Butylene Glycol",,"HUMECTANT, MASKING, SKIN CONDITIONING, SOLVENT",15/10/2010,Humectant,Molécule chimique,Très courte (≤15),14,4,1,Non
41302,"2,3-XYLENOL",,,526-75-0,208-395-3,"2,3-Xylenol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),11,1,1,Non
40140,"2,4-HEXADIENAL",,,142-83-6,205-564-3,"Trans,trans-2,4-Hexadienal",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),14,1,1,Non
40142,"2,4-HEXADIENOL",,,111-28-4,203-853-9,"Hexa-2,4-dien-1-ol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),14,1,1,Non
41303,"2,4-XYLENOL",,,105-67-9,203-321-6,"2,4-Xylenol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),11,1,1,Non
41304,"2,5-XYLENOL",,,95-87-4,202-461-5,"2,5-Dimethyl-phenol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),11,1,1,Non
41305,"2,6-XYLENOL",,,576-26-1,209-400-1,"2,6-Dimethyl-phenol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),11,1,1,Non
74075,2-AMINOBUTANOL,,,96-20-8,202-488-2,2-aminobutan-1-ol,III/61,BUFFERING,15/10/2010,Autre,Molécule chimique,Très courte (≤15),14,1,1,Non
39505,2-DECENAL,,,3913-71-1/3913-81-3,223-472-1/223-474-2,2-Decenal,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),9,1,1,Non
39506,2-DECENOL,,,22104-80-9,244-784-4,2-Decenol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),9,1,1,Non
39799,2-DODECENAL,,,4826-62-4,225-402-5,Dodec-2-en-1-al,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),11,1,1,Non
39802,2-DODECENOL,,,22104-81-0,244-786-5,Dodec-2-en-1-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),11,1,1,Non
39832,2-ETHYLBUTANOL,,,97-95-0,202-621-4,2-Ethylbutan-1-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),14,1,1,Non
93646,2-ETHYLHEXYLAL,,,22174-70-5,,"Bis-Ethylhexyloxymethane,Heptane, 3,3'-[methylenebis(oxymethylene)]bis-",,SOLVENT,10/08/2015,Solvant,Molécule chimique,Très courte (≤15),14,1,1,Non
40122,2-HEPTANOL,,,543-49-7,208-844-3,Heptan-2-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),10,1,1,Non
40131,2-HEPTYLFURAN,,,3777-71-7,223-236-8,2-Heptylfuran,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),13,1,1,Non
40184,2-HEXANOL,,,626-93-7,210-971-4,Hexan-2-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),9,1,1,Non
40189,2-HEXENOL,,,2305-21-7,218-972-1,Hex-2-en-1-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),9,1,1,Non
39677,2-ISOPENTENAL,,,107-86-8,203-527-6,3-Methyl-2-butenal,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),13,1,1,Non
40455,2-METHYLBUTANOL,,,137-32-6,205-289-9,2-Methylbutan-1-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),15,1,1,Non
40524,2-OCTANOL,,,123-96-6,204-667-0,Octan-2-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),9,1,1,Non
40526,2-OCTENAL,,,2363-89-5,219-115-4,Oct-2-enal,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),9,1,1,Non
40580,2-PENTANOL,,,6032-29-7,227-907-6,Pentan-2-ol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),10,1,1,Non
41265,2-UNDECENAL,,,2463-77-6/53448-07-0,219-564-6/258-559-3,Undec-2-enal,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),11,1,1,Non
41273,2-UNDECENOL,,,37617-03-1,253-569-4,Undec-2-enol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),11,1,1,Non
40901,"3,6-NONADIENOL",,,76649-25-7,278-518-3,"3,6-Nonadienol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),14,1,1,Non
41311,3-CARENE,,,13466-78-9,236-719-3,"3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene; Isodiprene",III/121,PERFUMING,15/10/2010,Fragrance / Parfum,Molécule chimique,Très courte (≤15),8,1,1,Non
88818,3-DECENOL,,,51100-54-0,256-967-6,,,FLAVOURING,04/07/2012,Autre,Molécule chimique,Très courte (≤15),9,1,1,Non
39800,3-DODECENAL,,,68083-57-8,268-406-2,Dodec-3-en-1-al,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),11,1,1,Non
