ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
31465,"1,2,4-TRIHYDROXYBENZENE",,,533-73-3,208-575-1,"Benzene-1,2,4-triol",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),23,1,1,Non
31466,"1,2,6-HEXANETRIOL",,,106-69-4,203-424-6,"Hexane-1,2,6-triol",,"HUMECTANT, SOLVENT, VISCOSITY CONTROLLING",24/01/2011,Humectant,Molécule chimique,Courte (16-25),17,3,1,Non
39563,"1,2-DIHYDROLINALOOL",,,18479-51-1,242-359-8,"3,7-Dimethyloct-6-en-3-ol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
91167,"1,2-HEXANEDIYL DICAPRATE",,,,,"1,2-Bis(decanoyloxy)hexane",,BLEACHING,23/07/2014,Autre,Molécule chimique,Courte (16-25),24,1,1,Non
92607,"1,3-BIS-PROPANE HCL",,,74918-21-1,278-022-7,"4,4'-[Propane-1,3-Diylbis(Oxy)]Bisbenzene-1,3-Diaminetetrahydrochloride",,,06/07/2015,Autre,Molécule chimique,Courte (16-25),19,0,1,Non
31468,"1,5-NAPHTHALENEDIOL",,,83-56-7,201-487-4,"Naphthalene-1,5-diol (CI 76625)",III/32,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),19,1,1,Non
83542,"1,6-HEXANEDIAMINE",,,124-09-4,204-679-6,Hexamethylenediamine,,BUFFERING,15/10/2010,Autre,Molécule chimique,Courte (16-25),17,1,1,Non
54176,1-ACETONAPHTHONE,,,941-98-0,213-384-1,1-(1-Naphthalenyl)ethanone; 1'-Acetonaphthone,,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),16,2,1,Non
39438,1-CYCLOHEXYLETHANOL,,,1193-81-3,214-780-7,1-Cyclohexylethanol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
40009,1-FURFURYL-1H-PYRROLE,,,1438-94-4,215-876-1,1-Furfuryl-1H-pyrrole,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),21,1,1,Non
40661,1-METHYLDECYL ACETATE,,,14936-67-5,239-011-2,1-Methyldecyl acetate,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),21,1,1,Non
54178,1-METHYLHYDANTOIN-2-IMIDE,,,60-27-5,200-466-7,"4H-Imidazol-4-one, 2-amino-1,5-Dihydro-1-Methyl-",,SKIN CONDITIONING,15/10/2010,Autre,Molécule chimique,Courte (16-25),25,1,1,Non
90935,1-NAPHTHALENEACETIC ACID,,,86-87-3,,1-Naphthaleneacetic Acid is the organic compound,,SKIN CONDITIONING,28/05/2013,Autre,Acide,Courte (16-25),24,1,1,Non
40643,1-PHENYLPROPYL ACETATE,,,2114-29-6,218-312-2,1-Phenylpropyl acetate,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),22,1,1,Non
54174,10-HYDROXYDECANOIC ACID,,,1679-53-4,216-848-1,10-Hydroxydecanoic acid,,SKIN CONDITIONING,15/10/2010,Autre,Acide,Courte (16-25),23,1,1,Non
54175,10-HYDROXYDECENOIC ACID,,,765-01-5,,10-Hydroxy-trans-2-decenoic acid,,SKIN CONDITIONING,15/10/2010,Autre,Acide,Courte (16-25),23,1,1,Non
92027,10-HYDROXYSTEARIC ACID,,,638-26-6,,"Octadecanoic acid, 10-hydroxy-",,"SKIN CONDITIONING, SKIN PROTECTING",23/07/2014,Autre,Acide,Courte (16-25),22,2,1,Non
41275,10-UNDECENYL ACETATE,,,112-19-6,203-944-3,Undec-10-enyl acetate,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),20,1,1,Non
41239,"2,3,6-TRIMETHYLPHENOL",,,2416-94-6,219-330-3,"2,3,6-Trimethylphenol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),21,1,1,Non
39542,"2,3-DIETHYLPYRAZINE",,,15707-24-1,239-800-1,"2,3-Diethylpyrazine",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
39587,"2,4-DIMETHYLBENZYLACETATE",,,62346-96-7,263-518-8,"2,4-Dimethylbenzyl acetate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),25,1,1,Non
39247,"2,4-DIMETHYLPYRIDINE",,,108-47-4,203-586-8,"2,4-Dimethylpyridine",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),20,1,1,Non
40143,"2,4-HEXADIENYL ACETATE",,,1516-17-2,216-163-8,"Hexa-2,4-dienyl acetate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),22,1,1,Non
82881,"2,5-DIHYDROXYBENZOIC ACID",,,490-79-9,207-718-5,Gentisic acid; 5-Hydroxysalicylic Acid,,SKIN CONDITIONING,15/10/2010,Autre,Acide,Courte (16-25),25,1,1,Non
39245,"2,5-DIMETHYLPYRAZINE",,,123-32-0,204-618-3,"2,5-Dimethylpyrazine",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),20,1,1,Non
31479,"2,6-DIAMINOPYRIDINE",,,141-86-6,205-507-2,"Pyridine-2,6-diyldiamine",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),19,1,1,Non
31481,"2,6-DICARBOXYPYRIDINE",,,499-83-2,207-894-3,"2,6-Pyridinedicarboxylic acid",,CHELATING,15/10/2010,Autre,Molécule chimique,Courte (16-25),21,1,1,Non
39630,"2,6-DIMETHYL-4-HEPTANOL",,,108-82-7,203-619-6,"2,6-Dimethylheptan-4-ol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),23,1,1,Non
39631,"2,6-DIMETHYL-4-HEPTANONE",,,108-83-8,203-620-1,"2,6-Dimethylheptan-4-one",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),24,1,1,Non
74068,"2,6-DIMETHYL-7-OCTEN-2-OL",,,18479-58-8,242-362-4,"2,6-dimethyloct-7-en-2-ol",,"MASKING, PERFUMING",24/01/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),25,2,1,Non
39629,"2,6-DIMETHYLHEPTANOL",,,13254-34-7,236-244-1,"2,6-Dimethylheptan-1-ol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),20,1,1,Non
39246,"2,6-DIMETHYLPYRAZINE",,,108-50-9,203-589-4,"2,6-Dimethylpyrazine",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),20,1,1,Non
31484,"2,7-NAPHTHALENEDIOL",,,582-17-2,209-478-7,"Naphthalene-2,7-diol (CI 76645)",III/4,HAIR DYEING,09/03/2011,Colorant,Molécule chimique,Courte (16-25),19,1,1,Non
39926,2-(1-ETHYLPROPYL)PYRIDINE,,,7399-50-0,230-998-5,2-(1-Ethylpropyl)pyridine,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),25,1,1,Non
82367,2-(2-AMINOETHOXY)ETHANOL,,,929-06-6,213-195-4,2-(2-Aminoethoxy)ethanol; Diglycolamine,,HAIR FIXING,15/10/2010,Soin capillaire,Molécule chimique,Courte (16-25),24,1,1,Non
54189,2-ACETONAPHTHONE,,,93-08-3,202-216-2,1-(2-Naphthalenyl)ethanone,,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),16,2,1,Non
54190,2-ACETYLHYDROQUINONE,,,490-78-8,207-716-4,"Ethanone, 1-(2,5-Dihydroxyphenyl)-",,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING",15/10/2010,Antioxydant,Molécule chimique,Courte (16-25),20,3,1,Non
31485,2-AMINO-3-HYDROXYPYRIDINE,,,16867-03-1,240-886-8,2-aminopyridin-3-ol,Annex III/I/261 - Directive 2012/21/EU,HAIR DYEING,17/09/2012,Colorant,Molécule chimique,Courte (16-25),25,1,1,Non
83518,2-AMINO-5-ETHYLPHENOL HCL,,,149861-22-3,,"Phenol, 2-Amino-5-Ethyl-, Hydrochloride",,HAIR DYEING,15/10/2010,Colorant,Molécule chimique,Courte (16-25),25,1,1,Non
83041,2-BENZYLHEPTANOL,,,92368-90-6,296-229-0,"Benzenepropanol, beta-pentyl-; alpha-Pentyl-hydrocinnamic alcohol",,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),16,2,1,Non
39281,2-CARENYL METHYL KETONE,,,3608-11-5,222-771-4,"Car-2-en-4-yl methyl ketone; 3,7,7-Trimethylbicyclo[4.1.0]hept-2-en-4-yl methyl ketone",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),23,1,1,Non
39439,2-CYCLOHEXYLETHANOL,,,4442-79-9,224-672-1,2-Cyclohexylethanol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
88284,2-CYCLOHEXYLETHYL ACETATE,,,21722-83-8,244-543-3,"Acetic acid, cyclohexylethyl ester; 2-Cyclohexylethyl Acetate; cyclohexaneethanol,  1-acetate",,"FLAVOURING, MASKING",19/12/2011,Autre,Molécule chimique,Courte (16-25),25,2,1,Non
39902,2-ETHYL-3-METHYLPYRAZINE,,,15707-23-0,239-799-8,2-Ethyl-3-methylpyrazine,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),24,1,1,Non
39837,2-ETHYLBUTYRIC ACID,,,88-09-5,201-796-4,2-Ethylbutyric Acid,,PERFUMING,02/03/2011,Fragrance / Parfum,Acide,Courte (16-25),19,1,1,Non
39884,2-ETHYLIDENEDECANAL,,,64825-20-3,265-244-4,2-Ethylidenedecan-1-al,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
40008,2-FURFURYLENEOCTANAL,,,67801-17-6,267-137-8,2-Furfuryleneoctanal,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),20,1,1,Non
40013,2-FURYL METHYL KETONE,,,1192-62-7,214-757-1,2-Furyl methyl ketone,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),21,1,1,Non
40012,2-FURYLMETHANETHIOL,,,98-02-2,202-628-2,2-Furylmethanethiol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
31497,2-HEPTYLCYCLOPENTANONE,,,137-03-1,205-273-1,2-Heptylcyclopentanone,,"MASKING, PERFUMING",24/01/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),22,2,1,Non
40195,2-HEXENYL ACETATE,,,10094-40-3,233-223-9,Hex-2-enyl Acetate,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),17,1,1,Non
40237,"2-HEXYL-1,3-DIOXANOL",,,1708-36-7,216-961-6,"2-Hexyl-1,3-dioxan-5-ol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),20,1,1,Non
40238,"2-HEXYL-1,3-DIOXOLANE",,,1708-34-5,216-959-5,"2-Hexyl-1,3-dioxolane",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),21,1,1,Non
40350,2-ISOBUTYLQUINOLINE,,,93-19-6,202-227-2,2-Isobutylquinoline,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),19,1,1,Non
39683,2-ISOPENTENYL SALICYLATE,,,68555-58-8,271-434-8,3-Methyl-2-butenyl 2-hydroxybenzoate,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),24,1,1,Non
39395,2-M-CRESYLETHANOL,,,1875-89-4,217-508-5,3-Methyl-benzeneethanol,,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),17,1,1,Non
40055,2-MELOZOL ACETATE,,,64644-34-4,264-991-3,"Octahydro-4,7-methano-1H-indene-2-methyl acetate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),17,1,1,Non
