ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
40512,"1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",,,41199-19-3,255-256-8,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-trimethyl-2-naphthol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),53,1,1,Non
40507,"1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE",,,65405-72-3,265-742-1,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-tetramethyl-1-naphthyl formate",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),66,1,1,Non
54172,"1,4-BUTANDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",,,,,"1,4 Butandiol/Succinic Acid/Adipic Acid/HDI Copolymer is a copolymer of Hexanedioic acid, polymer with butanedioic acid, 1,4-butanediol, and 1,6-diisocyanatohexane",,"ABRASIVE, BINDING, FILM FORMING",15/10/2010,Agent filmogène,Polymère,Longue (51-100),53,3,4,Oui
92811,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",,,119553-67-2,,"Hexanedioic acid, polymer with butanedioic acid, 1,4-butanediol and 1,6-diisocyanatohexane",,"ABRASIVE, BINDING, FILM FORMING",06/07/2015,Agent filmogène,Polymère,Longue (51-100),54,3,4,Oui
92787,"1-(3,4-DIMETHOXYPHENYL)-4,4-DIMETHYL-1,3-PENTANEDIONE",,,,,,,"STABILISING, UV FILTER",03/07/2015,Filtre UV,Molécule chimique,Longue (51-100),53,2,1,Non
40511,"2,3,4,4A,5,6,7,8-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",,,643-53-8,211-399-8,"2,3,4,4a,5,6,7,8-Octahydro-2,5,5-trimethyl-2-naphthol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),53,1,1,Non
83274,"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",,,857035-95-1,469-500-8,,,HAIR DYEING,18/01/2013,Colorant,Molécule chimique,Longue (51-100),54,1,1,Non
39254,"2,3-DIMETHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL",,,71850-78-7,276-097-0,"2,3-Dimethyl-4-(2,6,6-trimethyl-1-cyclohexenyl)-2-butenal",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),57,1,1,Non
39251,"2,4-DIMETHYL-2-(5,6,7,8-TETRAHYDRO-3,5,5,6,8,8-HEXAMETHYL-2-NAPHTHALENYL)-1,3-DIOXOLANE",,,131812-48-1,,"2,4-Dimethyl-2-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)-1,3-dioxolane",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),87,1,1,Non
39614,"2-DIMETHYLCYCLOHEXENYL-5-METHYL-5-METHYLPROPYL-1,3-DIOXANE",,,117933-89-8,413-720-9,"2-(2,4-Dimethyl-3-cyclohexeneyl)-5-methyl-5-(1-methylpropyl)-1,3-dioxane",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),58,1,1,Non
39820,"2-ETHOXY-2,6,6-TRIMETHYL-9-METHYLENEBICYCLO[3.3.1]NONANE",,,68845-00-1,272-447-1,"2-Ethoxy-2,6,6-trimethyl-9-methylenebicyclo[ 3.3.1]nonane",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),56,1,1,Non
40428,"2-METHOXYPHENOL/2,2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED",,,70955-71-4,275-062-7,"2-Methoxyphenol, reaction products with 2,2-dimethyl-3-methylenebicyclo[2.2.1]heptane, hydrogenated",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),68,1,2,Oui
40813,"2-METHYL-3-(1,7,7-TRIMETHYLBICYCLOHEPT-2-YLOXY)-PROPANOL",,,128119-70-0,,"2-Methyl-3-[(1,7,7-trimethylbicyclo-[2.2.1]hept-2-yl)oxy]-1-propanol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),56,1,1,Non
40822,"2-METHYL-4-(2,2,3-TRIMETHYL-3-CYCLOPENTENYL)-2-BUTEN-1-OL",,,28219-60-5,248-907-2,"2-Methyl-4-(2,2,3-trimethyl-3-cyclopentenyl)-2-buten-1-ol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),57,1,1,Non
40816,"2-METHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL",,,3155-71-3,221-597-6,"2-Methyl-4-(2,6,6-trimethyl-1-cyclohexenyl)-2-butenal",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),53,1,1,Non
40817,"2-METHYL-4-(2,6,6-TRIMETHYL-2-CYCLOHEXENYL)-2-BUTENAL",,,68555-62-4,271-439-5,"2-Methyl-4-(2,6,6-trimethyl-2-cyclohexenyl)-2-butenal",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),53,1,1,Non
40818,"2-METHYL-4-(2,6,6-TRIMETHYL-2-CYCLOHEXENYL)-3-BUTENAL",,,58102-02-6,261-121-4,"2-Methyl-4-(2,6,6-trimethyl-2-cyclohexenyl)-3-butenal",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),53,1,1,Non
40932,2-PROPANOL/BORON TRIFLUORIDE/ETHYLIDENEBICYCLOHEPTENE,,,90530-04-4,292-041-8,"2-Propanol, reaction products with boron trifluoride and 5-ethylidenebicyclo[2.2.1]hept-2-ene",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),53,1,3,Oui
40819,"3-METHYL-4-(2,4,6-TRIMETHYL-3-CYCLOHEXENYL)-3-BUTEN-2-ONE",,,67801-29-0,267-149-3,"3-Methyl-4-(2,4,6-trimethyl-3-cyclohexenyl)-3-buten-2-one",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),57,1,1,Non
40820,"3-METHYL-4-(3,5,6-TRIMETHYL-3-CYCLOHEXENYL)-3-BUTEN-2-ONE",,,67801-31-4,267-151-4,"3-Methyl-4-(3,5,6-trimethyl-3-cyclohexenyl)-3-buten-2-one",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),57,1,1,Non
40823,"3-METHYL-5-(2,2,3-TRIMETHYL-3-CYCLOPENTENYL)METHYL)CYCLOHEXANOL",,,71820-51-4,276-044-1,"3-Methyl-5-((2,2,3-trimethyl-3-cyclopentenyl)methyl)cyclohexan-1-ol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),63,1,1,Non
40825,"3-METHYL-5-(2,2,3-TRIMETHYL-3-CYCLOPENTENYL)PENT-3-EN-2-ONE",,,65113-95-3,265-450-4,"3-Methyl-5-(2,2,3-trimethyl-3-cyclopentenyl)pent-3-en-2-one",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),59,1,1,Non
40824,"3-METHYL-5-(2,2,3-TRIMETHYL-3-CYCLOPENTENYL)PENT-4-EN-2-OL",,,67801-20-1,267-140-4,"3-Methyl-5-(2,2,3-trimethyl-3-cyclopentenyl)pent-4-en-2-ol",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),58,1,1,Non
87451,"3A,4,5,6,7,7A-HEXAHYDRO-4,7-METHANO-1H-INDEN-5(OR 6)-YL ACETATE",,,54830-99-8,259-367-2/911-369-0,"3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-indenyl acetate",,PERFUMING,04/10/2012,Fragrance / Parfum,Molécule chimique,Longue (51-100),63,1,1,Non
54206,"4,4'-ISOPROPYLIDENEDIPHENOL/EPICHLOROHYDRIN COPOLYMER",,,25068-38-6,,"Phenol, 4,4'-((1-Methylethylidene)bis- (CAS 80-05-7), Polymer with (Chlomethyl)Oxirane (CAS 106-89-8)",,FILM FORMING,09/03/2011,Agent filmogène,Polymère,Longue (51-100),53,1,2,Oui
93510,"4,4'-ISOPROPYLIDENEDIPHENYL/EPICHLOROHYDRIN COPOLYMER DIACRYLATE",,,,,"4,4'-Isopropylidenediphenyl/Epichlorohydrin Copolymer Diacrylate is the acrylate ester of 4,4'-Isopropylidenediphenol/Epichlorohydrin Copolymer.",,NAIL CONDITIONING,10/08/2015,Soin ongles,Polymère,Longue (51-100),64,1,2,Oui
39937,"4-ETHYL-6-(2,6,6-TRIMETHYL-2-CYCLOHEXENYL)-2-HEXENE-1,4-DIOL CYCLIZED",,,90411-73-7,291-450-9,"4-Ethyl-6-(2,6,6-trimethyl-2-cyclohexenyl)-2-hexene-1,4-diol, cyclized",,PERFUMING,02/03/2011,Fragrance / Parfum,Molécule chimique,Longue (51-100),69,1,1,Non
