ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
89819,NONAPEPTIDE-11,,,,,,,"ANTISEBORRHOEIC, SKIN CONDITIONING",17/12/2012,Autre,Peptide,Très courte (≤15),14,2,1,Non
93584,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/EUCHEUMATOIDES/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OIIGOSACCHARIDES,,,,,"(Gelidium Elegans/Lingulatum/Rex/Sesquipedale)/(Gracilaria Chilensis/Eucheumatoides/Vermiculophylla)/Pterocladiella Tenuis OIigosaccharides are the oligosaccharides produced by the enzymatic degradation of Agar that is obtained from Gelidium elegans, Pterocladiella tenuis, Gelidium sesquipedale, Gelidium rex, Gelidium lingulatum, Gracilaria vermiculophylla, Gracilaria chilensis and Hydropuntia eucheumatoides.",,"HUMECTANT, SKIN CONDITIONING",10/08/2015,Humectant,Molécule chimique,Très longue (>100),139,2,8,Oui
92787,"1-(3,4-DIMETHOXYPHENYL)-4,4-DIMETHYL-1,3-PENTANEDIONE",,,,,,,"STABILISING, UV FILTER",03/07/2015,Filtre UV,Molécule chimique,Longue (51-100),53,2,1,Non
54176,1-ACETONAPHTHONE,,,941-98-0,213-384-1,1-(1-Naphthalenyl)ethanone; 1'-Acetonaphthone,,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),16,2,1,Non
92027,10-HYDROXYSTEARIC ACID,,,638-26-6,,"Octadecanoic acid, 10-hydroxy-",,"SKIN CONDITIONING, SKIN PROTECTING",23/07/2014,Autre,Acide,Courte (16-25),22,2,1,Non
74068,"2,6-DIMETHYL-7-OCTEN-2-OL",,,18479-58-8,242-362-4,"2,6-dimethyloct-7-en-2-ol",,"MASKING, PERFUMING",24/01/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),25,2,1,Non
54189,2-ACETONAPHTHONE,,,93-08-3,202-216-2,1-(2-Naphthalenyl)ethanone,,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),16,2,1,Non
83041,2-BENZYLHEPTANOL,,,92368-90-6,296-229-0,"Benzenepropanol, beta-pentyl-; alpha-Pentyl-hydrocinnamic alcohol",,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),16,2,1,Non
88284,2-CYCLOHEXYLETHYL ACETATE,,,21722-83-8,244-543-3,"Acetic acid, cyclohexylethyl ester; 2-Cyclohexylethyl Acetate; cyclohexaneethanol,  1-acetate",,"FLAVOURING, MASKING",19/12/2011,Autre,Molécule chimique,Courte (16-25),25,2,1,Non
31497,2-HEPTYLCYCLOPENTANONE,,,137-03-1,205-273-1,2-Heptylcyclopentanone,,"MASKING, PERFUMING",24/01/2011,Fragrance / Parfum,Molécule chimique,Courte (16-25),22,2,1,Non
87226,2-METHYL 5-CYCLOHEXYLPENTANOL,,,1141487-54-8,,,,"SKIN CONDITIONING, SKIN PROTECTING",15/10/2010,Autre,Molécule chimique,Moyenne (26-50),29,2,1,Non
54198,2-METHYLPROPANAL,,,78-84-2,201-149-6,Dimethylacetaldehyde; Isobutyraldehyde,,"NAIL CONDITIONING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),16,2,1,Non
89230,2-PROPYL-5-CYCLOHEXYLPENTANOL,,,1179975-39-3,,2-Propyl-5-Cyclohexylpentanol is the organic compound,,"DEODORANT, SKIN CONDITIONING",08/10/2012,Déodorant / Antiperspirant,Molécule chimique,Moyenne (26-50),29,2,1,Non
74090,2-T-BUTYLCYCLOHEXYL ACETATE,,,88-41-5,201-828-7,"2-(1,1-Dimethylethyl)Cyclohexyl Acetate; 2-tert-Butylcyclohexyl Acetate",,"MASKING, PERFUMING",24/01/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),27,2,1,Non
74091,2-T-BUTYLCYCLOHEXYLOXYBUTANOL,,,139504-68-0,412-300-2,"Cyclohexane, 1-(2-hydroxybutoxy)-2-(1,1-dimethylethyl)-",,"MASKING, PERFUMING",24/01/2011,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),29,2,1,Non
31513,3-AMINOPROPANE SULFONIC ACID,,,3687-18-1,222-977-4,3-aminopropane-1-sulphonic acid,,"HYDROTROPE, SURFACTANT",15/10/2010,Tensioactif,Acide,Moyenne (26-50),28,2,1,Non
31514,3-BENZYLIDENE CAMPHOR,,,15087-24-8,239-139-9,"1,7,7-trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one",VI/19,"UV ABSORBER, UV FILTER",24/02/2014,Filtre UV,Molécule chimique,Courte (16-25),21,2,1,Non
92281,3-BUTYLGLYCERYL ASCORBATE,,,,,,,"HUMECTANT, SKIN CONDITIONING",16/09/2014,Humectant,Molécule chimique,Courte (16-25),25,2,1,Non
87517,3-GLYCERYL ASCORBATE,,,,,,,"ANTIOXIDANT, HUMECTANT",04/07/2012,Humectant,Molécule chimique,Courte (16-25),20,2,1,Non
85191,4-ETHOXYBENZALDEHYDE,,,10031-82-0,233-093-3,,,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),20,2,1,Non
31529,4-METHYLBENZYLIDENE CAMPHOR,enzacamene,,36861-47-9/38102-62-4,253-242-6/,"(.+-.)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one",VI/18,"UV ABSORBER, UV FILTER",15/10/2010,Filtre UV,Molécule chimique,Moyenne (26-50),27,2,1,Non
92788,4-PROPOXY-2-HYDROXYBENZOPHENONE,,,,,,,"STABILISING, UV FILTER",03/07/2015,Filtre UV,Molécule chimique,Moyenne (26-50),31,2,1,Non
54219,4-T-BUTYLBENZOIC ACID,,,98-73-7,202-696-3,"Benzoic Acid, 4-(1,1-Dimethylethyl)-",,"ANTIMICROBIAL, MASKING",15/10/2010,Conservateur,Acide,Courte (16-25),21,2,1,Non
54220,4-T-BUTYLCYCLOHEXANOL,,,98-52-2,202-676-4,"Cyclohexanol, 4-(1,1-dimethylethyl)-",,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),21,2,1,Non
31537,5-AMINO-6-CHLORO-O-CRESOL,,,84540-50-1,283-144-9,3-amino-2-chlor-6-methylphenol,,"ANTIMICROBIAL, HAIR DYEING",15/10/2010,Colorant,Molécule chimique,Courte (16-25),25,2,1,Non
31542,6-METHYL COUMARIN,,,92-48-8,202-158-8,6-methylcoumarin,III/46,"MASKING, ORAL CARE",15/10/2010,Soin oral,Molécule chimique,Courte (16-25),17,2,1,Non
93496,7-DEHYDROCHOLESTERYL PALMITATE,,,,,7-Dehydrocholesteryl Palmitate is the product obtained by the reaction of 7-Dehydrocholesterol and Palmitic Acid,,"SKIN PROTECTING, UV FILTER",10/08/2015,Filtre UV,Molécule chimique,Moyenne (26-50),30,2,1,Non
91660,ABELMOSCHUS MANIHOT ROOT EXTRACT,,,,,"Abelmoschus Manihot Root Extract is the extract of the roots of Abelmoschus manihot, Malvaceae.",,"HUMECTANT, SKIN CONDITIONING",16/09/2014,Humectant,Extrait,Moyenne (26-50),32,2,1,Non
92586,ABIES ALBA LEAF WAX,,,90028-76-5,289-870-2(I),"Abies Alba Leaf Wax is a wax obtained from the needles of Abies alba, Pinaceae.",,"SKIN CONDITIONING, SKIN PROTECTING",06/07/2015,Autre,Cire,Courte (16-25),19,2,1,Non
74134,ABIES BALSAMEA NEEDLE OIL,,,85085-34-3,285-364-0,"Canadian Fir Needle Oil. Abies Balsamea Needle Oil is the volatile oil obtained from the needles of the fir, Balsam Canada, Abies balsamea, Pinaceae. It contains mainly L-alpha-pinene.",III/107,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Huile,Courte (16-25),25,2,1,Non
54230,ABIES BALSAMEA RESIN,,,8007-47-4,232-362-2,"Abies Balsamea Resin is an oleoresin obtained from the balsam fir (Balsam Canada), Abies balsamea, Pinaceae",III/107,"FILM FORMING, MASKING",15/10/2010,Agent filmogène,Molécule chimique,Courte (16-25),20,2,1,Non
82186,ABIES PECTINATA LEAF EXTRACT,,,92128-34-2,295-728-0,"Abies Pectinata Leaf Extract is an extract of the needles of the silver fir, Abies pectinata, Pinaceae",III/105,"DEODORANT, TONIC",15/10/2010,Déodorant / Antiperspirant,Extrait,Moyenne (26-50),28,2,1,Non
31549,ABIES PECTINATA OIL,,,92128-34-2,295-728-0,"Abies Pectinata Oil is the volatile oil obtained from the needles of the silver fir, Abies pectinata, Pinaceae",III/105,"MASKING, TONIC",15/10/2010,Autre,Huile,Courte (16-25),19,2,1,Non
86108,ABIES PECTINATA WOOD OIL,,,92128-34-2,295-728-0,"Abies Pectinata Wood Oil is the volatile oil obtained from the wood of Abies pectinata, Pinaceae",,"ANTIMICROBIAL, ANTIOXIDANT",15/10/2010,Conservateur,Huile,Courte (16-25),24,2,1,Non
90702,ABIES SACHALINENSIS LEAF EXTRACT,,,,,"Abies Sachalinensis Leaf Extract is the extract of the leaves of Abies sachalinensis, Pinaceae.",,"HUMECTANT, SKIN CONDITIONING",18/04/2013,Humectant,Extrait,Moyenne (26-50),32,2,1,Non
74137,ABIETIC ACID,,,514-10-3,208-178-3,Abietic acid,,"EMULSION STABILISING, SURFACTANT",15/10/2010,Tensioactif,Acide,Très courte (≤15),12,2,1,Non
74139,ACACIA CATECHU GUM,,,8001-76-1,232-291-7,"Acacia Catechu Gum is the dried, crushed core of the Black Catechu, Acacia catechu L., Leguminosae",,"FILM FORMING, MASKING",15/10/2010,Agent filmogène,Molécule chimique,Courte (16-25),18,2,1,Non
54238,ACACIA DEALBATA FLOWER CERA,,,165800-52-2,,"Acacia Dealbata Flower Cera is the wax obtained from the Acacia dealbata (L.), Fabaceae",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Botanique,Moyenne (26-50),27,2,1,Non
92572,ACACIA DEALBATA FLOWER WAX,,,,,"Acacia Dealbata Flower Wax is the wax obtained from the flowers of Acacia dealbata,  Fabaceae",,"EMOLLIENT, SKIN CONDITIONING",06/07/2015,Émollient / Conditioning,Cire,Moyenne (26-50),26,2,1,Non
82974,ACACIA DEALBATA FLOWER/STEM EXTRACT,,,165800-52-2,,"Acacia Dealbata Flower/Stem Extract is the extract of the flowers and stems of Acacia dealbata (L.), Leguminosae",,"SKIN CONDITIONING, SKIN PROTECTING",15/10/2010,Autre,Extrait,Moyenne (26-50),35,2,2,Oui
54239,ACACIA DEALBATA LEAF EXTRACT,,,165800-52-2,,"Acacia Dealbata Leaf extract is an extract of the leaves of the wattle, Acacia dealbata (L.), Leguminosae",,"SKIN CONDITIONING, SKIN PROTECTING",15/10/2010,Autre,Extrait,Moyenne (26-50),28,2,1,Non
83990,ACACIA DECURRENS FLOWER EXTRACT,,,98903-76-5,308-877-4,"Acacia Decurrens Flower Extract is the extract of the flowers of the Acacia, Acacia decurrens, Fabaceae",,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Extrait,Moyenne (26-50),31,2,1,Non
92818,ACACIA DECURRENS FLOWER WAX,,,,,"Acacia Decurrens Flower Wax is the wax obtained from the flowers of Acacia decurrens, Leguminosae",,"EMOLLIENT, SKIN CONDITIONING",06/07/2015,Émollient / Conditioning,Cire,Moyenne (26-50),27,2,1,Non
92949,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,,,,,"Acacia Decurrens/Jojoba/Sunflower Seed Wax Polyglyceryl-3 Esters is a product obtained by the transesterification of Polyglycerin-3 with a mixture of Acacia Decurrens Flower Wax, Simmondsia Chinensis (Jojoba) Seed Wax and Helianthus Annuus (Sunflower) Seed Wax.",,"EMOLLIENT, SKIN CONDITIONING",10/08/2015,Émollient / Conditioning,Cire,Longue (51-100),64,2,3,Oui
54242,ACACIA FARNESIANA FLOWER/STEM EXTRACT,,,89958-31-6,289-655-3,"Acacia Farnesiana Flower/Stem Extract is an extract of the flowers and stems of the Cassia Flower Tree, Acacia farnesiana L., Leguminosae",,"ASTRINGENT, VISCOSITY CONTROLLING",15/10/2010,Agent de viscosité,Extrait,Moyenne (26-50),37,2,2,Oui
85886,ACACIA SALIGNA LEAF EXTRACT,,,,,"Acacia Saligna Leaf Extract is the extract of the leaves of Acacia saligna, Fabaceae",,"ASTRINGENT, SKIN CONDITIONING",15/10/2010,Autre,Extrait,Moyenne (26-50),27,2,1,Non
54244,ACACIA SENEGAL GUM,,,9000-01-5,232-519-5,"Acacia Senegal Gum is the dried, gummy exudate of the acacia, Acacia senegal, Leguminosae",,"FILM FORMING, MASKING",15/10/2010,Agent filmogène,Molécule chimique,Courte (16-25),18,2,1,Non
54246,ACANTHOPANAX SENTICOSUS ROOT EXTRACT,,,84696-12-8,283-632-1,"Acanthopanax Senticosus Root Extract is an extract of the roots of the Siberian Ginseng, Acanthopanax senticosus, Araliaceae",,"SKIN CONDITIONING, SOOTHING",15/10/2010,Autre,Extrait,Moyenne (26-50),36,2,1,Non
93049,ACANTHOSICYOS HORRIDUS SEED OIL,,,,,"Acanthosicyos Horridus Seed Oil is the fixed oil expressed from the seeds of Acanthosicyos horridus, Cucurbitaceae.",,"SKIN CONDITIONING, SKIN PROTECTING",10/08/2015,Autre,Huile,Moyenne (26-50),31,2,1,Non
84749,ACER SACCHARUM (SUGAR MAPLE) SAP EXTRACT,,,91770-22-8,294-807-7,"Acer Saccharum Sap Extract is the extract of the sap of the sugar maple, Acer saccharinum, Aceraceae",,"HUMECTANT, SKIN CONDITIONING",19/04/2013,Humectant,Extrait,Moyenne (26-50),40,2,1,Non
90371,ACER SACCHARUM (SUGAR MAPLE9) SAP,,,,,Acer Saccharum (Sugar Maple) Sap is the sap derived from Acer saccharum.,,"HUMECTANT, SKIN CONDITIONING",25/04/2014,Humectant,Molécule chimique,Moyenne (26-50),33,2,1,Non
91253,ACER SACCHARUM SAP,,,,,"Acer Saccharum (Sugar Maple) Sap is the sap derived from Acer saccharum, Aceraceae.",,"HUMECTANT, SKIN CONDITIONING",16/09/2014,Humectant,Molécule chimique,Courte (16-25),18,2,1,Non
88962,ACER TEGMENTOSUM STEM EXTRACT,,,,,"Acer Tegmentosum Stem Extract is the extract of the stems of Acer tegmentosum, Aceraceae",,"SKIN CONDITIONING, SKIN PROTECTING",04/07/2012,Autre,Extrait,Moyenne (26-50),29,2,1,Non
74144,ACETALDEHYDE,,,75-07-0,200-836-8,Acetaldehyde,,"MASKING, NAIL CONDITIONING",15/10/2010,Soin ongles,Molécule chimique,Très courte (≤15),12,2,1,Non
54251,ACETAMIDOETHYL PG-TRIMONIUM CHLORIDE,,,167614-36-0,,"1-Propanaminium, 3-[2-(Acetylamino)Ethoxy]-2-Hydroxy-N;N;N-Trimethyl-,Chloride",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),36,2,1,Non
87228,ACETAMIDOPHENYL METHOXYPROPIONIC ACID,,,1190427-41-8,,"Benzenepropanoic acid, 4-(acetylamino)-alpha-methoxy-(alphaR)-",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Acide,Moyenne (26-50),37,2,1,Non
74149,ACETAMINOSALOL,Acetaminosalol,,118-57-0,204-261-3,"4'-Hydroxyacetanilide salicylate; Benzoic acid, 2-hydroxy-, 4-(acetylamino)phenyl ester",,"ANTIMICROBIAL, UV ABSORBER",15/10/2010,Filtre UV,Molécule chimique,Très courte (≤15),14,2,1,Non
31571,ACETANILID,acetanilide,,103-84-4,203-150-7,Acetanilide,,"MASKING, STABILISING",15/10/2010,Autre,Molécule chimique,Très courte (≤15),10,2,1,Non
31572,ACETIC ACID,acetic acid,acidum aceticum,64-19-7,200-580-7,Acetic acid,,"BUFFERING, MASKING",15/10/2010,Autre,Acide,Très courte (≤15),11,2,1,Non
89153,ACETOBACTER/LACTOBACILLUS/(CITRUS JUNOS/PRUNUS MUME/PUNICA GRANATUM) FRUIT/RICE FERMENT FILTRATE,,,,,"It is a filtrate of the product obtained by the fermentation of grains of Oryza sativa and fruits of Citrus junos, Prunus mume and Punica granatum by the microorganisms, Acetobacter and Lactobacillus.",,"EMOLLIENT, SKIN CONDITIONING",04/07/2012,Émollient / Conditioning,Botanique,Longue (51-100),96,2,6,Oui
89872,ACETOBACTER/LACTOBACILLUS/FRUIT/RICE FERMENT FILTRATE,,,,,"Acetobacter/Lactobacillus/(Citrus Junos/Prunus Mume/Punica Granatum) Fruit/Rice Ferment Filtrate is a filtrate of the product obtained by the fermentation of grains of Oryza sativa (rice) and fruits of Citrus junos, Prunus mume and Punica granatum by the microorganisms, Acetobacter and Lactobacillus.",,"EMOLLIENT, SKIN CONDITIONING",16/05/2014,Émollient / Conditioning,Botanique,Longue (51-100),53,2,4,Oui
31573,ACETONE,acetone,,67-64-1,200-662-2,Acetone,,"DENATURANT, SOLVENT",15/10/2010,Solvant,Molécule chimique,Très courte (≤15),7,2,1,Non
54254,ACETYL BENZOYLOXY PRASTERONE,,,307976-92-7,,3(beta)-(Acetyloxy)-7(alpha)-(benzyloxy)-androst-5-en-17-one,,"ANTIOXIDANT, SKIN CONDITIONING",15/10/2010,Antioxydant,Molécule chimique,Moyenne (26-50),28,2,1,Non
73979,ACETYL CYSTEINE,,,616-91-1,210-498-3,Acetylcysteine,,"ANTIOXIDANT, SKIN CONDITIONING",15/10/2010,Antioxydant,Molécule chimique,Très courte (≤15),15,2,1,Non
54130,ACETYL DIPEPTIDE-1 CETYL ESTER,,,,,"Tyrosine acetate and arginine, hexadecyl ester, dipeptide",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Peptide,Moyenne (26-50),30,2,1,Non
86441,ACETYL FARNESYLCYSTEINE,,,135304-07-3,,"L-Cysteine, N-acetyl-S-[(2E,6E)-3,7,11-trimethyl-2,6,10-dodecatrienyl]-",,"REDUCING, SKIN CONDITIONING",15/10/2010,Autre,Molécule chimique,Courte (16-25),23,2,1,Non
31579,ACETYL GLYCERYL RICINOLEATE,,,235433-29-1,,"Glycerides, mixed acetyl and ricinoleoyl",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Molécule chimique,Moyenne (26-50),27,2,1,Non
82187,ACETYL HEPTAPEPTIDE-4,,,,,Acetyl Heptapeptide-4 is the reaction product of acetic acid and Heptapeptide-4,,"HUMECTANT, SKIN CONDITIONING",15/10/2010,Humectant,Peptide,Courte (16-25),21,2,1,Non
31580,ACETYL HEXAMETHYL INDAN,,,15323-35-0,239-360-0,"1,1,2,3,3,6-hexamethylindan-5-yl methyl ketone",III/134,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),23,2,1,Non
54135,ACETYL HEXAPEPTIDE-8,,,616204-22-9,,"Acetyl hexapeptide-8 is the synthetic peptide consisting of arginine, methionine, and acetylated glutamic acid residues",,"HUMECTANT, SKIN CONDITIONING",15/10/2010,Humectant,Peptide,Courte (16-25),20,2,1,Non
82188,ACETYL OCTAPEPTIDE-3,,,,,Acetyl Octapeptide-3 is the reaction product of acetic acid and Octapeptide-3,,"HUMECTANT, SKIN CONDITIONING",15/10/2010,Humectant,Peptide,Courte (16-25),20,2,1,Non
73992,ACETYL TYROSINE,,,537-55-3,208-671-3,N-acetyl-L-tyrosine,,"SKIN CONDITIONING, TANNING",15/10/2010,Colorant,Molécule chimique,Très courte (≤15),15,2,1,Non
54145,ACETYLATED C10-40 HYDROXYALKYL ACID CHOLESTEROL/LANOSTEROL ESTERS,,,,,"2-Acetoxy-C10-40-alkanoic acids, esters with (3beta)-cholest-5-en-3-ol and (3.beta.)-lanosta-8,24-dien-3-ol",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Acide,Longue (51-100),65,2,2,Oui
73993,ACETYLATED CASTOR OIL,,,84929-62-4,284-546-7,"Castor oil, acetylated",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Huile,Courte (16-25),21,2,1,Non
73994,ACETYLATED CETYL HYDROXYPROLINATE,,,221378-54-7,,"L-Proline, 1-acetyl-4-(acetyloxy)-, hexadecyl ester, (4R)-",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Molécule chimique,Moyenne (26-50),33,2,1,Non
54147,ACETYLATED HYDROGENATED CASTOR OIL,,,92113-20-7,295-625-0,"Castor Oil, hydrogenated, acetylated",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Huile,Moyenne (26-50),34,2,1,Non
73997,ACETYLATED HYDROGENATED LANOLIN,,,91053-41-7,293-306-0,"Lanolin, hydrogenated, acetylated",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Molécule chimique,Moyenne (26-50),31,2,1,Non
73998,ACETYLATED HYDROGENATED LARD GLYCERIDE,,,93572-31-7,297-461-5,"Glycerides, lard mono-, hydrogenated, acetates",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Molécule chimique,Moyenne (26-50),38,2,1,Non
74001,ACETYLATED HYDROGENATED VEGETABLE GLYCERIDE,,,174333-76-7,,"Glycerides, vegetable oil mono-, hydrogenated, acetates",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Molécule chimique,Moyenne (26-50),43,2,1,Non
31602,ACETYLATED PALM KERNEL GLYCERIDES,,,91744-63-7,294-627-9,"Glycerides, palm kernel-oil, acetylated",,"EMOLLIENT, EMULSIFYING",15/10/2010,Émulsifiant,Molécule chimique,Moyenne (26-50),33,2,1,Non
74007,ACETYLATED SUCROSE DISTEARATE,,,121684-92-2,,"Sucrose distearate, acetates",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Molécule chimique,Moyenne (26-50),29,2,1,Non
85427,ACETYLBENZOFURAN,,,1646-26-0,216-706-9,benzofuran-2-yl methyl ketone,,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Molécule chimique,Courte (16-25),16,2,1,Non
85432,ACETYLNEURAMINIC ACID,Aceneuramic acid [INN],,131-48-6,205-023-1,"(-)-5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-nonulosonic acid",,"SKIN CONDITIONING, SKIN PROTECTING",15/10/2010,Autre,Acide,Courte (16-25),21,2,1,Non
54149,ACETYLPHYTOSPHINGOSINE,,,,,"Acetylphytosphingosine is 1,3,4-Octadecanetriol, 2-amino-, acetate, (2S, 3S, 4R)",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Courte (16-25),22,2,1,Non
86924,ACETYLPHYTOSPHINGOSINE PHOSPHATE,,,,,Acetylphytosphingosine Phosphate is a complex mixture of esters of Acetylphytosphingosine and phosphoric acid,,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),32,2,1,Non
89937,ACETYLSALICYLOYL PENTAPEPTIDE-33,,,,,Acetylsalicyloyl Pentapeptide-33 is the product obtained by the reaction of Acetylsalicylic Acid and Pentapeptide-33 .,,"ANTIOXIDANT, SKIN PROTECTING",22/04/2013,Antioxydant,Peptide,Moyenne (26-50),32,2,1,Non
82268,ACHILLEA MILLEFOLIUM FLOWER EXTRACT,,,84082-83-7,282-030-6,"Achillea Millefolium Flower Extract is an extract obtained from the flowers of the Yarrow, Achillea millefolium L., Asteraceae",,"ANTIOXIDANT, HUMECTANT",15/10/2010,Humectant,Extrait,Moyenne (26-50),35,2,1,Non
88350,ACHILLEA MILLEFOLIUM FLOWER/ALTHAEA OFFICINALIS ROOT/CHAMOMILLA RECUTITA FLOWER/HYPERICUM PERFORATUM FLOWER/SALVIA OFFICINALIS LEAF/TUSSILAGO FARFARA LEAF EXTRACT,,,,,"It's the extract of the flowers of Achillea millefolium, Chamomilla recutita and Hypericum perforatum ; the roots of Althea officinalis ; and the leaves of Salvia officinalis and Tussilago farfara.",,"HUMECTANT, SKIN CONDITIONING",30/11/2011,Humectant,Extrait,Très longue (>100),162,2,6,Oui
