ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,,,,,"(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water is the aqueous solution of the steam distillates obtained from the roots of Angelica gigas, Glycyrrhiza uralensis , and Rehmannia glutinosa ; the stems of Angelica gigas ; the flowers of Carthamus tinctorius ; the seeds of Carthamus tinctorius , and Prunus persica ; and the fungus, Poria cocos.",,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",18/12/2012,Humectant,Eau / Hydrolat,Très longue (>100),171,3,7,Oui
89457,(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER,,,,,(Lepidium Meyenii/Sarcodon Aspratus) Root Water is the aqueous solution of the steam distillates obtained from the roots of Lepidium meyenii and Sarcodon aspratus,,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, SKIN PROTECTING",19/11/2012,Antioxydant,Eau / Hydrolat,Moyenne (26-50),47,4,2,Oui
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,,,,,"(Magnolia Officinalis/Phellodendron Amurense) Bark/Camellia Japonica Leaf/Zingiber Officinale Root/Citrus Paradisi Seed Water is the aqueous solution obtained from the steam distillates of the bark of Magnolia officinalis and Phellodendron amurense , the roots of Zingiber officinale and the seeds of Citrus paradisi",,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",07/02/2013,Conservateur,Eau / Hydrolat,Très longue (>100),125,4,5,Oui
31466,"1,2,6-HEXANETRIOL",,,106-69-4,203-424-6,"Hexane-1,2,6-triol",,"HUMECTANT, SOLVENT, VISCOSITY CONTROLLING",24/01/2011,Humectant,Molécule chimique,Courte (16-25),17,3,1,Non
54169,"1,2-BUTANEDIOL",,,584-03-2,209-527-2,,,"HUMECTANT, SKIN CONDITIONING, SOLVENT, VISCOSITY CONTROLLING",15/10/2010,Humectant,Molécule chimique,Très courte (≤15),14,4,1,Non
54172,"1,4-BUTANDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",,,,,"1,4 Butandiol/Succinic Acid/Adipic Acid/HDI Copolymer is a copolymer of Hexanedioic acid, polymer with butanedioic acid, 1,4-butanediol, and 1,6-diisocyanatohexane",,"ABRASIVE, BINDING, FILM FORMING",15/10/2010,Agent filmogène,Polymère,Longue (51-100),53,3,4,Oui
92811,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",,,119553-67-2,,"Hexanedioic acid, polymer with butanedioic acid, 1,4-butanediol and 1,6-diisocyanatohexane",,"ABRASIVE, BINDING, FILM FORMING",06/07/2015,Agent filmogène,Polymère,Longue (51-100),54,3,4,Oui
54180,"2,3-BUTANEDIOL",,,513-85-9,208-173-6,"2,3-Butylene Glycol",,"HUMECTANT, MASKING, SKIN CONDITIONING, SOLVENT",15/10/2010,Humectant,Molécule chimique,Très courte (≤15),14,4,1,Non
74061,"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",,,68039-49-6,268-264-1,"2,4-dimethylcyclohex-3-ene-1-carbaldehyde",,"MASKING, PERFUMING, TONIC",15/10/2010,Fragrance / Parfum,Molécule chimique,Moyenne (26-50),41,3,1,Non
54190,2-ACETYLHYDROQUINONE,,,490-78-8,207-716-4,"Ethanone, 1-(2,5-Dihydroxyphenyl)-",,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING",15/10/2010,Antioxydant,Molécule chimique,Courte (16-25),20,3,1,Non
74084,2-METHYL-4-HYDROXYPYRROLIDINE,,,94134-94-8,310-142-8,"4-pyrrolidinol, 2-methyl-",,"ORAL CARE, SKIN CONDITIONING, SOOTHING",15/10/2010,Soin oral,Molécule chimique,Moyenne (26-50),29,3,1,Non
90243,"2-OLEAMIDO-1,3,4-OCTADECATRIYL PROLINATE",,,1319128-52-3,,"2-Oleamido-1,3,4-Octadecatriyl Prolinate is the organic compound",,"ANTIDANDRUFF, ANTISEBORRHOEIC, HAIR CONDITIONING, SKIN CONDITIONING",06/01/2014,Soin capillaire,Molécule chimique,Moyenne (26-50),40,4,1,Non
85416,"3,4-METHYLENEDIOXYBENZYL METHYLSULFONE",,,,,,,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING",15/10/2010,Antioxydant,Molécule chimique,Moyenne (26-50),38,3,1,Non
31516,3-HEXENOL,,,928-96-1,213-192-8,cis-Hex-3-en-1-ol; 3-hexenol,,"MASKING, PERFUMING, SKIN CONDITIONING",24/01/2011,Fragrance / Parfum,Molécule chimique,Très courte (≤15),9,3,1,Non
93160,3-LAURYL/TRIDECYLGLYCERYL ASCORBATE,,,,,3-Lauryl/Tridecylglyceryl Ascorbate is the product obtained by the reaction of Ascorbic Acid with a mixture of the ethers formed between lauryl alcohol and glycerin and tridecyl alcohol and glycerin.,,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING",10/08/2015,Humectant,Molécule chimique,Moyenne (26-50),35,3,2,Oui
