parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
92198,ABIES CONCOLOR BRANCH/LEAF/WOOD OIL,MASKING,Autre,,3,3,WOOD OIL,Huile,Très courte (≤15),8,Autre
84093,ADESMIA BORONIOIDES FLOWER/LEAF/STEM OIL,"FLAVOURING, MASKING, PERFUMING",Fragrance / Parfum,,3,3,STEM OIL,Huile,Très courte (≤15),8,Fragrance / Parfum
84061,AGONIS FRAGRANS BRANCH/LEAF OIL,MASKING,Autre,,2,2,LEAF OIL,Huile,Très courte (≤15),8,Autre
91945,ALMOND OIL/POLYGLYCERYL-10 ESTERS,"EMULSIFYING, SURFACTANT",Tensioactif,,1,2,ALMOND OIL,Huile,Très courte (≤15),10,Tensioactif
88835,ARGANIA SPINOSA KERNEL OIL/HYDROGENATED ARGANIA SPINOSA KERNEL OIL ESTERS,"EMOLLIENT, HUMECTANT, SKIN CONDITIONING",Humectant,,1,2,ARGANIA SPINOSA KERNEL OIL,Huile,Moyenne (26-50),26,Humectant
88835,ARGANIA SPINOSA KERNEL OIL/HYDROGENATED ARGANIA SPINOSA KERNEL OIL ESTERS,"EMOLLIENT, HUMECTANT, SKIN CONDITIONING",Humectant,,2,2,HYDROGENATED ARGANIA SPINOSA KERNEL OIL ESTERS,Huile,Moyenne (26-50),46,Humectant
82194,ARTEMISIA PALLENS FLOWER/LEAF/STEM OIL,MASKING,Autre,91844-86-9,3,3,STEM OIL,Huile,Très courte (≤15),8,Autre
82195,ARTEMISIA TRIDENTATA LEAF/STEM OIL,SKIN CONDITIONING,Autre,,2,2,STEM OIL,Huile,Très courte (≤15),8,Autre
90521,BACILLUS/PENTACLETHRA MACROLOBA SEED OIL FERMENT EXTRACT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,2,2,PENTACLETHRA MACROLOBA SEED OIL FERMENT EXTRACT FILTRATE,Huile,Longue (51-100),56,Émollient
83499,BIS-ISOSTEAROYL CASTOR OIL/DIMER DILINOLEATE COPOLYMER,"SKIN CONDITIONING, SKIN PROTECTING",Autre,,1,2,BIS-ISOSTEAROYL CASTOR OIL,Huile,Moyenne (26-50),26,Autre
90311,BLACK CURRANT SEED OIL/OLIVE OIL/AMINOPROPANEDIOL ESTERS,SKIN CONDITIONING,Autre,,1,3,BLACK CURRANT SEED OIL,Huile,Courte (16-25),22,Autre
90311,BLACK CURRANT SEED OIL/OLIVE OIL/AMINOPROPANEDIOL ESTERS,SKIN CONDITIONING,Autre,,2,3,OLIVE OIL,Huile,Très courte (≤15),9,Autre
87261,BORAGE SEED OIL/HYDROGENATED BORAGE SEED OIL ESTERS,"EMOLLIENT, SKIN PROTECTING",Émollient / Conditioning,,1,2,BORAGE SEED OIL,Huile,Très courte (≤15),15,Émollient
87261,BORAGE SEED OIL/HYDROGENATED BORAGE SEED OIL ESTERS,"EMOLLIENT, SKIN PROTECTING",Émollient / Conditioning,,2,2,HYDROGENATED BORAGE SEED OIL ESTERS,Huile,Moyenne (26-50),35,Émollient
55200,CALOCEDRUS DECURRENS LEAF/STEM OIL,MASKING,Autre,,2,2,STEM OIL,Huile,Très courte (≤15),8,Autre
88648,CAMELINA SATIVA SEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,SKIN CONDITIONING,Autre,,1,2,CAMELINA SATIVA SEED OIL,Huile,Courte (16-25),24,Autre
88648,CAMELINA SATIVA SEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,SKIN CONDITIONING,Autre,,2,2,PALM OIL AMINOPROPANEDIOL ESTERS,Huile,Moyenne (26-50),32,Autre
86477,CAMELLIA OLEIFERA SEED OIL /HYDROGENATED CAMELLIA OLEIFERA SEED OIL ESTERS,"EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING, VISCOSITY CONTROLLING",Émollient / Conditioning,,1,2,CAMELLIA OLEIFERA SEED OIL,Huile,Moyenne (26-50),26,Émollient
86477,CAMELLIA OLEIFERA SEED OIL /HYDROGENATED CAMELLIA OLEIFERA SEED OIL ESTERS,"EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING, VISCOSITY CONTROLLING",Émollient / Conditioning,,2,2,HYDROGENATED CAMELLIA OLEIFERA SEED OIL ESTERS,Huile,Moyenne (26-50),46,Émollient
88761,CAMELLIA SEED OIL/HYDROGENATED CAMELLIA SEED OIL ESTERS,,Autre,,1,2,CAMELLIA SEED OIL,Huile,Courte (16-25),17,Autre
88761,CAMELLIA SEED OIL/HYDROGENATED CAMELLIA SEED OIL ESTERS,,Autre,,2,2,HYDROGENATED CAMELLIA SEED OIL ESTERS,Huile,Moyenne (26-50),37,Autre
85564,CAMELLIA SINENSIS SEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,SKIN CONDITIONING,Autre,,1,2,CAMELLIA SINENSIS SEED OIL,Huile,Moyenne (26-50),26,Autre
85564,CAMELLIA SINENSIS SEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,SKIN CONDITIONING,Autre,,2,2,PALM OIL AMINOPROPANEDIOL ESTERS,Huile,Moyenne (26-50),32,Autre
85970,CANDIDA BOMBICOLA/GLUCOSE/RAPESEED OIL FERMENT EXTRACT,SKIN CONDITIONING,Autre,,3,3,RAPESEED OIL FERMENT EXTRACT,Huile,Moyenne (26-50),28,Autre
