parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
31397,ALANINE/HISTIDINE/LYSINE POLYPEPTIDE COPPER HCL,SKIN CONDITIONING,Autre,,3,3,LYSINE POLYPEPTIDE COPPER HCL,Peptide,Moyenne (26-50),29,Autre
91119,AMMONIUM OLEOYL/PALMITOYL GLYCEROPHOSPHOETHYLAMIDO GLUTAROYL OLIGOPEPTIDE-114,ABSORBENT,Autre,,2,2,PALMITOYL GLYCEROPHOSPHOETHYLAMIDO GLUTAROYL OLIGOPEPTIDE-114,Peptide,Longue (51-100),61,Autre
31988,ARGININE/LYSINE POLYPEPTIDE,SKIN CONDITIONING,Autre,31014-78-5,2,2,LYSINE POLYPEPTIDE,Peptide,Courte (16-25),18,Autre
83221,ASCORBIC ACID/ORANGE/CITRUS LIMON/CITRUS AURANTIFOLIA POLYPEPTIDES,SKIN CONDITIONING,Autre,,4,4,CITRUS AURANTIFOLIA POLYPEPTIDES,Peptide,Moyenne (26-50),32,Autre
54771,BIOTIN/FOLIC ACID/CYANOCOBALAMIN/NIACINAMIDE/PANTOTHENIC ACID/PYRIDOXINE/RIBOFLAVIN/THIAMINE/YEAST POLYPEPTIDES,SKIN CONDITIONING,Autre,,9,9,YEAST POLYPEPTIDES,Peptide,Courte (16-25),18,Autre
83220,CYANOCOBALAMIN/YEAST POLYPEPTIDE,SKIN CONDITIONING,Autre,,2,2,YEAST POLYPEPTIDE,Peptide,Courte (16-25),17,Autre
35447,MYRISTOYL GLYCINE/HISTIDINE/LYSINE POLYPEPTIDE,SKIN CONDITIONING,Autre,,3,3,LYSINE POLYPEPTIDE,Peptide,Courte (16-25),18,Autre
83218,NIACINAMIDE/YEAST POLYPEPTIDE,SKIN CONDITIONING,Autre,,2,2,YEAST POLYPEPTIDE,Peptide,Courte (16-25),17,Autre
83219,PANTOTHENIC ACID/YEAST POLYPEPTIDE,SKIN CONDITIONING,Autre,,2,2,YEAST POLYPEPTIDE,Peptide,Courte (16-25),17,Autre
89748,PICHIA/ R-LEUCOSPORIDIUM POLYPEPTIDE-X CONDITIONED MEDIA,"ANTIDANDRUFF, ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING",Conservateur,,2,2,R-LEUCOSPORIDIUM POLYPEPTIDE-X CONDITIONED MEDIA,Peptide,Moyenne (26-50),48,Conservateur
90431,PICHIA/R-LEUCOSPORIDIUM POLYPEPTIDE-1 CONDITIONED MEDIA,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, HAIR CONDITIONING, SKIN PROTECTING",Conservateur,,2,2,R-LEUCOSPORIDIUM POLYPEPTIDE-1 CONDITIONED MEDIA,Peptide,Moyenne (26-50),48,Conservateur
83126,RETINOL/SACCHAROMYCES POLYPEPTIDE,SKIN CONDITIONING,Autre,,2,2,SACCHAROMYCES POLYPEPTIDE,Peptide,Courte (16-25),25,Autre
83216,RETINYL PALMITATE/CARROT POLYPEPTIDE,SKIN CONDITIONING,Autre,,2,2,CARROT POLYPEPTIDE,Peptide,Courte (16-25),18,Autre
87393,SACCHAROMYCES/HEXAPEPTIDE-11 FERMENT FILTRATE EXTRACT,SKIN CONDITIONING,Autre,,2,2,HEXAPEPTIDE-11 FERMENT FILTRATE EXTRACT,Peptide,Moyenne (26-50),39,Autre
83561,STREPTOCOCCUS ZOOEPIDEMICUS/WHEAT PEPTIDE FERMENT,SKIN CONDITIONING,Autre,,2,2,WHEAT PEPTIDE FERMENT,Peptide,Courte (16-25),21,Autre
83217,THIAMINE/YEAST POLYPEPTIDE,SKIN CONDITIONING,Autre,,2,2,YEAST POLYPEPTIDE,Peptide,Courte (16-25),17,Autre
59773,TOCOPHEROL/WHEAT POLYPEPTIDES,SKIN CONDITIONING,Autre,,2,2,WHEAT POLYPEPTIDES,Peptide,Courte (16-25),18,Autre
