parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,4,8,SCUTELLARIA BAICALENSIS) ROOT,Botanique,Moyenne (26-50),29,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,7,8,GARDENIA JASMINOIDES FRUIT,Botanique,Moyenne (26-50),26,Autre
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",Humectant,,3,7,REHMANNIA GLUTINOSA ROOT,Botanique,Courte (16-25),24,Humectant
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",Humectant,,5,7,CARTHAMUS TINCTORIUS FLOWER,Botanique,Moyenne (26-50),27,Humectant
89269,(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,,Autre,,3,6,SYZYGIUM AROMATICUM) FLOWER,Botanique,Moyenne (26-50),27,Autre
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",Conservateur,,2,5,PHELLODENDRON AMURENSE) BARK,Botanique,Moyenne (26-50),28,Conservateur
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",Conservateur,,3,5,CAMELLIA JAPONICA LEAF,Botanique,Courte (16-25),22,Conservateur
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",Conservateur,,4,5,ZINGIBER OFFICINALE ROOT,Botanique,Courte (16-25),24,Conservateur
92198,ABIES CONCOLOR BRANCH/LEAF/WOOD OIL,MASKING,Autre,,2,3,LEAF,Botanique,Très courte (≤15),4,Autre
83312,ACACIA CATECHU LEAF/WOOD POWDER,SKIN CONDITIONING,Autre,8001-76-1,1,2,ACACIA CATECHU LEAF,Botanique,Courte (16-25),19,Autre
82974,ACACIA DEALBATA FLOWER/STEM EXTRACT,"SKIN CONDITIONING, SKIN PROTECTING",Autre,165800-52-2,1,2,ACACIA DEALBATA FLOWER,Botanique,Courte (16-25),22,Autre
86886,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS,EMOLLIENT,Émollient / Conditioning,,3,4,SUNFLOWER SEED CERA,Botanique,Courte (16-25),19,Émollient
