parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
54172,"1,4-BUTANDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,,2,4,SUCCINIC ACID,Acide,Très courte (≤15),13,Filmogène
54172,"1,4-BUTANDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,,3,4,ADIPIC ACID,Acide,Très courte (≤15),11,Filmogène
92811,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,119553-67-2,2,4,SUCCINIC ACID,Acide,Très courte (≤15),13,Filmogène
92811,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,119553-67-2,3,4,ADIPIC ACID,Acide,Très courte (≤15),11,Filmogène
91507,ACETOBACTER/BACILLUS/LACTOBACILLUS/SACCHAROMYCES/STREPTOCOCCUS/FRUIT/LEAF/IMPERATA CYLINDRICA ROOT/SEED/BROCCOLI/ERIOCEPHALUS PUNCTULATUS/MISTLETOE/ACRYLATES C10-30 ALKYL ACRYLATES CROSSPOLYMER/ALPHA-GLUCAN/BETAINE/BUTYLENE GLYCOL/EPIGALLOCATECHIN GALLATYL GLUCOSIDE/GLYCERETH-26/GLYCERIN/GLUCOSYL CERAMIDE/GLUCOSYL HESPERIDIN/HYDROLYZED HYALURONIC ACID/MALTODEXTRIN/PANTHENOL/SCLEROTIUM GUM/TROMETHAMINE/XANTHAN GUM FERMENT FILTRATE,SKIN CONDITIONING,Autre,,22,27,HYDROLYZED HYALURONIC ACID,Acide,Moyenne (26-50),26,Autre
54145,ACETYLATED C10-40 HYDROXYALKYL ACID CHOLESTEROL/LANOSTEROL ESTERS,"HAIR CONDITIONING, SKIN CONDITIONING",Soin capillaire,,1,2,ACETYLATED C10-40 HYDROXYALKYL ACID CHOLESTEROL,Acide,Moyenne (26-50),47,Soin capillaire
54392,ACRYLIC ACID/ACRYLAMIDOMETHYL PROPANE SULFONIC ACID COPOLYMER,"CHELATING, VISCOSITY CONTROLLING",Agent de viscosité,40623-75-4,1,2,ACRYLIC ACID,Acide,Très courte (≤15),12,Agent de viscosité
74271,ACRYLIC ACID/ACRYLONITROGENS COPOLYMER,"BINDING, FILM FORMING, SKIN CONDITIONING, VISCOSITY CONTROLLING",Agent filmogène,61788-40-7,1,2,ACRYLIC ACID,Acide,Très courte (≤15),12,Filmogène
83108,ACRYLIC ACID/C12-22 ALKYL ACRYLATE COPOLYMER,"BINDING, STABILISING, VISCOSITY CONTROLLING",Agent de viscosité,,1,2,ACRYLIC ACID,Acide,Très courte (≤15),12,Agent de viscosité
85400,ACRYLIC ACID/HYDROXYETHYLACRYLAMIDE COPOLYMER,"ANTISTATIC, FILM FORMING, HAIR CONDITIONING, HAIR FIXING",Agent filmogène,,1,2,ACRYLIC ACID,Acide,Très courte (≤15),12,Filmogène
