parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
54267,ACRYLATES/BEHENYL ACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,SKIN CONDITIONING,Autre,,3,3,DIMETHICONE METHACRYLATE COPOLYMER,Silicone,Moyenne (26-50),34,Autre
54268,ACRYLATES/BEHENYL METHACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,"ANTICAKING, FILM FORMING, SKIN CONDITIONING",Agent filmogène,,3,3,DIMETHICONE METHACRYLATE COPOLYMER,Silicone,Moyenne (26-50),34,Filmogène
54269,ACRYLATES/BIS-HYDROXYPROPYL DIMETHICONE CROSSPOLYMER,"HAIR FIXING, SKIN CONDITIONING",Soin capillaire,,2,2,BIS-HYDROXYPROPYL DIMETHICONE CROSSPOLYMER,Silicone,Moyenne (26-50),42,Soin capillaire
74167,ACRYLATES/DIMETHICONE COPOLYMER,"ANTICAKING, BINDING, FILM FORMING, SKIN CONDITIONING",Agent filmogène,,2,2,DIMETHICONE COPOLYMER,Silicone,Courte (16-25),21,Filmogène
54272,ACRYLATES/DIMETHICONE METHACRYLATE COPOLYMER,"ANTICAKING, BINDING, EMOLLIENT, FILM FORMING, SKIN CONDITIONING, SKIN PROTECTING",Émollient / Conditioning,,2,2,DIMETHICONE METHACRYLATE COPOLYMER,Silicone,Moyenne (26-50),34,Émollient
54273,ACRYLATES/DIMETHICONE METHACRYLATE/ETHYLHEXYL ACRYLATE COPOLYMER,SKIN CONDITIONING,Autre,,2,3,DIMETHICONE METHACRYLATE,Silicone,Courte (16-25),24,Autre
54366,ACRYLATES/ETHYLHEXYL ACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,"HAIR CONDITIONING, SKIN CONDITIONING",Soin capillaire,,3,3,DIMETHICONE METHACRYLATE COPOLYMER,Silicone,Moyenne (26-50),34,Soin capillaire
54376,ACRYLATES/OCTYLACRYLAMIDE/DIPHENYL AMODIMETHICONE COPOLYMER,"HAIR CONDITIONING, HAIR FIXING",Soin capillaire,,3,3,DIPHENYL AMODIMETHICONE COPOLYMER,Silicone,Moyenne (26-50),33,Soin capillaire
54382,ACRYLATES/STEARYL ACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,FILM FORMING,Agent filmogène,,3,3,DIMETHICONE METHACRYLATE COPOLYMER,Silicone,Moyenne (26-50),34,Filmogène
54387,ACRYLATES/TRIDECYL ACRYLATE/TRIETHOXYSILYLPROPYL METHACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,SKIN CONDITIONING,Autre,,4,4,DIMETHICONE METHACRYLATE COPOLYMER,Silicone,Moyenne (26-50),34,Autre
54394,ACRYLIC ACID/STEARYL METHACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,EMULSION STABILISING,Émulsifiant,,3,3,DIMETHICONE METHACRYLATE COPOLYMER,Silicone,Moyenne (26-50),34,Émulsifiant
90195,AMODIMETHICONE/MORPHOLINOMETHYL SILSESQUIOXANE COPOLYMER,HAIR CONDITIONING,Soin capillaire,1293390-78-9,1,2,AMODIMETHICONE,Silicone,Très courte (≤15),14,Soin capillaire
54608,AMODIMETHICONE/SILSESQUIOXANE COPOLYMER,"FILM FORMING, HAIR CONDITIONING, HAIR FIXING",Agent filmogène,67923-07-3,1,2,AMODIMETHICONE,Silicone,Très courte (≤15),14,Filmogène
87254,BEHENYL DIMETHICONE/BIS-VINYLDIMETHICONE CROSSPOLYMER,EMOLLIENT,Émollient / Conditioning,,1,2,BEHENYL DIMETHICONE,Silicone,Courte (16-25),19,Émollient
87254,BEHENYL DIMETHICONE/BIS-VINYLDIMETHICONE CROSSPOLYMER,EMOLLIENT,Émollient / Conditioning,,2,2,BIS-VINYLDIMETHICONE CROSSPOLYMER,Silicone,Moyenne (26-50),33,Émollient
89207,BIS-(GLYCERYL/LAURYL) GLYCERYL LAURYL DIMETHICONE,"EMULSION STABILISING, SURFACTANT",Tensioactif,1202686-00-7,2,2,LAURYL) GLYCERYL LAURYL DIMETHICONE,Silicone,Moyenne (26-50),35,Tensioactif
83767,BIS-AMINOPROPYL DIMETHICONE/IPDI COPOLYMER,"FILM FORMING, HAIR FIXING, NAIL CONDITIONING",Agent filmogène,,1,2,BIS-AMINOPROPYL DIMETHICONE,Silicone,Moyenne (26-50),27,Filmogène
54679,BIS-AMINOPROPYL/ETHOXY AMINOPROPYL DIMETHICONE,HAIR CONDITIONING,Soin capillaire,,2,2,ETHOXY AMINOPROPYL DIMETHICONE,Silicone,Moyenne (26-50),30,Soin capillaire
54683,BIS-BUTYLOXYAMODIMETHICONE/PEG-60 COPOLYMER,"HAIR CONDITIONING, HAIR FIXING",Soin capillaire,,1,2,BIS-BUTYLOXYAMODIMETHICONE,Silicone,Moyenne (26-50),26,Soin capillaire
86421,BIS-CETYL/PEG-8 CETYL PEG-8 DIMETHICONE,EMULSION STABILISING,Émulsifiant,,2,2,PEG-8 CETYL PEG-8 DIMETHICONE,Silicone,Moyenne (26-50),29,Émulsifiant
89974,BIS-DIISOPROPANOLAMINO-PG-PROPYL DIMETHICONE/BIS-ISOBUTYL PEG-14 COPOLYMER,HAIR CONDITIONING,Soin capillaire,,1,2,BIS-DIISOPROPANOLAMINO-PG-PROPYL DIMETHICONE,Silicone,Moyenne (26-50),44,Soin capillaire
85389,BIS-HYDROXY/METHOXY AMODIMETHICONE,HAIR CONDITIONING,Soin capillaire,831241-93-1,2,2,METHOXY AMODIMETHICONE,Silicone,Courte (16-25),22,Soin capillaire
54693,BIS-HYDROXYETHOXYPROPYL DIMETHICONE/IPDI COPOLYMER ETHYLCARBAMATE,FILM FORMING,Agent filmogène,628723-36-4,1,2,BIS-HYDROXYETHOXYPROPYL DIMETHICONE,Silicone,Moyenne (26-50),35,Filmogène
54694,BIS-HYDROXYETHOXYPROPYL DIMETHICONE/IPDI/SORBITAN STEARATE COPOLYMER,FILM FORMING,Agent filmogène,668988-06-5,1,3,BIS-HYDROXYETHOXYPROPYL DIMETHICONE,Silicone,Moyenne (26-50),35,Filmogène
87258,BIS-HYDROXYETHOXYPROPYL DIMETHICONE/PEG-2 SOYAMINE/IPDI COPOLYMER,"EMOLLIENT, FILM FORMING, HAIR CONDITIONING",Émollient / Conditioning,,1,3,BIS-HYDROXYETHOXYPROPYL DIMETHICONE,Silicone,Moyenne (26-50),35,Émollient
54698,BIS-HYDROXYLAURYL DIMETHICONE/IPDI COPOLYMER,"BINDING, FILM FORMING, HUMECTANT, SKIN CONDITIONING, VISCOSITY CONTROLLING",Humectant,,1,2,BIS-HYDROXYLAURYL DIMETHICONE,Silicone,Moyenne (26-50),29,Humectant
84108,BIS-HYDROXYPROPYL DIMETHICONE/SMDI COPOLYMER,"EMOLLIENT, FILM FORMING",Émollient / Conditioning,,1,2,BIS-HYDROXYPROPYL DIMETHICONE,Silicone,Moyenne (26-50),29,Émollient
90051,BIS-ISOBUTYL PEG-13/DIMETHICONE COPOLYMER,NOT REPORTED,Autre,197980-52-2,2,2,DIMETHICONE COPOLYMER,Silicone,Courte (16-25),21,Autre
54699,BIS-ISOBUTYL PEG-14/AMODIMETHICONE COPOLYMER,"HAIR CONDITIONING, HAIR FIXING",Soin capillaire,,2,2,AMODIMETHICONE COPOLYMER,Silicone,Courte (16-25),24,Soin capillaire
74953,BIS-ISOBUTYL PEG-15/AMODIMETHICONE COPOLYMER,"HAIR CONDITIONING, HAIR WAVING OR STRAIGHTENING",Soin capillaire,,2,2,AMODIMETHICONE COPOLYMER,Silicone,Courte (16-25),24,Soin capillaire
83233,BIS-ISOBUTYL PEG-24/PPG-7/DIMETHICONE COPOLYMER,"FILM FORMING, HUMECTANT",Humectant,158451-77-5(generic),3,3,DIMETHICONE COPOLYMER,Silicone,Courte (16-25),21,Humectant
83232,BIS-ISOBUTYL PEG/PPG-10/7/DIMETHICONE COPOLYMER,"EMULSIFYING, SURFACTANT",Tensioactif,158451-77-5(generic),4,4,DIMETHICONE COPOLYMER,Silicone,Courte (16-25),21,Tensioactif
84177,BIS-ISOBUTYL PEG/PPG-20/35/AMODIMETHICONE COPOLYMER,HAIR CONDITIONING,Soin capillaire,,4,4,AMODIMETHICONE COPOLYMER,Silicone,Courte (16-25),24,Soin capillaire
86723,BIS-METHOXY PEG-10 DIMETHYL MEA/HDI/BIS-PEG-10 DIMETHICONE COPOLYMER,HAIR CONDITIONING,Soin capillaire,,3,3,BIS-PEG-10 DIMETHICONE COPOLYMER,Silicone,Moyenne (26-50),32,Soin capillaire
90593,BIS-PEG-1 DIMETHICONE/PPG-26/IPDI COPOLYMER,"EMOLLIENT, FILM FORMING, SKIN CONDITIONING",Émollient / Conditioning,,1,3,BIS-PEG-1 DIMETHICONE,Silicone,Courte (16-25),21,Émollient
83004,BIS-PEG-10 DIMETHICONE/DIMER DILINOLEATE COPOLYMER,HAIR CONDITIONING,Soin capillaire,,1,2,BIS-PEG-10 DIMETHICONE,Silicone,Courte (16-25),22,Soin capillaire
54711,BIS-PEG-15 DIMETHICONE/IPDI COPOLYMER,FILM FORMING,Agent filmogène,190793-18-1,1,2,BIS-PEG-15 DIMETHICONE,Silicone,Courte (16-25),22,Filmogène
54704,BIS-PEG/PPG-14/14 DIMETHICONE,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT",Tensioactif,,3,3,14 DIMETHICONE,Silicone,Très courte (≤15),14,Tensioactif
86479,BIS-PEG/PPG-15/5 DIMETHICONE,"EMULSION STABILISING, HUMECTANT",Émulsifiant,,3,3,5 DIMETHICONE,Silicone,Très courte (≤15),13,Émulsifiant
54705,BIS-PEG/PPG-16/16 PEG/PPG-16/16 DIMETHICONE,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT",Tensioactif,,5,5,16 DIMETHICONE,Silicone,Très courte (≤15),14,Tensioactif
83262,BIS-PEG/PPG-18/6 DIMETHICONE,"EMOLLIENT, EMULSIFYING",Émulsifiant,,3,3,6 DIMETHICONE,Silicone,Très courte (≤15),13,Émulsifiant
54706,BIS-PEG/PPG-20/20 DIMETHICONE,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT",Tensioactif,,3,3,20 DIMETHICONE,Silicone,Très courte (≤15),14,Tensioactif
86722,BIS-PEG/PPG-20/5 PEG/PPG-20/5 DIMETHICONE,"EMULSIFYING, EMULSION STABILISING",Émulsifiant,,5,5,5 DIMETHICONE,Silicone,Très courte (≤15),13,Émulsifiant
87260,BIS-PHENYLISOPROPYL PHENYLISOPROPYL DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,HUMECTANT,Humectant,,1,2,BIS-PHENYLISOPROPYL PHENYLISOPROPYL DIMETHICONE,Silicone,Moyenne (26-50),47,Humectant
87260,BIS-PHENYLISOPROPYL PHENYLISOPROPYL DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,HUMECTANT,Humectant,,2,2,VINYL DIMETHICONE CROSSPOLYMER,Silicone,Moyenne (26-50),30,Humectant
54719,BIS-PPG-15 DIMETHICONE/IPDI COPOLYMER,FILM FORMING,Agent filmogène,,1,2,BIS-PPG-15 DIMETHICONE,Silicone,Courte (16-25),22,Filmogène
83013,BIS-VINYL DIMETHICONE/DIMETHICONE COPOLYMER,"EMULSION STABILISING, FILM FORMING, SKIN CONDITIONING, VISCOSITY CONTROLLING",Émulsifiant,,1,2,BIS-VINYL DIMETHICONE,Silicone,Courte (16-25),21,Émulsifiant
83013,BIS-VINYL DIMETHICONE/DIMETHICONE COPOLYMER,"EMULSION STABILISING, FILM FORMING, SKIN CONDITIONING, VISCOSITY CONTROLLING",Émulsifiant,,2,2,DIMETHICONE COPOLYMER,Silicone,Courte (16-25),21,Émulsifiant
86297,BIS-VINYLDIMETHICONE/BIS-ISOBUTYL PPG-20 CROSSPOLYMER,"EMOLLIENT, VISCOSITY CONTROLLING",Émollient / Conditioning,,1,2,BIS-VINYLDIMETHICONE,Silicone,Courte (16-25),20,Émollient
86957,BIS-VINYLDIMETHICONE/PEG-10 DIMETHICONE CROSSPOLYMER,"EMULSION STABILISING, FILM FORMING, SKIN CONDITIONING, VISCOSITY CONTROLLING",Émulsifiant,,1,2,BIS-VINYLDIMETHICONE,Silicone,Courte (16-25),20,Émulsifiant
86957,BIS-VINYLDIMETHICONE/PEG-10 DIMETHICONE CROSSPOLYMER,"EMULSION STABILISING, FILM FORMING, SKIN CONDITIONING, VISCOSITY CONTROLLING",Émulsifiant,,2,2,PEG-10 DIMETHICONE CROSSPOLYMER,Silicone,Moyenne (26-50),31,Émulsifiant
86299,BIS-VINYLDIMETHICONE/PPG-20 CROSSPOLYMER,"EMOLLIENT, VISCOSITY CONTROLLING",Émollient / Conditioning,,1,2,BIS-VINYLDIMETHICONE,Silicone,Courte (16-25),20,Émollient
85028,BISAMINO PEG/PPG-41/3 AMINOETHYL PG-PROPYL DIMETHICONE,HAIR CONDITIONING,Soin capillaire,,3,3,3 AMINOETHYL PG-PROPYL DIMETHICONE,Silicone,Moyenne (26-50),34,Soin capillaire
54992,BUTYL ACRYLATE/C6-14 PERFLUOROALKYLETHYL ACRYLATE/MERCAPTOPROPYL DIMETHICONE COPOLYMER,"FILM FORMING, OPACIFYING",Agent filmogène,,3,3,MERCAPTOPROPYL DIMETHICONE COPOLYMER,Silicone,Moyenne (26-50),36,Filmogène
