parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
92627,ACRYLATES/METHOXY PEG-10 MALEATE/STYRENE COPOLYMER,OPACIFYING,Autre,68988-26-1,2,3,METHOXY PEG-10 MALEATE,PEG/PPG,Courte (16-25),22,Autre
54375,ACRYLATES/METHOXY PEG-23 METHACRYLATE/PERFLUOROOCTYL ETHYL ACRYLATE COPOLYMER,FILM FORMING,Agent filmogène,,2,3,METHOXY PEG-23 METHACRYLATE,PEG/PPG,Moyenne (26-50),27,Filmogène
54379,ACRYLATES/PEG-10 MALEATE/STYRENE COPOLYMER,OPACIFYING,Autre,,2,3,PEG-10 MALEATE,PEG/PPG,Très courte (≤15),14,Autre
91115,ACRYLOYL DIMETHYL TAURATE/MELAMINE/PEG-6 METHACRYLATE/PHLOROGLUCINOL CROSSPOLYMER,BINDING,Autre,,3,4,PEG-6 METHACRYLATE,PEG/PPG,Courte (16-25),18,Autre
89713,BIS-ARACHIDYL PEG-400/SMDI COPOLYMER,VISCOSITY CONTROLLING,Agent de viscosité,,1,2,BIS-ARACHIDYL PEG-400,PEG/PPG,Courte (16-25),21,Agent de viscosité
87258,BIS-HYDROXYETHOXYPROPYL DIMETHICONE/PEG-2 SOYAMINE/IPDI COPOLYMER,"EMOLLIENT, FILM FORMING, HAIR CONDITIONING",Émollient / Conditioning,,2,3,PEG-2 SOYAMINE,PEG/PPG,Très courte (≤15),14,Émollient
90051,BIS-ISOBUTYL PEG-13/DIMETHICONE COPOLYMER,NOT REPORTED,Autre,197980-52-2,1,2,BIS-ISOBUTYL PEG-13,PEG/PPG,Courte (16-25),19,Autre
54699,BIS-ISOBUTYL PEG-14/AMODIMETHICONE COPOLYMER,"HAIR CONDITIONING, HAIR FIXING",Soin capillaire,,1,2,BIS-ISOBUTYL PEG-14,PEG/PPG,Courte (16-25),19,Soin capillaire
74953,BIS-ISOBUTYL PEG-15/AMODIMETHICONE COPOLYMER,"HAIR CONDITIONING, HAIR WAVING OR STRAIGHTENING",Soin capillaire,,1,2,BIS-ISOBUTYL PEG-15,PEG/PPG,Courte (16-25),19,Soin capillaire
83233,BIS-ISOBUTYL PEG-24/PPG-7/DIMETHICONE COPOLYMER,"FILM FORMING, HUMECTANT",Humectant,158451-77-5(generic),1,3,BIS-ISOBUTYL PEG-24,PEG/PPG,Courte (16-25),19,Humectant
83233,BIS-ISOBUTYL PEG-24/PPG-7/DIMETHICONE COPOLYMER,"FILM FORMING, HUMECTANT",Humectant,158451-77-5(generic),2,3,PPG-7,PEG/PPG,Très courte (≤15),5,Humectant
83232,BIS-ISOBUTYL PEG/PPG-10/7/DIMETHICONE COPOLYMER,"EMULSIFYING, SURFACTANT",Tensioactif,158451-77-5(generic),2,4,PPG-10,PEG/PPG,Très courte (≤15),6,Tensioactif
84177,BIS-ISOBUTYL PEG/PPG-20/35/AMODIMETHICONE COPOLYMER,HAIR CONDITIONING,Soin capillaire,,2,4,PPG-20,PEG/PPG,Très courte (≤15),6,Soin capillaire
