parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
89204,LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,,Autre,,2,2,GERMINATED SOYBEAN FERMENT FILTRATE,Molécule chimique,Moyenne (26-50),35,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,4,8,SCUTELLARIA BAICALENSIS) ROOT,Botanique,Moyenne (26-50),29,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,7,8,GARDENIA JASMINOIDES FRUIT,Botanique,Moyenne (26-50),26,Autre
89285,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,Autre,,8,8,PHELLODENDRON  CHINENSE BARK EXTRACT,Extrait,Moyenne (26-50),36,Autre
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",Humectant,,5,7,CARTHAMUS TINCTORIUS FLOWER,Botanique,Moyenne (26-50),27,Humectant
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",Humectant,,7,7,PRUNUS PERSICA SEED)PORIA COCOS WATER,Eau / Hydrolat,Moyenne (26-50),37,Humectant
89269,(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,,Autre,,3,6,SYZYGIUM AROMATICUM) FLOWER,Botanique,Moyenne (26-50),27,Autre
89269,(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,,Autre,,4,6,LITHOSPERMUM ERYTHRORHIZON,Molécule chimique,Moyenne (26-50),26,Autre
89269,(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,,Autre,,6,6,SCUTELLARIA BAICALENSIS) ROOT EXTRACT,Extrait,Moyenne (26-50),37,Autre
93584,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/EUCHEUMATOIDES/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OIIGOSACCHARIDES,"HUMECTANT, SKIN CONDITIONING",Humectant,,8,8,PTEROCLADIELLA TENUIS OIIGOSACCHARIDES,Molécule chimique,Moyenne (26-50),38,Humectant
89457,(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,2,2,SARCODON ASPRATUS) ROOT WATER,Eau / Hydrolat,Moyenne (26-50),29,Antioxydant
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",Conservateur,,2,5,PHELLODENDRON AMURENSE) BARK,Botanique,Moyenne (26-50),28,Conservateur
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",Conservateur,,5,5,CITRUS PARADISI SEED WATER,Eau / Hydrolat,Moyenne (26-50),26,Conservateur
