parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
40428,"2-METHOXYPHENOL/2,2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED",PERFUMING,Fragrance / Parfum,70955-71-4,2,2,"2,2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED",Molécule chimique,Longue (51-100),52,Fragrance / Parfum
54389,ACRYLATES/TRIS(TRIMETHYLSILOXY)SILYLPROPYL METHACRYLATE COPOLYMER,FILM FORMING,Agent filmogène,,2,2,TRIS(TRIMETHYLSILOXY)SILYLPROPYL METHACRYLATE COPOLYMER,Polymère,Longue (51-100),55,Filmogène
74286,ADIPIC ACID/DIMETHYLAMINOHYDROXYPROPYL DIETHYLENETRIAMINE COPOLYMER,"ANTISTATIC, FILM FORMING, HAIR FIXING",Agent filmogène,133184-01-7,2,2,DIMETHYLAMINOHYDROXYPROPYL DIETHYLENETRIAMINE COPOLYMER,Polymère,Longue (51-100),55,Filmogène
91119,AMMONIUM OLEOYL/PALMITOYL GLYCEROPHOSPHOETHYLAMIDO GLUTAROYL OLIGOPEPTIDE-114,ABSORBENT,Autre,,2,2,PALMITOYL GLYCEROPHOSPHOETHYLAMIDO GLUTAROYL OLIGOPEPTIDE-114,Peptide,Longue (51-100),61,Autre
86574,ASPERGILLUS/LACTOBACILLUS/ASTRAGALUS MEMBRANACEUS ROOT EXTRACT FERMENT FILTRATE,SKIN CONDITIONING,Autre,,3,3,ASTRAGALUS MEMBRANACEUS ROOT EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),53,Autre
89115,ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/(SOYBEAN/EVENING PRIMROSE/RADISH/BROCCOLI/CAULIFLOWER/RICE/HORDEUM VULGARE/COIX LACRYMA-JOBI/ACHILLEA MILLEFOLIUM/SESAME/SAGE/THYME/HYPERICUM PERFORATUM/TRIFOLIUM PRATENSE/MEDICAGO SATIVA/TRIGONELLA FOENUM-GRAECUM)SPROUT FERMENT FILTRATE EXTRACT,SKIN CONDITIONING,Autre,,19,19,TRIGONELLA FOENUM-GRAECUM)SPROUT FERMENT FILTRATE EXTRACT,Extrait,Longue (51-100),57,Autre
86374,ASPERGILLUS/SACCHAROMYCES/GLYCYRRHIZA URALENSIS ROOT EXTRACT FERMENT FILTRATE,SKIN CONDITIONING,Autre,,3,3,GLYCYRRHIZA URALENSIS ROOT EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),51,Autre
86363,ASPERGILLUS/SACCHARUM OFFICINARUM STEM EXTRACT FERMENT FILTRATE,HUMECTANT,Humectant,,2,2,SACCHARUM OFFICINARUM STEM EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),51,Humectant
91135,AUREOBASIDIUM PULLULANS/SCHIZANDRA CHINENSIS FRUIT/POLYGONATUM SIBIRICUM RHIZOME ROOT EXTRACT FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,3,3,POLYGONATUM SIBIRICUM RHIZOME ROOT EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),59,Émollient
90521,BACILLUS/PENTACLETHRA MACROLOBA SEED OIL FERMENT EXTRACT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,2,2,PENTACLETHRA MACROLOBA SEED OIL FERMENT EXTRACT FILTRATE,Huile,Longue (51-100),56,Émollient
88305,BIFIDA/PANAX GINSENG ROOT CELL CULTURE EXTRACT FERMENT FILTRATE,"ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, NAIL CONDITIONING, ORAL CARE, SKIN CONDITIONING, SKIN PROTECTING",Conservateur,,2,2,PANAX GINSENG ROOT CELL CULTURE EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),56,Conservateur
87052,BIFIDA/SCUTELLARIA BAICALENSIS ROOT EXTRACT FERMENT LYSATE EXTRACT FILTRATE,SKIN CONDITIONING,Autre,,2,2,SCUTELLARIA BAICALENSIS ROOT EXTRACT FERMENT LYSATE EXTRACT FILTRATE,Extrait,Longue (51-100),68,Autre
86813,BIS-HYDROXYETHYL ACRYLATE POLY(NEOPENTYL GLYCOL ADIPATE)/IPDI COPOLYMER,BINDING,Autre,82339-15-9,1,2,BIS-HYDROXYETHYL ACRYLATE POLY(NEOPENTYL GLYCOL ADIPATE,Molécule chimique,Longue (51-100),55,Autre
90205,BIS-HYDROXYETHYL ACRYLATE POLYNEOPENTYL GLYCOL ADIPATE/TDI COPOLYMER,NAIL CONDITIONING,Soin ongles,82339-13-7,1,2,BIS-HYDROXYETHYL ACRYLATE POLYNEOPENTYL GLYCOL ADIPATE,Molécule chimique,Longue (51-100),54,Soin ongles
91634,BIS-HYDROXYETHYLACRYLATE POLYHEXAMETHYLENE CARBONATE/IPDI COPOLYMER,NAIL CONDITIONING,Soin ongles,,1,2,BIS-HYDROXYETHYLACRYLATE POLYHEXAMETHYLENE CARBONATE,Molécule chimique,Longue (51-100),52,Soin ongles
90882,"BIS-HYDROXYPROPYLMETHACRYLATE POLY(1,4-BUTANEDIOL)-9/IPDI COPOLYMER",FILM FORMING,Agent filmogène,,1,2,"BIS-HYDROXYPROPYLMETHACRYLATE POLY(1,4-BUTANEDIOL)-9",Molécule chimique,Longue (51-100),52,Filmogène
91907,"BIS-PENTAERYTHRITYL TRIACRYLATE POLY(1,4-BUTANEDIOL)-9/GYCOL/IPDI COPOLYMER",NAIL CONDITIONING,Soin ongles,,1,3,"BIS-PENTAERYTHRITYL TRIACRYLATE POLY(1,4-BUTANEDIOL)-9",Molécule chimique,Longue (51-100),54,Soin ongles
93359,C8-12 ALKYL GLUCOSIDYL HYDROXYCYCLOHEXYLETHYL PEG-18/PPG-6 DIMETHICONE,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING",Soin capillaire,,1,2,C8-12 ALKYL GLUCOSIDYL HYDROXYCYCLOHEXYLETHYL PEG-18,PEG/PPG,Longue (51-100),52,Soin capillaire
