parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
40006,2-FURANCARBALDEHYDE/HEPTANAL HYDROGENATED,PERFUMING,Fragrance / Parfum,68411-59-6,1,2,2-FURANCARBALDEHYDE,Molécule chimique,Courte (16-25),19,Fragrance / Parfum
40006,2-FURANCARBALDEHYDE/HEPTANAL HYDROGENATED,PERFUMING,Fragrance / Parfum,68411-59-6,2,2,HEPTANAL HYDROGENATED,Molécule chimique,Courte (16-25),21,Fragrance / Parfum
40428,"2-METHOXYPHENOL/2,2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED",PERFUMING,Fragrance / Parfum,70955-71-4,1,2,2-METHOXYPHENOL,Molécule chimique,Très courte (≤15),15,Fragrance / Parfum
40428,"2-METHOXYPHENOL/2,2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED",PERFUMING,Fragrance / Parfum,70955-71-4,2,2,"2,2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED",Molécule chimique,Longue (51-100),52,Fragrance / Parfum
40932,2-PROPANOL/BORON TRIFLUORIDE/ETHYLIDENEBICYCLOHEPTENE,PERFUMING,Fragrance / Parfum,90530-04-4,1,3,2-PROPANOL,Molécule chimique,Très courte (≤15),10,Fragrance / Parfum
40932,2-PROPANOL/BORON TRIFLUORIDE/ETHYLIDENEBICYCLOHEPTENE,PERFUMING,Fragrance / Parfum,90530-04-4,2,3,BORON TRIFLUORIDE,Molécule chimique,Courte (16-25),17,Fragrance / Parfum
40932,2-PROPANOL/BORON TRIFLUORIDE/ETHYLIDENEBICYCLOHEPTENE,PERFUMING,Fragrance / Parfum,90530-04-4,3,3,ETHYLIDENEBICYCLOHEPTENE,Molécule chimique,Courte (16-25),24,Fragrance / Parfum
40280,"7-HYDROXY-3,7-DIMETHYL-OCTANAL/INDOLE",PERFUMING,Fragrance / Parfum,68908-82-7,1,2,"7-HYDROXY-3,7-DIMETHYL-OCTANAL",Molécule chimique,Moyenne (26-50),30,Fragrance / Parfum
40280,"7-HYDROXY-3,7-DIMETHYL-OCTANAL/INDOLE",PERFUMING,Fragrance / Parfum,68908-82-7,2,2,INDOLE,Molécule chimique,Très courte (≤15),6,Fragrance / Parfum
84093,ADESMIA BORONIOIDES FLOWER/LEAF/STEM OIL,"FLAVOURING, MASKING, PERFUMING",Fragrance / Parfum,,1,3,ADESMIA BORONIOIDES FLOWER,Botanique,Moyenne (26-50),26,Fragrance / Parfum
84093,ADESMIA BORONIOIDES FLOWER/LEAF/STEM OIL,"FLAVOURING, MASKING, PERFUMING",Fragrance / Parfum,,2,3,LEAF,Botanique,Très courte (≤15),4,Fragrance / Parfum
84093,ADESMIA BORONIOIDES FLOWER/LEAF/STEM OIL,"FLAVOURING, MASKING, PERFUMING",Fragrance / Parfum,,3,3,STEM OIL,Huile,Très courte (≤15),8,Fragrance / Parfum
39028,AMYLCINNAMAL/METHYL ANTHRANILATE SCHIFF BASE,PERFUMING,Fragrance / Parfum,68527-78-6,1,2,AMYLCINNAMAL,Molécule chimique,Très courte (≤15),12,Fragrance / Parfum
39028,AMYLCINNAMAL/METHYL ANTHRANILATE SCHIFF BASE,PERFUMING,Fragrance / Parfum,68527-78-6,2,2,METHYL ANTHRANILATE SCHIFF BASE,Molécule chimique,Moyenne (26-50),31,Fragrance / Parfum
84163,ARTEMISIA CAPILLARIS FLOWER/LEAF/STEM WATER,"FLAVOURING, MASKING, PERFUMING, SKIN CONDITIONING",Fragrance / Parfum,223747-93-1,1,3,ARTEMISIA CAPILLARIS FLOWER,Botanique,Moyenne (26-50),27,Fragrance / Parfum
84163,ARTEMISIA CAPILLARIS FLOWER/LEAF/STEM WATER,"FLAVOURING, MASKING, PERFUMING, SKIN CONDITIONING",Fragrance / Parfum,223747-93-1,2,3,LEAF,Botanique,Très courte (≤15),4,Fragrance / Parfum
84163,ARTEMISIA CAPILLARIS FLOWER/LEAF/STEM WATER,"FLAVOURING, MASKING, PERFUMING, SKIN CONDITIONING",Fragrance / Parfum,223747-93-1,3,3,STEM WATER,Eau / Hydrolat,Très courte (≤15),10,Fragrance / Parfum
87269,CAMELLIA SINENSIS FLOWER/LEAF/STEM JUICE,"ANTIOXIDANT, PERFUMING",Fragrance / Parfum,84650-60-2,1,3,CAMELLIA SINENSIS FLOWER,Botanique,Courte (16-25),24,Fragrance / Parfum
87269,CAMELLIA SINENSIS FLOWER/LEAF/STEM JUICE,"ANTIOXIDANT, PERFUMING",Fragrance / Parfum,84650-60-2,2,3,LEAF,Botanique,Très courte (≤15),4,Fragrance / Parfum
87269,CAMELLIA SINENSIS FLOWER/LEAF/STEM JUICE,"ANTIOXIDANT, PERFUMING",Fragrance / Parfum,84650-60-2,3,3,STEM JUICE,Molécule chimique,Très courte (≤15),10,Fragrance / Parfum
74816,CAPRYLIC/CAPRIC TRIGLYCERIDE,"MASKING, PERFUMING, SKIN CONDITIONING",Fragrance / Parfum,73398-61-5/65381-09-1,1,2,CAPRYLIC,Molécule chimique,Très courte (≤15),8,Fragrance / Parfum
74816,CAPRYLIC/CAPRIC TRIGLYCERIDE,"MASKING, PERFUMING, SKIN CONDITIONING",Fragrance / Parfum,73398-61-5/65381-09-1,2,2,CAPRIC TRIGLYCERIDE,Molécule chimique,Courte (16-25),19,Fragrance / Parfum
84932,CHAMOMILLA RECUTITA FLOWER/LEAF/STEM WATER,"MASKING, PERFUMING",Fragrance / Parfum,84082-60-0,1,3,CHAMOMILLA RECUTITA FLOWER,Botanique,Moyenne (26-50),26,Fragrance / Parfum
84932,CHAMOMILLA RECUTITA FLOWER/LEAF/STEM WATER,"MASKING, PERFUMING",Fragrance / Parfum,84082-60-0,2,3,LEAF,Botanique,Très courte (≤15),4,Fragrance / Parfum
84932,CHAMOMILLA RECUTITA FLOWER/LEAF/STEM WATER,"MASKING, PERFUMING",Fragrance / Parfum,84082-60-0,3,3,STEM WATER,Eau / Hydrolat,Très courte (≤15),10,Fragrance / Parfum
41369,CINNAMALDEHYDE/METHYL ANTHRANILATE SCHIFF BASE,PERFUMING,Fragrance / Parfum,94386-48-8,1,2,CINNAMALDEHYDE,Molécule chimique,Très courte (≤15),14,Fragrance / Parfum
41369,CINNAMALDEHYDE/METHYL ANTHRANILATE SCHIFF BASE,PERFUMING,Fragrance / Parfum,94386-48-8,2,2,METHYL ANTHRANILATE SCHIFF BASE,Molécule chimique,Moyenne (26-50),31,Fragrance / Parfum
39353,CITRAL / METHYL ANTHRANILATE SCHIFF BASE,PERFUMING,Fragrance / Parfum,67801-47-2,1,2,CITRAL,Molécule chimique,Très courte (≤15),6,Fragrance / Parfum
39353,CITRAL / METHYL ANTHRANILATE SCHIFF BASE,PERFUMING,Fragrance / Parfum,67801-47-2,2,2,METHYL ANTHRANILATE SCHIFF BASE,Molécule chimique,Moyenne (26-50),31,Fragrance / Parfum
85832,CITRUS UNSHIU/CITRUS RETICULATA/CITRUS IYO FRUIT WATER,"MASKING, PERFUMING",Fragrance / Parfum,,1,3,CITRUS UNSHIU,Molécule chimique,Très courte (≤15),13,Fragrance / Parfum
85832,CITRUS UNSHIU/CITRUS RETICULATA/CITRUS IYO FRUIT WATER,"MASKING, PERFUMING",Fragrance / Parfum,,2,3,CITRUS RETICULATA,Molécule chimique,Courte (16-25),17,Fragrance / Parfum
85832,CITRUS UNSHIU/CITRUS RETICULATA/CITRUS IYO FRUIT WATER,"MASKING, PERFUMING",Fragrance / Parfum,,3,3,CITRUS IYO FRUIT WATER,Eau / Hydrolat,Courte (16-25),22,Fragrance / Parfum
84128,COTINUS COGGYGRIA BRANCH/LEAF OIL,"FLAVOURING, MASKING, PERFUMING",Fragrance / Parfum,89997-96-6,1,2,COTINUS COGGYGRIA BRANCH,Molécule chimique,Courte (16-25),24,Fragrance / Parfum
84128,COTINUS COGGYGRIA BRANCH/LEAF OIL,"FLAVOURING, MASKING, PERFUMING",Fragrance / Parfum,89997-96-6,2,2,LEAF OIL,Huile,Très courte (≤15),8,Fragrance / Parfum
39422,CYCLAMEN ALDEHYDE / METHYL ANTHRANILATE SCHIFF BASE,PERFUMING,Fragrance / Parfum,91-50-9,1,2,CYCLAMEN ALDEHYDE,Molécule chimique,Courte (16-25),17,Fragrance / Parfum
39422,CYCLAMEN ALDEHYDE / METHYL ANTHRANILATE SCHIFF BASE,PERFUMING,Fragrance / Parfum,91-50-9,2,2,METHYL ANTHRANILATE SCHIFF BASE,Molécule chimique,Moyenne (26-50),31,Fragrance / Parfum
39468,CYMBOPOGON NARDUS HERB EXTRACT/ ACETONE,PERFUMING,Fragrance / Parfum,94333-69-4,1,2,CYMBOPOGON NARDUS HERB EXTRACT,Extrait,Moyenne (26-50),30,Fragrance / Parfum
39468,CYMBOPOGON NARDUS HERB EXTRACT/ ACETONE,PERFUMING,Fragrance / Parfum,94333-69-4,2,2,ACETONE,Molécule chimique,Très courte (≤15),7,Fragrance / Parfum
39493,"DECAHYDRO-4,8,8-TRIMETHYL-9-METHYLENE-1,4-METHANOAZULENE/FORMIC ACID/BORON TRIFLUORIDE",PERFUMING,Fragrance / Parfum,68855-38-9,1,3,"DECAHYDRO-4,8,8-TRIMETHYL-9-METHYLENE-1,4-METHANOAZULENE",Molécule chimique,Longue (51-100),56,Fragrance / Parfum
39493,"DECAHYDRO-4,8,8-TRIMETHYL-9-METHYLENE-1,4-METHANOAZULENE/FORMIC ACID/BORON TRIFLUORIDE",PERFUMING,Fragrance / Parfum,68855-38-9,2,3,FORMIC ACID,Acide,Très courte (≤15),11,Fragrance / Parfum
39493,"DECAHYDRO-4,8,8-TRIMETHYL-9-METHYLENE-1,4-METHANOAZULENE/FORMIC ACID/BORON TRIFLUORIDE",PERFUMING,Fragrance / Parfum,68855-38-9,3,3,BORON TRIFLUORIDE,Molécule chimique,Courte (16-25),17,Fragrance / Parfum
39812,ETHANEPEROXOIC ACID/ALUMINUM ISOPROXIDE/TRIMETHYL-CYCLODODECATRIENE,PERFUMING,Fragrance / Parfum,111850-00-1,1,3,ETHANEPEROXOIC ACID,Acide,Courte (16-25),19,Fragrance / Parfum
39812,ETHANEPEROXOIC ACID/ALUMINUM ISOPROXIDE/TRIMETHYL-CYCLODODECATRIENE,PERFUMING,Fragrance / Parfum,111850-00-1,2,3,ALUMINUM ISOPROXIDE,Molécule chimique,Courte (16-25),19,Fragrance / Parfum
39812,ETHANEPEROXOIC ACID/ALUMINUM ISOPROXIDE/TRIMETHYL-CYCLODODECATRIENE,PERFUMING,Fragrance / Parfum,111850-00-1,3,3,TRIMETHYL-CYCLODODECATRIENE,Molécule chimique,Moyenne (26-50),27,Fragrance / Parfum
86457,EUCALYPTUS GLOBULUS LEAF/TWIG OIL,"MASKING, PERFUMING",Fragrance / Parfum,84625-32-1,1,2,EUCALYPTUS GLOBULUS LEAF,Botanique,Courte (16-25),24,Fragrance / Parfum
86457,EUCALYPTUS GLOBULUS LEAF/TWIG OIL,"MASKING, PERFUMING",Fragrance / Parfum,84625-32-1,2,2,TWIG OIL,Huile,Très courte (≤15),8,Fragrance / Parfum
56026,EUCALYPTUS RADIATA FLOWER/LEAF/STEM EXTRACT,"PERFUMING, SKIN CONDITIONING",Fragrance / Parfum,92201-64-4,1,3,EUCALYPTUS RADIATA FLOWER,Botanique,Courte (16-25),25,Fragrance / Parfum
56026,EUCALYPTUS RADIATA FLOWER/LEAF/STEM EXTRACT,"PERFUMING, SKIN CONDITIONING",Fragrance / Parfum,92201-64-4,2,3,LEAF,Botanique,Très courte (≤15),4,Fragrance / Parfum
