parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
83015,ACRYLIC ACID/VP CROSSPOLYMER,"SURFACTANT, VISCOSITY CONTROLLING",Tensioactif,527685-31-0,1,2,ACRYLIC ACID,Acide,Très courte (≤15),12,Tensioactif
83015,ACRYLIC ACID/VP CROSSPOLYMER,"SURFACTANT, VISCOSITY CONTROLLING",Tensioactif,527685-31-0,2,2,VP CROSSPOLYMER,Polymère,Très courte (≤15),15,Tensioactif
91945,ALMOND OIL/POLYGLYCERYL-10 ESTERS,"EMULSIFYING, SURFACTANT",Tensioactif,,1,2,ALMOND OIL,Huile,Très courte (≤15),10,Tensioactif
91945,ALMOND OIL/POLYGLYCERYL-10 ESTERS,"EMULSIFYING, SURFACTANT",Tensioactif,,2,2,POLYGLYCERYL-10 ESTERS,Molécule chimique,Courte (16-25),22,Tensioactif
74442,AMP-ISOSTEAROYL GELATIN/KERATIN AMINO ACIDS/LYSINE HYDROXYPROPYLTRIMONIUM CHLORIDE,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",Tensioactif,156715-41-2,1,3,AMP-ISOSTEAROYL GELATIN,Molécule chimique,Courte (16-25),23,Tensioactif
74442,AMP-ISOSTEAROYL GELATIN/KERATIN AMINO ACIDS/LYSINE HYDROXYPROPYLTRIMONIUM CHLORIDE,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",Tensioactif,156715-41-2,2,3,KERATIN AMINO ACIDS,Molécule chimique,Courte (16-25),19,Tensioactif
74442,AMP-ISOSTEAROYL GELATIN/KERATIN AMINO ACIDS/LYSINE HYDROXYPROPYLTRIMONIUM CHLORIDE,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",Tensioactif,156715-41-2,3,3,LYSINE HYDROXYPROPYLTRIMONIUM CHLORIDE,Molécule chimique,Moyenne (26-50),38,Tensioactif
86939,BARIUM/CALCIUM/SILICON/TITANIUM OXIDE,SURFACTANT,Tensioactif,,1,4,BARIUM,Molécule chimique,Très courte (≤15),6,Tensioactif
86939,BARIUM/CALCIUM/SILICON/TITANIUM OXIDE,SURFACTANT,Tensioactif,,2,4,CALCIUM,Molécule chimique,Très courte (≤15),7,Tensioactif
86939,BARIUM/CALCIUM/SILICON/TITANIUM OXIDE,SURFACTANT,Tensioactif,,3,4,SILICON,Molécule chimique,Très courte (≤15),7,Tensioactif
