parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
86886,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS,EMOLLIENT,Émollient / Conditioning,,1,4,ACACIA DECURRENS,Molécule chimique,Courte (16-25),16,Émollient
86886,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS,EMOLLIENT,Émollient / Conditioning,,2,4,JOJOBA,Molécule chimique,Très courte (≤15),6,Émollient
86886,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS,EMOLLIENT,Émollient / Conditioning,,3,4,SUNFLOWER SEED CERA,Botanique,Courte (16-25),19,Émollient
86886,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS,EMOLLIENT,Émollient / Conditioning,,4,4,POLYGLYCERYL-3 ESTERS,Molécule chimique,Courte (16-25),21,Émollient
92949,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,1,3,ACACIA DECURRENS,Molécule chimique,Courte (16-25),16,Émollient
92949,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,2,3,JOJOBA,Molécule chimique,Très courte (≤15),6,Émollient
92949,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,3,3,SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,Cire,Moyenne (26-50),40,Émollient
89153,ACETOBACTER/LACTOBACILLUS/(CITRUS JUNOS/PRUNUS MUME/PUNICA GRANATUM) FRUIT/RICE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,1,6,ACETOBACTER,Molécule chimique,Très courte (≤15),11,Émollient
89153,ACETOBACTER/LACTOBACILLUS/(CITRUS JUNOS/PRUNUS MUME/PUNICA GRANATUM) FRUIT/RICE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,2,6,LACTOBACILLUS,Molécule chimique,Très courte (≤15),13,Émollient
89153,ACETOBACTER/LACTOBACILLUS/(CITRUS JUNOS/PRUNUS MUME/PUNICA GRANATUM) FRUIT/RICE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,3,6,CITRUS JUNOS,Molécule chimique,Très courte (≤15),12,Émollient
89153,ACETOBACTER/LACTOBACILLUS/(CITRUS JUNOS/PRUNUS MUME/PUNICA GRANATUM) FRUIT/RICE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,4,6,PRUNUS MUME,Molécule chimique,Très courte (≤15),11,Émollient
89153,ACETOBACTER/LACTOBACILLUS/(CITRUS JUNOS/PRUNUS MUME/PUNICA GRANATUM) FRUIT/RICE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,5,6,PUNICA GRANATUM) FRUIT,Botanique,Courte (16-25),22,Émollient
89153,ACETOBACTER/LACTOBACILLUS/(CITRUS JUNOS/PRUNUS MUME/PUNICA GRANATUM) FRUIT/RICE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,6,6,RICE FERMENT FILTRATE,Molécule chimique,Courte (16-25),21,Émollient
89872,ACETOBACTER/LACTOBACILLUS/FRUIT/RICE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,1,4,ACETOBACTER,Molécule chimique,Très courte (≤15),11,Émollient
89872,ACETOBACTER/LACTOBACILLUS/FRUIT/RICE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,2,4,LACTOBACILLUS,Molécule chimique,Très courte (≤15),13,Émollient
89872,ACETOBACTER/LACTOBACILLUS/FRUIT/RICE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,3,4,FRUIT,Botanique,Très courte (≤15),5,Émollient
89872,ACETOBACTER/LACTOBACILLUS/FRUIT/RICE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,4,4,RICE FERMENT FILTRATE,Molécule chimique,Courte (16-25),21,Émollient
54272,ACRYLATES/DIMETHICONE METHACRYLATE COPOLYMER,"ANTICAKING, BINDING, EMOLLIENT, FILM FORMING, SKIN CONDITIONING, SKIN PROTECTING",Émollient / Conditioning,,1,2,ACRYLATES,Molécule chimique,Très courte (≤15),9,Émollient
54272,ACRYLATES/DIMETHICONE METHACRYLATE COPOLYMER,"ANTICAKING, BINDING, EMOLLIENT, FILM FORMING, SKIN CONDITIONING, SKIN PROTECTING",Émollient / Conditioning,,2,2,DIMETHICONE METHACRYLATE COPOLYMER,Silicone,Moyenne (26-50),34,Émollient
54430,AGARICUS BISPORUS CAP/STEM EXTRACT,EMOLLIENT,Émollient / Conditioning,95009-14-6,1,2,AGARICUS BISPORUS CAP,Molécule chimique,Courte (16-25),21,Émollient
