parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",Conservateur,,1,5,MAGNOLIA OFFICINALIS,Molécule chimique,Courte (16-25),20,Conservateur
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",Conservateur,,2,5,PHELLODENDRON AMURENSE) BARK,Botanique,Moyenne (26-50),28,Conservateur
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",Conservateur,,3,5,CAMELLIA JAPONICA LEAF,Botanique,Courte (16-25),22,Conservateur
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",Conservateur,,4,5,ZINGIBER OFFICINALE ROOT,Botanique,Courte (16-25),24,Conservateur
89461,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,"ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING",Conservateur,,5,5,CITRUS PARADISI SEED WATER,Eau / Hydrolat,Moyenne (26-50),26,Conservateur
91947,ACHYRANTHES JAPONICA ROOT/RHUS SEMIALATA GALL/TERMINALIA CHEBULA FRUIT/GLYCYRRHIZA URALENSIS ROOT/STEM EXTRACT,ANTIMICROBIAL,Conservateur,,1,5,ACHYRANTHES JAPONICA ROOT,Botanique,Courte (16-25),25,Conservateur
91947,ACHYRANTHES JAPONICA ROOT/RHUS SEMIALATA GALL/TERMINALIA CHEBULA FRUIT/GLYCYRRHIZA URALENSIS ROOT/STEM EXTRACT,ANTIMICROBIAL,Conservateur,,2,5,RHUS SEMIALATA GALL,Molécule chimique,Courte (16-25),19,Conservateur
91947,ACHYRANTHES JAPONICA ROOT/RHUS SEMIALATA GALL/TERMINALIA CHEBULA FRUIT/GLYCYRRHIZA URALENSIS ROOT/STEM EXTRACT,ANTIMICROBIAL,Conservateur,,3,5,TERMINALIA CHEBULA FRUIT,Botanique,Courte (16-25),24,Conservateur
91947,ACHYRANTHES JAPONICA ROOT/RHUS SEMIALATA GALL/TERMINALIA CHEBULA FRUIT/GLYCYRRHIZA URALENSIS ROOT/STEM EXTRACT,ANTIMICROBIAL,Conservateur,,4,5,GLYCYRRHIZA URALENSIS ROOT,Botanique,Moyenne (26-50),26,Conservateur
91947,ACHYRANTHES JAPONICA ROOT/RHUS SEMIALATA GALL/TERMINALIA CHEBULA FRUIT/GLYCYRRHIZA URALENSIS ROOT/STEM EXTRACT,ANTIMICROBIAL,Conservateur,,5,5,STEM EXTRACT,Extrait,Très courte (≤15),12,Conservateur
85071,ACROLEIN/ACRYLIC ACID COPOLYMER,ANTIMICROBIAL,Conservateur,28349-72-6,1,2,ACROLEIN,Molécule chimique,Très courte (≤15),8,Conservateur
85071,ACROLEIN/ACRYLIC ACID COPOLYMER,ANTIMICROBIAL,Conservateur,28349-72-6,2,2,ACRYLIC ACID COPOLYMER,Polymère,Courte (16-25),22,Conservateur
89745,ALPINIA SPECIOSA FLOWER/ LEAF/SEED/ STEM EXTRACT,"ANTIOXIDANT, PRESERVATIVE",Conservateur,,1,4,ALPINIA SPECIOSA FLOWER,Botanique,Courte (16-25),23,Conservateur
89745,ALPINIA SPECIOSA FLOWER/ LEAF/SEED/ STEM EXTRACT,"ANTIOXIDANT, PRESERVATIVE",Conservateur,,2,4,LEAF,Botanique,Très courte (≤15),4,Conservateur
89745,ALPINIA SPECIOSA FLOWER/ LEAF/SEED/ STEM EXTRACT,"ANTIOXIDANT, PRESERVATIVE",Conservateur,,3,4,SEED,Botanique,Très courte (≤15),4,Conservateur
89745,ALPINIA SPECIOSA FLOWER/ LEAF/SEED/ STEM EXTRACT,"ANTIOXIDANT, PRESERVATIVE",Conservateur,,4,4,STEM EXTRACT,Extrait,Très courte (≤15),12,Conservateur
90429,ALPINIA SPECIOSA FLOWER/LEAF/SEED/STEM EXTRACT,"ANTIOXIDANT, PRESERVATIVE",Conservateur,,1,4,ALPINIA SPECIOSA FLOWER,Botanique,Courte (16-25),23,Conservateur
90429,ALPINIA SPECIOSA FLOWER/LEAF/SEED/STEM EXTRACT,"ANTIOXIDANT, PRESERVATIVE",Conservateur,,2,4,LEAF,Botanique,Très courte (≤15),4,Conservateur
90429,ALPINIA SPECIOSA FLOWER/LEAF/SEED/STEM EXTRACT,"ANTIOXIDANT, PRESERVATIVE",Conservateur,,3,4,SEED,Botanique,Très courte (≤15),4,Conservateur
90429,ALPINIA SPECIOSA FLOWER/LEAF/SEED/STEM EXTRACT,"ANTIOXIDANT, PRESERVATIVE",Conservateur,,4,4,STEM EXTRACT,Extrait,Très courte (≤15),12,Conservateur
82375,ALPINIA SPECIOSA FLOWER/LEAF/STEM WATER,"ANTIMICROBIAL, EMOLLIENT, SKIN CONDITIONING",Conservateur,,1,3,ALPINIA SPECIOSA FLOWER,Botanique,Courte (16-25),23,Conservateur
82375,ALPINIA SPECIOSA FLOWER/LEAF/STEM WATER,"ANTIMICROBIAL, EMOLLIENT, SKIN CONDITIONING",Conservateur,,2,3,LEAF,Botanique,Très courte (≤15),4,Conservateur
82375,ALPINIA SPECIOSA FLOWER/LEAF/STEM WATER,"ANTIMICROBIAL, EMOLLIENT, SKIN CONDITIONING",Conservateur,,3,3,STEM WATER,Eau / Hydrolat,Très courte (≤15),10,Conservateur
90582,ALPINIA SPECIOSA LEAF/STEM FERMENT,"ANTIOXIDANT, PRESERVATIVE",Conservateur,,1,2,ALPINIA SPECIOSA LEAF,Botanique,Courte (16-25),21,Conservateur
90582,ALPINIA SPECIOSA LEAF/STEM FERMENT,"ANTIOXIDANT, PRESERVATIVE",Conservateur,,2,2,STEM FERMENT,Molécule chimique,Très courte (≤15),12,Conservateur
91677,ARTEMISIA PRINCEPS LEAF/TRITICUM VULGARE BRAN EXTRACT,"ANTIMICROBIAL, ANTIOXIDANT, ANTIPLAQUE, ANTISEBORRHOEIC, SKIN PROTECTING",Conservateur,223747-95-3,1,2,ARTEMISIA PRINCEPS LEAF,Botanique,Courte (16-25),23,Conservateur
91677,ARTEMISIA PRINCEPS LEAF/TRITICUM VULGARE BRAN EXTRACT,"ANTIMICROBIAL, ANTIOXIDANT, ANTIPLAQUE, ANTISEBORRHOEIC, SKIN PROTECTING",Conservateur,223747-95-3,2,2,TRITICUM VULGARE BRAN EXTRACT,Extrait,Moyenne (26-50),29,Conservateur
87247,ASPERGILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT,"ANTIMICROBIAL, ANTIOXIDANT",Conservateur,,1,2,ASPERGILLUS,Molécule chimique,Très courte (≤15),11,Conservateur
87247,ASPERGILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT,"ANTIMICROBIAL, ANTIOXIDANT",Conservateur,,2,2,CAMELLIA SINENSIS LEAF FERMENT EXTRACT,Extrait,Moyenne (26-50),38,Conservateur
90319,ASPERGILLUS/THYME/ROOT/LYSIMACHIA FOENUM-GRAECUM/PORIA COCOS/ATRACTYLOIDES JAPONICA RHIZOME/ MAGNOLIA LILIFLORA BUD/ VITEX TRIFOLIA FRUIT/BAMBUSA VULGARIS LEAF/STEM FERMENT FILTRATE,ANTIMICROBIAL,Conservateur,,1,10,ASPERGILLUS,Molécule chimique,Très courte (≤15),11,Conservateur
90319,ASPERGILLUS/THYME/ROOT/LYSIMACHIA FOENUM-GRAECUM/PORIA COCOS/ATRACTYLOIDES JAPONICA RHIZOME/ MAGNOLIA LILIFLORA BUD/ VITEX TRIFOLIA FRUIT/BAMBUSA VULGARIS LEAF/STEM FERMENT FILTRATE,ANTIMICROBIAL,Conservateur,,2,10,THYME,Molécule chimique,Très courte (≤15),5,Conservateur
90319,ASPERGILLUS/THYME/ROOT/LYSIMACHIA FOENUM-GRAECUM/PORIA COCOS/ATRACTYLOIDES JAPONICA RHIZOME/ MAGNOLIA LILIFLORA BUD/ VITEX TRIFOLIA FRUIT/BAMBUSA VULGARIS LEAF/STEM FERMENT FILTRATE,ANTIMICROBIAL,Conservateur,,3,10,ROOT,Botanique,Très courte (≤15),4,Conservateur
90319,ASPERGILLUS/THYME/ROOT/LYSIMACHIA FOENUM-GRAECUM/PORIA COCOS/ATRACTYLOIDES JAPONICA RHIZOME/ MAGNOLIA LILIFLORA BUD/ VITEX TRIFOLIA FRUIT/BAMBUSA VULGARIS LEAF/STEM FERMENT FILTRATE,ANTIMICROBIAL,Conservateur,,4,10,LYSIMACHIA FOENUM-GRAECUM,Molécule chimique,Courte (16-25),25,Conservateur
90319,ASPERGILLUS/THYME/ROOT/LYSIMACHIA FOENUM-GRAECUM/PORIA COCOS/ATRACTYLOIDES JAPONICA RHIZOME/ MAGNOLIA LILIFLORA BUD/ VITEX TRIFOLIA FRUIT/BAMBUSA VULGARIS LEAF/STEM FERMENT FILTRATE,ANTIMICROBIAL,Conservateur,,5,10,PORIA COCOS,Molécule chimique,Très courte (≤15),11,Conservateur
90319,ASPERGILLUS/THYME/ROOT/LYSIMACHIA FOENUM-GRAECUM/PORIA COCOS/ATRACTYLOIDES JAPONICA RHIZOME/ MAGNOLIA LILIFLORA BUD/ VITEX TRIFOLIA FRUIT/BAMBUSA VULGARIS LEAF/STEM FERMENT FILTRATE,ANTIMICROBIAL,Conservateur,,6,10,ATRACTYLOIDES JAPONICA RHIZOME,Molécule chimique,Moyenne (26-50),30,Conservateur
90319,ASPERGILLUS/THYME/ROOT/LYSIMACHIA FOENUM-GRAECUM/PORIA COCOS/ATRACTYLOIDES JAPONICA RHIZOME/ MAGNOLIA LILIFLORA BUD/ VITEX TRIFOLIA FRUIT/BAMBUSA VULGARIS LEAF/STEM FERMENT FILTRATE,ANTIMICROBIAL,Conservateur,,7,10,MAGNOLIA LILIFLORA BUD,Molécule chimique,Courte (16-25),22,Conservateur
90319,ASPERGILLUS/THYME/ROOT/LYSIMACHIA FOENUM-GRAECUM/PORIA COCOS/ATRACTYLOIDES JAPONICA RHIZOME/ MAGNOLIA LILIFLORA BUD/ VITEX TRIFOLIA FRUIT/BAMBUSA VULGARIS LEAF/STEM FERMENT FILTRATE,ANTIMICROBIAL,Conservateur,,8,10,VITEX TRIFOLIA FRUIT,Botanique,Courte (16-25),20,Conservateur
