parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
32506,CERIA/SILICA,UV ABSORBER,Filtre UV,243133-71-3,1,2,CERIA,Molécule chimique,Très courte (≤15),5,Filtre UV
32506,CERIA/SILICA,UV ABSORBER,Filtre UV,243133-71-3,2,2,SILICA,Molécule chimique,Très courte (≤15),6,Filtre UV
32507,CERIA/SILICA TALC,UV ABSORBER,Filtre UV,243133-70-2,1,2,CERIA,Molécule chimique,Très courte (≤15),5,Filtre UV
32507,CERIA/SILICA TALC,UV ABSORBER,Filtre UV,243133-70-2,2,2,SILICA TALC,Molécule chimique,Très courte (≤15),11,Filtre UV
93424,LACTOBACILLUS/CAMELLIA SINENSIS CATECHINS/GELIDIUM CRINALE/LAMINARIA JAPONICA/MONOSTROMA NITIDUM/RESVERATROL FERMENT FITRATE,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, UV FILTER",Filtre UV,,1,6,LACTOBACILLUS,Molécule chimique,Très courte (≤15),13,Filtre UV
93424,LACTOBACILLUS/CAMELLIA SINENSIS CATECHINS/GELIDIUM CRINALE/LAMINARIA JAPONICA/MONOSTROMA NITIDUM/RESVERATROL FERMENT FITRATE,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, UV FILTER",Filtre UV,,2,6,CAMELLIA SINENSIS CATECHINS,Molécule chimique,Moyenne (26-50),27,Filtre UV
93424,LACTOBACILLUS/CAMELLIA SINENSIS CATECHINS/GELIDIUM CRINALE/LAMINARIA JAPONICA/MONOSTROMA NITIDUM/RESVERATROL FERMENT FITRATE,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, UV FILTER",Filtre UV,,3,6,GELIDIUM CRINALE,Molécule chimique,Courte (16-25),16,Filtre UV
93424,LACTOBACILLUS/CAMELLIA SINENSIS CATECHINS/GELIDIUM CRINALE/LAMINARIA JAPONICA/MONOSTROMA NITIDUM/RESVERATROL FERMENT FITRATE,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, UV FILTER",Filtre UV,,4,6,LAMINARIA JAPONICA,Molécule chimique,Courte (16-25),18,Filtre UV
93424,LACTOBACILLUS/CAMELLIA SINENSIS CATECHINS/GELIDIUM CRINALE/LAMINARIA JAPONICA/MONOSTROMA NITIDUM/RESVERATROL FERMENT FITRATE,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, UV FILTER",Filtre UV,,5,6,MONOSTROMA NITIDUM,Molécule chimique,Courte (16-25),18,Filtre UV
93424,LACTOBACILLUS/CAMELLIA SINENSIS CATECHINS/GELIDIUM CRINALE/LAMINARIA JAPONICA/MONOSTROMA NITIDUM/RESVERATROL FERMENT FITRATE,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, UV FILTER",Filtre UV,,6,6,RESVERATROL FERMENT FITRATE,Molécule chimique,Moyenne (26-50),27,Filtre UV
86422,METHYL ACRYLATE/METHYLENE DROMETRIZOLE METHACRYLATE COPOLYMER,UV ABSORBER,Filtre UV,,1,2,METHYL ACRYLATE,Molécule chimique,Très courte (≤15),15,Filtre UV
86422,METHYL ACRYLATE/METHYLENE DROMETRIZOLE METHACRYLATE COPOLYMER,UV ABSORBER,Filtre UV,,2,2,METHYLENE DROMETRIZOLE METHACRYLATE COPOLYMER,Polymère,Moyenne (26-50),45,Filtre UV
57105,PEG/PPG-100/70 TOCOPHERYL ETHER,"ANTICAKING, ANTIOXIDANT, BINDING, EMULSIFYING, EMULSION STABILISING, PLASTICISER, SKIN CONDITIONING, SURFACTANT, UV ABSORBER",Filtre UV,,1,3,PEG,Molécule chimique,Très courte (≤15),3,Filtre UV
57105,PEG/PPG-100/70 TOCOPHERYL ETHER,"ANTICAKING, ANTIOXIDANT, BINDING, EMULSIFYING, EMULSION STABILISING, PLASTICISER, SKIN CONDITIONING, SURFACTANT, UV ABSORBER",Filtre UV,,2,3,PPG-100,PEG/PPG,Très courte (≤15),7,Filtre UV
57105,PEG/PPG-100/70 TOCOPHERYL ETHER,"ANTICAKING, ANTIOXIDANT, BINDING, EMULSIFYING, EMULSION STABILISING, PLASTICISER, SKIN CONDITIONING, SURFACTANT, UV ABSORBER",Filtre UV,,3,3,70 TOCOPHERYL ETHER,Molécule chimique,Courte (16-25),19,Filtre UV
57127,PEG/PPG-2/5 TOCOPHERYL ETHER,"ANTICAKING, ANTIOXIDANT, BINDING, EMULSIFYING, EMULSION STABILISING, PLASTICISER, SKIN CONDITIONING, SURFACTANT, UV ABSORBER",Filtre UV,,1,3,PEG,Molécule chimique,Très courte (≤15),3,Filtre UV
57127,PEG/PPG-2/5 TOCOPHERYL ETHER,"ANTICAKING, ANTIOXIDANT, BINDING, EMULSIFYING, EMULSION STABILISING, PLASTICISER, SKIN CONDITIONING, SURFACTANT, UV ABSORBER",Filtre UV,,2,3,PPG-2,PEG/PPG,Très courte (≤15),5,Filtre UV
